Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Всеволожская																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в список"	133223	1765	1186	2008	2241	2189	2352	2453	2325	2131	2090	1983	1560	2569	2582	1184	1316	1898	1067	2511	544	377	399	697	903	1152	1318	2399	769	1865	1743	1738	2022	1700	1551	1358	1434	421	2437	2265	2449	1297	1514	1026	571	1782	1160	615	1565	1711	1628	1084	1027	558	1730	1199	1909	2541	2200	1358	1497	1383	2025	2134	940	696	1452	1698	725	1116	1546	1672	1464	1106	1635	1476	551	1268	1020	1976	937	1039	942	1282	1400	317	583	1141	757	2061	1674	284					
2	Число полученных избирательных бюллетеней	133700	1780	1150	2010	2250	2200	2350	2450	2320	2150	2110	2000	1400	2600	2600	1200	1300	1900	1050	2600	440	370	410	700	940	1150	1320	2420	790	1900	1800	1800	2080	1720	1590	1380	1460	420	2500	2310	2500	1300	1550	1040	560	1800	1190	610	1580	1700	1680	1100	1050	580	1790	1150	1850	2600	2200	1380	1410	1380	2070	2180	920	600	1410	1600	710	1110	1600	1700	1500	1100	1580	1500	580	1300	950	2000	950	1060	800	1300	1460	320	590	1180	740	2100	1590	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	70396	776	580	985	1156	1104	1287	1268	1205	1193	1198	1088	711	1385	1371	532	534	891	507	1547	169	196	211	269	501	603	667	1314	290	991	879	897	1093	808	774	594	707	196	1650	1333	1184	615	765	474	215	832	600	304	803	924	918	658	450	283	966	652	1035	1331	1161	722	800	743	1215	1287	360	600	767	964	444	479	864	917	741	595	939	659	334	793	853	1004	429	475	530	737	776	237	325	573	417	1130	926	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	2745	38	54	20	18	26	20	5	11	11	17	6	163	18	27	28	62	34	46	0	181	11	2	55	0	21	16	22	108	18	74	24	18	19	21	36	34	40	48	51	143	18	23	42	35	14	4	6	25	29	7	3	39	14	6	18	12	22	9	20	97	15	13	10	120	0	47	45	35	83	19	7	23	17	12	9	0	9	17	31	28	50	11	13	3	0	27	10	33	11	38	20					
6	Число погашенных избирательных бюллетеней	60559	966	516	1005	1076	1070	1043	1177	1104	946	895	906	526	1197	1202	640	704	975	497	1053	90	163	197	376	439	526	637	1084	392	891	847	879	969	893	795	750	719	184	802	926	1173	667	762	524	310	954	586	300	752	747	755	439	561	283	818	480	803	1247	1030	638	513	622	842	883	440	0	596	591	231	548	717	776	736	488	629	832	246	498	80	965	493	535	259	550	681	83	238	597	290	959	626	129					
7	Число избирательных бюллетеней в переносных ящиках	2745	38	54	20	18	26	20	5	11	11	17	6	163	18	27	28	62	34	46	0	181	11	2	55	0	21	16	22	108	18	74	24	18	19	21	36	34	40	48	51	143	18	23	42	35	14	4	6	25	29	7	3	39	14	6	18	12	22	9	20	97	15	13	10	120	0	47	45	35	83	19	7	23	17	12	9	0	9	17	31	28	50	11	13	3	0	27	10	33	11	38	20					
8	Число бюллетеней в стационарных ящиках для голосования	70224	776	580	982	1155	1104	1286	1268	1204	1193	1196	1087	711	1318	1371	504	534	891	507	1541	169	196	211	269	501	603	667	1314	290	991	879	897	1093	808	774	594	707	196	1650	1333	1184	615	764	474	215	832	600	301	803	905	916	658	450	283	965	652	1035	1309	1161	722	796	742	1213	1287	360	600	767	964	444	477	864	917	741	595	939	659	334	791	853	1004	429	475	530	737	775	237	325	573	417	1128	926	131					
9	Число недействительных избирательных бюллетеней	390	2	6	4	6	10	4	9	5	4	3	0	5	3	0	4	2	7	3	3	2	0	1	3	1	8	3	2	3	6	1	6	6	10	2	0	4	0	5	5	17	4	10	8	2	3	6	2	4	2	3	6	1	3	4	4	15	3	8	4	4	6	7	3	3	1	3	5	2	3	4	10	8	0	6	1	2	4	0	9	7	2	2	3	2	0	1	17	3	10	3	2					
10	Число действительных избирательных бюллетеней	72579	812	628	998	1167	1120	1302	1264	1210	1200	1210	1093	869	1333	1398	528	594	918	550	1538	348	207	212	321	500	616	680	1334	395	1003	952	915	1105	817	793	630	737	236	1693	1379	1310	629	777	508	248	843	598	305	824	932	920	655	488	294	967	666	1032	1328	1162	738	889	751	1219	1294	477	599	811	1004	477	557	879	914	756	612	945	667	332	796	870	1026	450	523	539	747	776	237	351	566	447	1129	961	149					
