Выборы Президента Российской Федерации																																																																																																																																																
Дата голосования: 18.03.2018																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Всеволожская																																																																																																																																																
																																																																																																																																																
Сводная таблица итогов голосования																																																																																																																																																
																																																																																																																																																
	Число участковых избирательных комиссий	133																																																																																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	133																																																																																																																																														
																																																																																																																																																
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967									
1	"Число избирателей, включенных в список избирателей"	241369	624	1499	1960	2440	2042	2392	1931	1880	2202	2362	2169	2257	2189	1501	1994	1505	1651	1913	1629	1447	1934	938	3162	3128	734	1591	1561	1413	1297	1131	2106	1893	1709	1662	1609	1340	1403	1203	464	891	601	1976	867	1714	1642	1749	1519	2273	545	1333	836	823	1768	1586	1834	1145	1251	1162	648	393	365	777	618	1717	1625	1376	3014	1364	1484	1117	1920	1271	801	718	3056	2267	2312	1666	1359	1048	751	2674	1393	798	2776	663	4172	3030	2886	2507	2323	868	1550	2481	2717	2141	2203	2455	2229	2094	2361	1076	1390	2156	2489	2493	2533	2282	2201	1618	2271	1972	2177	1485	2473	2650	2269	1465	1508	3356	2544	2554	2017	1968	1712	2047	2837	3860	3663	1641	1901	2489	2904									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	216900	500	1400	2100	2500	2000	2300	2000	1900	2100	2400	2100	2300	2150	1300	1900	1400	1500	1700	1300	1200	1700	900	2900	2900	700	1500	1500	1500	1400	1500	2200	1900	1600	1600	1400	1200	1400	1150	400	900	450	1900	700	1500	1500	1500	1400	1900	500	1000	700	600	1500	1300	1500	1000	1000	1000	600	350	300	800	450	1500	1500	1300	2500	1200	1400	1300	1900	1400	700	600	2900	2100	2200	1300	1200	1000	700	2500	1300	700	2200	500	2850	2100	2600	2000	2000	800	1500	2000	2500	2000	2000	2400	2000	2000	2300	1000	1300	2000	2400	2000	2000	2000	2000	1500	1900	1800	2000	1300	2000	2200	2000	1400	1600	2600	2500	2000	1800	1900	1800	1700	2100	2500	2600	1600	1800	2000	2900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	155384	379	982	1211	2163	1568	1488	1717	1205	1267	1403	1590	1245	2070	929	1293	1121	964	1387	1142	963	1489	421	2179	1982	370	1198	994	1011	1037	956	1722	1129	1023	1351	959	960	796	1065	287	601	373	1264	657	1004	1327	1053	931	1235	404	888	543	561	1191	982	1144	883	805	817	482	265	253	550	365	1021	989	719	1748	868	918	827	1368	980	612	541	1989	1396	1226	820	737	656	616	2036	986	581	2197	375	2435	1730	1446	1490	1623	504	892	1204	1484	1290	1226	1433	1268	1254	1291	630	847	1316	1532	1680	1456	1063	1130	784	1493	1276	1524	827	1206	1600	1301	799	897	2447	2290	1451	1210	1065	987	1690	2046	2309	2440	1031	1248	1276	2163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5277	17	12	9	34	19	14	58	11	62	42	11	21	38	13	35	20	28	41	4	13	35	10	51	11	12	30	212	99	54	31	79	11	28	60	14	45	20	27	13	24	56	55	29	56	39	17	12	275	3	18	66	19	39	54	60	9	39	9	13	9	21	2	41	35	60	27	33	22	21	17	138	30	49	6	144	166	492	18	24	16	12	16	17	13	3	16	4	3	17	24	34	2	10	35	14	19	10	35	27	24	14	5	16	20	20	215	23	33	75	58	9	6	5	37	18	11	3	6	13	12	6	2	18	18	33	3	7	2	1	5	14	13	614									
6	Число погашенных избирательных бюллетеней	56239	104	406	880	303	413	798	225	684	771	955	499	1034	42	358	572	259	508	272	154	224	176	469	670	907	318	272	294	390	309	513	399	760	549	189	427	195	584	58	100	275	21	581	14	440	134	430	457	390	93	94	91	20	270	264	296	108	156	174	105	76	26	248	44	444	451	554	719	310	461	456	394	390	39	53	767	538	482	462	439	328	72	448	297	106	0	109	411	367	1137	486	343	294	598	761	1002	691	764	932	705	722	995	365	437	664	848	105	521	904	795	658	398	518	471	436	776	589	696	595	690	141	204	547	572	817	780	7	47	189	159	564	538	711	123									
