Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Веденская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18349	1055	749	206	193	1097	1240	1006	453	590	387	220	134	291	295	452	44	431	226	1297	1277	1220	2502	503	171	487	734	365	174	62	343	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17825	998	732	195	187	1053	1212	984	444	575	377	216	131	282	288	443	43	411	222	1261	1242	1179	2446	484	166	477	709	358	171	61	337	141									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17665	983	723	194	185	1044	1200	979	442	570	373	210	129	281	285	434	42	409	218	1251	1234	1173	2434	480	163	475	703	355	169	60	329	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	129	14	8	0	1	8	11	4	1	4	3	5	1	0	2	8	0	1	3	9	7	5	11	3	2	1	5	2	1	0	7	2									
6	Число погашенных избирательных бюллетеней	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	129	14	8	0	1	8	11	4	1	4	3	5	1	0	2	8	0	1	3	9	7	5	11	3	2	1	5	2	1	0	7	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17665	983	723	194	185	1044	1200	979	442	570	373	210	129	281	285	434	42	409	218	1251	1234	1173	2434	480	163	475	703	355	169	60	329	138									
9	Число недействительных избирательных бюллетеней	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17789	996	731	194	186	1052	1210	983	443	574	376	215	130	281	287	442	42	410	221	1259	1240	1178	2444	483	165	476	708	357	170	60	336	140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	298	15	10	5	5	15	15	15	10	10	10	10	5	10	5	9	2	10	5	10	15	15	25	5	5	8	8	10	10	2	10	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	121	15	5	5	0	5	4	1	2	3	10	5	4	3	2	1	2	0	0	3	0	10	10	0	2	0	0	0	10	0	10	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	34	5	2	3	4	0	2	2	4	1	2	2	0	2	0	2	0	1	2	0	0	11	1	0	1	0	2	0	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	177	0	5	0	5	10	11	14	8	7	0	5	1	7	3	8	0	10	5	7	15	5	15	5	3	8	8	10	0	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	70	2	3	1	2	3	4	2	3	1	2	1	2	4	2	3	0	2	1	5	3	4	6	2	1	2	3	2	0	0	3	1									
		0.39%	0.20%	0.41%	0.52%	1.08%	0.29%	0.33%	0.20%	0.68%	0.17%	0.53%	0.47%	1.54%	1.42%	0.70%	0.68%	0.00%	0.49%	0.45%	0.40%	0.24%	0.34%	0.25%	0.41%	0.61%	0.42%	0.42%	0.56%	0.00%	0.00%	0.89%	0.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	129	16	10	3	4	9	8	3	4	6	2	1	3	5	3	2	1	4	1	7	4	3	10	2	0	3	4	3	1	1	5	1									
		0.72%	1.60%	1.37%	1.55%	2.15%	0.86%	0.66%	0.31%	0.90%	1.05%	0.53%	0.47%	2.31%	1.78%	1.05%	0.45%	2.38%	0.98%	0.45%	0.56%	0.32%	0.25%	0.41%	0.41%	0.00%	0.63%	0.56%	0.84%	0.59%	1.67%	1.49%	0.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.52%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17024	956	694	180	169	1011	1171	944	416	549	361	205	118	258	269	427	37	388	211	1196	1196	1143	2360	462	155	454	679	344	163	55	319	134									
		95.67%	95.89%	94.94%	92.78%	90.86%	96.10%	96.70%	96.03%	93.91%	95.64%	96.01%	95.35%	90.77%	91.81%	93.73%	96.61%	88.10%	94.63%	95.48%	94.92%	96.37%	97.03%	96.52%	95.65%	93.94%	95.38%	95.90%	96.36%	95.88%	91.67%	94.94%	95.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	352	6	11	4	5	18	16	22	12	10	5	1	4	10	6	5	1	11	4	38	28	22	58	14	2	13	15	5	2	1	2	1									
		1.98%	0.60%	1.50%	2.06%	2.69%	1.71%	1.32%	2.24%	2.71%	1.74%	1.33%	0.47%	3.08%	3.56%	2.09%	1.13%	2.38%	2.68%	1.81%	3.02%	2.26%	1.87%	2.37%	2.90%	1.21%	2.73%	2.12%	1.40%	1.18%	1.67%	0.60%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0									
		0.03%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.14%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	2	3	1	2	4	3	4	2	3	2	1	2	1	2	1	1	1	1	3	2	1	2	0	1	0	0	0	0	1	2	1									
		0.28%	0.20%	0.41%	0.52%	1.08%	0.38%	0.25%	0.41%	0.45%	0.52%	0.53%	0.47%	1.54%	0.36%	0.70%	0.23%	2.38%	0.24%	0.45%	0.24%	0.16%	0.08%	0.08%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	1.67%	0.60%	0.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	1	1	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1	2	0	2	0	1	0	1	0	1	0	2	1									
		0.11%	0.10%	0.14%	0.00%	0.54%	0.00%	0.00%	0.10%	0.00%	0.17%	0.00%	0.93%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.16%	0.00%	0.08%	0.00%	0.61%	0.00%	0.14%	0.00%	0.59%	0.00%	0.60%	0.71%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.36%	0.00%	0.00%	2.38%	0.00%	0.00%	0.08%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
