Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Климовская городская 																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738					
1	"Число избирателей, внесенных в списки"	46764	2360	2588	3056	2909	2725	2313	2401	2517	2909	2845	2794	2759	2826	2814	2811	2514	2460	1163					
2	"Число бюллетеней, полученных участковыми комиссиями"	47378	2339	2600	2939	3000	2800	2400	2500	2600	3000	2900	2800	2800	2900	2900	2800	2600	2400	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23699	1110	1200	1659	1421	1306	1221	1176	1208	1569	1438	1486	1381	1612	1670	1321	1210	1185	526					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	707	21	44	34	20	17	20	19	26	13	19	22	25	21	19	80	9	4	294					
6	Число погашенных бюллетеней	22960	1208	1356	1237	1559	1477	1159	1305	1366	1418	1443	1292	1394	1267	1211	1396	1381	1211	280					
7	Число бюллетеней в переносных ящиках для голосования	707	21	44	34	20	17	20	19	26	13	19	22	25	21	19	80	9	4	294					
8	Число бюллетеней в стационарных ящиках для голосования	23643	1109	1200	1650	1421	1306	1216	1176	1207	1566	1414	1485	1381	1612	1665	1318	1210	1184	523					
9	Число недействительных бюллетеней	364	15	28	19	28	14	17	15	12	14	19	34	37	30	22	18	16	12	14					
10	Число действительных бюллетеней	23986	1115	1216	1665	1413	1309	1219	1180	1221	1565	1414	1473	1369	1603	1662	1380	1203	1176	803					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	370	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	230	11	20	16	18	10	13	13	10	13	15	25	12	9	12	8	12	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	10	6	9	5	6	13	5	14	7	7	6	6	6	5	0	3	6	2					
14	Число погашенных открепительных удостоверений	140	9	0	4	2	10	7	7	10	7	5	5	8	11	8	12	8	7	20					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0					
16	Число утраченных бюллетеней	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
