Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Чучковская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970					
1	"Число избирателей, внесенных в списки избирателей"	7045	290	847	152	285	151	242	257	95	82	143	281	300	823	188	142	1002	1254	358	153					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6950	279	818	143	310	144	239	243	85	80	180	270	299	790	191	138	985	1240	357	159					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3540	187	318	64	236	100	133	120	66	50	118	137	140	387	84	63	476	583	177	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	529	14	58	37	10	10	32	42	6	15	25	35	74	45	48	19	19	27	4	9					
6	Число погашенных избирательных бюллетеней	2881	78	442	42	64	34	74	81	13	15	37	98	85	358	59	56	490	630	176	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	529	14	58	37	10	10	32	42	6	15	25	35	74	45	48	19	19	27	4	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3540	187	318	64	236	100	133	120	66	50	118	137	140	387	84	63	476	583	177	101					
9	Число недействительных избирательных бюллетеней	43	0	1	1	1	1	1	3	2	1	3	1	2	10	0	0	6	9	0	1					
10	Число действительных избирательных бюллетеней	4026	201	375	100	245	109	164	159	70	64	140	171	212	422	132	82	489	601	181	109					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	10	15	5	10	5	10	8	5	5	5	10	10	15	5	5	30	30	12	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	66	5	2	0	5	0	4	1	0	3	0	1	0	3	2	0	15	9	11	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	63	3	2	2	3	1	3	3	2	3	2	3	0	7	1	1	8	11	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	134	5	13	5	5	5	6	7	5	2	5	9	10	12	3	5	15	21	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	103	4	14	0	4	2	8	1	0	0	0	4	14	16	3	2	13	14	1	3					
		2.53%	1.99%	3.72%	0.00%	1.63%	1.82%	4.85%	0.62%	0.00%	0.00%	0.00%	2.33%	6.54%	3.70%	2.27%	2.44%	2.63%	2.30%	0.55%	2.73%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	2	2	0	2	1	2	1	1	0	0	0	4	2	0	0	1	4	5	0					
		0.66%	0.99%	0.53%	0.00%	0.81%	0.91%	1.21%	0.62%	1.39%	0.00%	0.00%	0.00%	1.87%	0.46%	0.00%	0.00%	0.20%	0.66%	2.76%	0.00%					
20	3.Политическая партия «Демократическая партия России»	10	0	1	0	4	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1					
		0.25%	0.00%	0.27%	0.00%	1.63%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.47%	0.23%	0.00%	0.00%	0.20%	0.00%	0.00%	0.91%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	501	12	50	38	15	42	14	15	5	6	32	11	29	49	21	6	45	68	26	17					
		12.31%	5.97%	13.30%	37.62%	6.10%	38.18%	8.48%	9.26%	6.94%	9.23%	22.38%	6.40%	13.55%	11.34%	15.91%	7.32%	9.09%	11.15%	14.36%	15.45%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	15	0	0	0	1	0	0	5	0	0	0	0	0	2	0	0	2	4	0	1					
		0.37%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	3.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.40%	0.66%	0.00%	0.91%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	2					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.47%	0.23%	0.00%	0.00%	0.00%	0.33%	0.00%	1.82%					
24	7.Политическая партия «Либерально-демократическая партия России»	370	16	14	7	39	6	25	14	8	4	7	25	14	46	8	9	53	50	16	9					
		9.09%	7.96%	3.72%	6.93%	15.85%	5.45%	15.15%	8.64%	11.11%	6.15%	4.90%	14.53%	6.54%	10.65%	6.06%	10.98%	10.71%	8.20%	8.84%	8.18%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	372	5	32	6	12	9	18	7	8	9	15	13	26	42	12	10	57	63	17	11					
		9.14%	2.49%	8.51%	5.94%	4.88%	8.18%	10.91%	4.32%	11.11%	13.85%	10.49%	7.56%	12.15%	9.72%	9.09%	12.20%	11.52%	10.33%	9.39%	10.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	32	2	4	2	0	0	0	2	0	0	1	1	0	6	2	0	2	9	1	0					
		0.79%	0.99%	1.06%	1.98%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.70%	0.58%	0.00%	1.39%	1.52%	0.00%	0.40%	1.48%	0.55%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2574	158	258	47	167	49	97	112	48	44	84	115	122	255	86	55	314	384	115	64					
		63.26%	78.61%	68.62%	46.53%	67.89%	44.55%	58.79%	69.14%	66.67%	67.69%	58.74%	66.86%	57.01%	59.03%	65.15%	67.07%	63.43%	62.95%	63.54%	58.18%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	2	0	0	1	0	0	1	0	1	0	2	1	2	0	0	1	3	0	1					
		0.37%	0.99%	0.00%	0.00%	0.41%	0.00%	0.00%	0.62%	0.00%	1.54%	0.00%	1.16%	0.47%	0.46%	0.00%	0.00%	0.20%	0.49%	0.00%	0.91%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
