Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Тукаевская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718					
1	"Число избирателей, внесенных в списки избирателей"	24580	1378	355	2279	209	374	1022	551	435	138	418	802	327	139	1050	1003	700	531	2262	142	563	200	725	303	266	201	736	603	482	137	866	226	771	243	179	281	168	397	210	438	957	353	719	441					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23925	1335	362	2220	204	358	1000	554	435	138	423	805	328	138	1040	1010	698	529	1883	135	561	196	678	295	266	188	731	566	479	135	866	224	755	243	179	280	168	397	210	444	970	354	702	443					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21126	1231	178	2065	204	350	856	433	403	128	290	739	276	117	932	939	635	510	1611	122	470	177	634	274	217	171	658	561	390	122	820	131	719	243	159	236	140	311	180	365	816	270	676	367					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2219	30	174	136	0	8	114	108	32	10	123	63	49	21	98	41	19	19	51	13	91	19	16	12	15	16	65	5	89	13	41	93	36	0	20	44	28	86	30	73	139	82	26	71					
6	Число погашенных избирательных бюллетеней	580	74	10	19	0	0	30	13	0	0	10	3	3	0	10	30	44	0	221	0	0	0	28	9	34	1	8	0	0	0	5	0	0	0	0	0	0	0	0	6	15	2	0	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2219	30	174	136	0	8	114	108	32	10	123	63	49	21	98	41	19	19	51	13	91	19	16	12	15	16	65	5	89	13	41	93	36	0	20	44	28	86	30	73	139	82	26	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21125	1231	178	2065	204	350	856	433	403	128	290	739	276	117	932	939	635	510	1611	122	470	177	634	274	217	171	658	561	390	122	820	131	719	243	159	236	140	311	180	365	816	270	675	367					
9	Число недействительных избирательных бюллетеней	130	0	0	4	0	0	6	3	1	1	0	2	2	8	2	0	3	0	22	0	0	10	2	2	0	3	1	0	0	0	0	2	0	0	0	9	0	0	0	1	23	22	1	0					
10	Число действительных избирательных бюллетеней	23214	1261	352	2197	204	358	964	538	434	137	413	800	323	130	1028	980	651	529	1640	135	561	186	648	284	232	184	722	566	479	135	861	222	755	243	179	271	168	397	210	437	932	330	700	438					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	392	25	5	50	3	11	8	18	7	0	10	2	8	2	23	18	26	12	33	2	9	3	10	6	2	3	11	9	7	2	14	0	6	4	3	5	3	0	0	6	15	5	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	347	17	5	50	3	11	8	18	7	0	10	1	8	2	23	18	26	11	21	2	9	3	10	4	0	3	6	4	7	2	14	0	4	4	0	5	0	0	0	6	15	5	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	248	11	6	26	1	12	8	8	3	1	4	0	3	3	7	6	7	5	20	5	7	4	7	4	7	5	2	4	12	4	10	3	6	5	2	6	1	2	0	7	4	4	6	0					
14	Число погашенных неиспользованных открепительных удостоверений	45	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	12	0	0	0	0	2	2	0	5	5	0	0	0	0	2	0	3	0	3	0	0	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	1.Политическая партия «Аграрная партия России»	161	4	0	19	0	0	6	4	1	0	3	9	10	3	3	0	11	0	6	0	2	2	10	5	4	7	5	16	2	0	9	1	1	0	0	4	0	1	0	1	9	3	0	0					
