Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Касимовская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449					
1	"Число избирателей, внесенных в списки"	27031	527	659	432	366	311	143	282	582	151	156	452	254	203	317	467	367	225	862	340	314	376	388	122	1293	897	343	317	363	903	163	781	521	403	247	398	108	671	602	319	243	165	398	760	389	249	336	255	1264	730	1437	1230	1398	1552					
2	"Число бюллетеней, полученных участковыми комиссиями"	26934	524	660	429	363	306	168	280	582	151	158	449	252	196	310	465	367	226	854	339	312	376	381	124	1272	897	341	340	356	894	165	775	521	400	250	397	110	668	602	321	246	167	399	761	388	250	336	248	1234	750	1435	1226	1373	1540					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12838	278	236	110	134	156	51	113	240	94	80	266	134	104	98	197	166	127	537	179	216	262	165	32	684	349	109	177	126	433	100	314	199	154	64	161	51	291	276	70	123	105	266	343	197	55	202	126	661	407	720	638	662	800					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4031	32	170	142	92	71	92	100	141	26	47	39	69	66	119	110	81	43	12	41	34	53	92	59	37	145	83	71	74	169	3	140	130	86	116	107	28	98	64	149	47	12	42	74	79	101	63	52	30	16	49	57	56	122					
6	Число погашенных бюллетеней	10065	214	254	177	137	79	25	67	201	31	31	144	49	26	93	158	120	56	305	119	62	61	124	33	551	403	149	92	156	292	62	321	192	160	70	129	31	279	262	102	76	50	91	344	112	94	71	70	543	327	666	531	655	618					
7	Число бюллетеней в переносных ящиках для голосования	4031	32	170	142	92	71	92	100	141	26	47	39	69	66	119	110	81	43	12	41	34	53	92	59	37	145	83	71	74	169	3	140	130	86	116	107	28	98	64	149	47	12	42	74	79	101	63	52	30	16	49	57	56	122					
8	Число бюллетеней в стационарных ящиках для голосования	12833	278	236	110	134	156	51	113	239	94	80	266	134	104	98	197	166	127	537	179	216	262	165	32	684	348	109	177	126	433	100	314	199	154	64	161	51	291	276	70	123	105	266	343	197	55	202	126	661	407	720	638	659	800					
9	Число недействительных бюллетеней	216	9	3	1	6	1	2	1	8	0	0	0	1	1	3	1	3	0	15	5	2	6	2	3	9	11	1	1	5	6	0	3	1	2	2	0	0	2	0	2	2	1	0	13	2	2	1	4	16	10	9	5	14	19					
10	Число действительных бюллетеней	16648	301	403	251	220	226	141	212	372	120	127	305	202	169	214	306	244	170	534	215	248	309	255	88	712	482	191	247	195	596	103	451	328	238	178	268	79	387	340	217	168	116	308	404	274	154	264	174	675	413	760	690	701	903					
