Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Няндомская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636					
1	"Число избирателей, внесенных в список"	25786	1654	1648	1320	1931	1431	1889	1671	1610	1182	1999	380	1055	394	115	501	122	237	86	185	200	735	583	139	227	361	200	192	105	782	1296	683	544	138	191					
2	Число полученных избирательных бюллетеней	23918	1500	1550	1200	1750	1300	1800	1550	1450	1050	1800	350	1000	360	108	470	123	230	83	190	201	650	550	141	210	350	200	190	100	750	1200	660	520	137	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13727	794	799	606	984	895	1096	946	859	592	938	193	578	191	74	256	103	144	60	95	91	406	277	82	129	222	119	114	60	449	756	332	272	100	115					
5	"Число избирательных бюллетеней, выданных вне помещения"	1561	101	51	64	74	36	68	142	41	39	75	20	90	57	14	22	5	11	14	41	57	138	56	7	41	14	19	19	7	25	40	87	65	10	11					
6	Число погашенных избирательных бюллетеней	8630	605	700	530	692	369	636	462	550	419	787	137	332	112	20	192	15	75	9	54	53	106	217	52	40	114	62	57	33	276	404	241	183	27	69					
7	Число избирательных бюллетеней в переносных ящиках	1561	101	51	64	74	36	68	142	41	39	75	20	90	57	14	22	5	11	14	41	57	138	56	7	41	14	19	19	7	25	40	87	65	10	11					
8	Число бюллетеней в стационарных ящиках для голосования	13726	794	799	606	984	895	1096	946	859	591	938	193	578	191	74	256	103	144	60	95	91	406	277	82	129	222	119	114	60	449	756	332	272	100	115					
9	Число недействительных избирательных бюллетеней	85	8	5	4	0	4	3	2	7	0	5	0	4	3	0	2	1	1	0	1	0	3	2	0	1	0	1	0	0	4	10	2	8	3	1					
10	Число действительных избирательных бюллетеней	15202	887	845	666	1058	927	1161	1086	893	630	1008	213	664	245	88	276	107	154	74	135	148	541	331	89	169	236	137	133	67	470	786	417	329	107	125					
11	Число полученных открепительных  удостоверений	365	15	15	15	15	15	15	15	15	15	15	8	15	10	5	10	5	15	6	8	8	10	10	10	10	10	6	6	6	10	15	8	8	8	8					
12	Число выданных открепительных удостоверений	161	7	10	8	9	14	10	11	8	6	5	0	6	4	0	8	0	10	1	5	0	9	4	0	3	5	1	0	0	1	5	7	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	5	4	3	2	6	5	11	7	2	9	0	7	4	0	2	0	0	1	1	4	4	0	0	1	1	1	0	1	0	5	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	204	8	5	7	6	1	5	4	7	9	10	8	9	6	5	2	5	5	5	3	8	1	6	10	7	5	5	6	6	9	10	1	6	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	419	31	25	19	31	32	30	32	27	22	24	4	43	2	2	4	3	1	3	5	4	12	2	1	11	3	3	7	0	4	23	5	2	0	2					
		2.74%	3.46%	2.94%	2.84%	2.93%	3.44%	2.58%	2.94%	3.00%	3.49%	2.37%	1.88%	6.44%	0.81%	2.27%	1.44%	2.78%	0.65%	4.05%	3.68%	2.70%	2.21%	0.60%	1.12%	6.47%	1.27%	2.17%	5.26%	0.00%	0.84%	2.89%	1.19%	0.59%	0.00%	1.59%					
19	. Малышкин Олег Александрович	358	44	14	14	39	17	26	24	14	18	31	5	8	10	1	3	7	12	0	3	5	7	10	0	3	8	0	3	2	6	11	4	7	1	1					
		2.34%	4.92%	1.65%	2.09%	3.69%	1.83%	2.23%	2.21%	1.56%	2.86%	3.06%	2.35%	1.20%	4.03%	1.14%	1.08%	6.48%	7.74%	0.00%	2.21%	3.38%	1.29%	3.00%	0.00%	1.76%	3.39%	0.00%	2.26%	2.99%	1.27%	1.38%	0.95%	2.08%	0.91%	0.79%					
20	. Миронов Сергей Михайлович	120	5	9	3	12	5	9	15	7	1	15	0	2	0	1	0	2	1	0	1	1	3	3	0	2	1	2	1	0	6	7	4	1	1	0					
		0.78%	0.56%	1.06%	0.45%	1.13%	0.54%	0.77%	1.38%	0.78%	0.16%	1.48%	0.00%	0.30%	0.00%	1.14%	0.00%	1.85%	0.65%	0.00%	0.74%	0.68%	0.55%	0.90%	0.00%	1.18%	0.42%	1.45%	0.75%	0.00%	1.27%	0.88%	0.95%	0.30%	0.91%	0.00%					
21	. Путин Владимир Владимирович	12249	699	677	549	840	725	929	860	688	490	786	176	512	196	77	246	89	126	64	125	126	473	273	81	112	193	113	104	47	405	633	356	283	93	103					
