Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Бугульминская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
1	"Число избирателей, внесенных в списки"	15135	162	399	715	175	551	693	192	440	358	162	550	734	234	359	500	283	141	515	738	324	210	450	426	138	473	576	651	1011	2674	301					
2	"Число бюллетеней, полученных участковыми комиссиями"	15080	160	399	697	183	540	698	188	443	386	166	546	722	236	352	504	276	145	519	750	323	210	448	427	144	464	532	637	980	2714	291					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13247	137	385	620	166	489	588	150	407	333	149	508	583	194	335	457	259	125	411	612	273	194	416	397	117	382	520	605	861	2310	264					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	857	21	9	21	9	14	86	24	20	19	13	14	72	24	0	41	17	9	87	30	40	0	14	9	6	67	12	9	80	66	24					
6	Число погашенных бюллетеней	975	2	5	56	8	37	24	14	16	34	4	24	66	18	17	6	0	11	21	108	10	16	18	21	21	15	0	23	39	338	3					
7	Число бюллетеней в переносных ящиках для голосования	857	21	9	21	9	14	86	24	20	19	13	14	72	24	0	41	17	9	87	30	40	0	14	9	6	67	12	9	80	66	24					
8	Число бюллетеней в стационарных ящиках для голосования	13246	137	385	620	166	489	588	150	406	333	149	508	583	194	335	457	259	125	411	612	273	194	416	397	117	382	520	605	861	2310	264					
9	Число недействительных бюллетеней	248	0	2	5	0	10	3	2	3	0	3	0	12	1	3	12	4	7	3	4	4	4	0	85	1	0	3	11	25	38	3					
10	Число действительных бюллетеней	13855	158	392	636	175	493	671	172	423	352	159	522	643	217	332	486	272	127	495	638	309	190	430	321	122	449	529	603	916	2338	285					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	5	10	15	5	15	15	5	10	16	5	10	25	5	10	15	10	5	20	20	10	10	10	10	5	25	30	9	20	45	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	179	0	9	5	0	3	7	1	5	16	2	3	13	2	5	0	5	0	1	6	0	0	10	3	0	17	9	3	8	45	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	1	5	3	0	2	7	0	10	2	9	7	5	1	7	4	4	0	0	1	2	2	3	2	1	5	6	4	12	12	10					
14	Число погашенных открепительных удостоверений	221	5	1	10	5	12	8	4	5	0	3	7	12	3	5	15	5	5	19	14	10	10	0	7	5	8	21	6	12	0	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	253	3	13	11	4	20	7	0	5	0	3	2	8	3	4	10	3	1	6	6	4	2	9	4	0	1	8	19	21	74	2					
		1.79%	1.89%	3.29%	1.71%	2.28%	3.97%	1.03%	0.0%	1.17%	0.0%	1.85%	0.38%	1.22%	1.37%	1.19%	2.00%	1.08%	0.74%	1.20%	0.93%	1.27%	1.03%	2.09%	0.98%	0.0%	0.22%	1.50%	3.09%	2.23%	3.11%	0.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	75	3	1	5	2	2	4	0	6	0	1	1	10	1	1	0	2	0	0	2	0	0	2	1	0	1	1	0	9	20	0					
		0.53%	1.89%	0.25%	0.78%	1.14%	0.39%	0.59%	0.0%	1.40%	0.0%	0.61%	0.19%	1.52%	0.45%	0.29%	0.0%	0.72%	0.0%	0.0%	0.31%	0.0%	0.0%	0.46%	0.24%	0.0%	0.22%	0.18%	0.0%	0.95%	0.84%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	125	2	6	6	2	4	2	0	1	0	1	2	6	2	4	0	2	1	5	11	3	5	7	5	2	5	0	7	8	25	1					
		0.88%	1.26%	1.52%	0.93%	1.14%	0.79%	0.29%	0.0%	0.23%	0.0%	0.61%	0.38%	0.91%	0.91%	1.19%	0.0%	0.72%	0.74%	1.00%	1.71%	0.95%	2.57%	1.62%	1.23%	1.62%	1.11%	0.0%	1.14%	0.85%	1.05%	0.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	147	2	2	6	2	12	2	0	1	3	1	2	5	5	4	2	0	0	1	3	9	0	9	0	0	3	6	6	17	43	1					
		1.04%	1.26%	0.50%	0.93%	1.14%	2.38%	0.29%	0.0%	0.23%	0.85%	0.61%	0.38%	0.76%	2.29%	1.19%	0.40%	0.0%	0.0%	0.20%	0.46%	2.87%	0.0%	2.09%	0.0%	0.0%	0.66%	1.12%	0.97%	1.80%	1.80%	0.34%					
22	"5. ""За Русь Святую"""	25	0	2	0	0	1	2	0	1	0	0	0	2	1	0	1	0	0	0	4	3	0	0	0	0	0	1	0	1	5	1					
		0.17%	0.0%	0.50%	0.0%	0.0%	0.19%	0.29%	0.0%	0.23%	0.0%	0.0%	0.0%	0.30%	0.45%	0.0%	0.20%	0.0%	0.0%	0.0%	0.62%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.10%	0.21%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	0	2	5	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	4	0	1	0	0	0	2	3	1					
		0.17%	0.0%	0.50%	0.78%	0.0%	0.19%	0.0%	0.0%	0.23%	0.0%	0.0%	0.19%	0.15%	0.0%	0.0%	0.0%	0.0%	0.74%	0.20%	0.15%	0.0%	0.0%	0.93%	0.0%	0.81%	0.0%	0.0%	0.0%	0.21%	0.12%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	2	1	2	1	2	4	0	1	1	0	1	6	0	0	0	0	2	0	1	2	1	1	0	0	0	1	0	5	10	0					
		0.31%	1.26%	0.25%	0.31%	0.57%	0.39%	0.59%	0.0%	0.23%	0.28%	0.0%	0.19%	0.91%	0.0%	0.0%	0.0%	0.0%	1.49%	0.0%	0.15%	0.63%	0.51%	0.23%	0.0%	0.0%	0.0%	0.18%	0.0%	0.53%	0.42%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0					
		0.05%	0.0%	0.25%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.10%	0.04%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	2	6	1					
		0.14%	0.0%	0.25%	0.31%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.31%	0.51%	0.0%	0.0%	0.0%	0.0%	0.18%	0.32%	0.21%	0.25%	0.34%					
27	"10. ""Аграрная партия России"""	395	2	22	22	2	17	27	4	24	10	3	7	12	7	9	5	23	4	14	50	1	18	13	12	2	26	18	0	10	27	4					
		2.80%	1.26%	5.58%	3.43%	1.14%	3.37%	4.00%	2.29%	5.63%	2.84%	1.85%	1.34%	1.83%	3.21%	2.68%	1.00%	8.33%	2.98%	2.81%	7.78%	0.31%	9.27%	3.02%	2.95%	1.62%	5.79%	3.38%	0.0%	1.06%	1.13%	1.38%					
28	"11. ""Истинные патриоты России"""	23	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	1	4	9	1					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.18%	0.16%	0.42%	0.37%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	0	2	1	1	4	13	1	4	0	0	1	6	0	0	2	2	1	1	3	2	1	11	0	1	1	10	2	13	36	3					
		0.86%	0.0%	0.50%	0.15%	0.57%	0.79%	1.92%	0.57%	0.93%	0.0%	0.0%	0.19%	0.91%	0.0%	0.0%	0.40%	0.72%	0.74%	0.20%	0.46%	0.63%	0.51%	2.55%	0.0%	0.81%	0.22%	1.87%	0.32%	1.38%	1.51%	1.04%					
30	"13. ""Демократическая партия России"""	29	0	0	0	0	4	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	7	9	1					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.79%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.32%	0.74%	0.37%	0.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	0	2	0	0	0	2	0	1	0	0	0	3	2	0	0	0	0	0	1	1	2	2	0	0	0	0	0	4	4	0					
		0.17%	0.0%	0.50%	0.0%	0.0%	0.0%	0.29%	0.0%	0.23%	0.0%	0.0%	0.0%	0.45%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.31%	1.03%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.16%	0.0%					
32	"15. ""Партия СЛОН"""	16	0	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	1	0	1	0	2	1	0	2	0					
		0.11%	0.0%	0.25%	0.0%	0.57%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.54%	0.23%	0.0%	0.81%	0.0%	0.37%	0.16%	0.0%	0.08%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	369	1	11	26	4	15	10	6	0	4	3	0	22	2	10	6	6	3	6	29	3	8	14	15	2	9	18	19	34	72	11					
		2.61%	0.63%	2.79%	4.05%	2.28%	2.98%	1.48%	3.44%	0.0%	1.13%	1.85%	0.0%	3.35%	0.91%	2.98%	1.20%	2.17%	2.23%	1.20%	4.51%	0.95%	4.12%	3.25%	3.69%	1.62%	2.00%	3.38%	3.09%	3.61%	3.03%	3.81%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	0	0	0	1	2	3	0	0	0	2	0	2	0	0	0	1	0	1	1	2	0	0	1	0	3	1	5	1	6	1					
		0.23%	0.0%	0.0%	0.0%	0.57%	0.39%	0.44%	0.0%	0.0%	0.0%	1.23%	0.0%	0.30%	0.0%	0.0%	0.0%	0.36%	0.0%	0.20%	0.15%	0.63%	0.0%	0.0%	0.24%	0.0%	0.66%	0.18%	0.81%	0.10%	0.25%	0.34%					
35	"18. ""ЛДПР"""	1169	13	33	82	12	61	52	15	49	44	16	7	74	23	17	43	47	11	36	103	34	39	60	12	8	25	44	22	20	151	16					
		8.28%	8.22%	8.37%	12.79%	6.85%	12.12%	7.71%	8.62%	11.50%	12.5%	9.87%	1.34%	11.29%	10.55%	5.07%	8.63%	17.02%	8.20%	7.22%	16.04%	10.86%	20.10%	13.95%	2.95%	6.50%	5.56%	8.27%	3.58%	2.12%	6.35%	5.55%					
