Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
"Наименование Избирательной комиссии:    Ижевск, Ленинская"																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248					
1	"Число избирателей, внесенных в списки"	89209	2636	2205	1410	2723	2410	2785	2925	1015	1801	1937	2507	1610	2688	1902	2840	2499	751	2331	1676	2318	2169	2582	1745	1648	1415	2100	2672	2244	2102	2706	262	2549	2608	1749	1036	2660	2919	74	55	44	66	895	311	1980	2405	2217	1815	1212					
2	"Число бюллетеней, полученных участковыми комиссиями"	74336	2300	2000	1000	2300	2000	2400	2500	1000	1300	1500	2000	1300	2500	1500	2500	2000	500	2000	1300	2000	2000	2000	1300	1200	1000	2000	2300	2000	2000	2300	200	2000	2000	1300	1000	2300	2500	60	60	50	66	700	300	1500	2000	2000	1300	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	46193	1326	1066	742	1135	1076	1367	1386	402	850	909	1269	819	1086	928	1370	1216	364	1436	928	1213	1255	1652	1076	1042	856	1367	1554	1167	1025	1476	116	1123	1446	856	418	1207	1545	28	55	44	66	347	300	1115	1380	1258	954	577					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1153	32	19	25	20	23	17	90	28	25	31	42	43	27	17	26	46	70	35	8	13	25	31	10	27	25	22	5	8	18	15	20	17	37	10	19	44	13	24	0	0	0	29	0	50	19	15	17	16					
6	Число погашенных бюллетеней	26990	942	915	233	1145	901	1016	1024	570	425	560	689	438	1387	555	1104	738	66	529	364	774	720	317	214	131	119	611	741	825	957	809	64	860	517	434	563	1049	942	8	5	6	0	324	0	335	601	727	329	407					
7	Число бюллетеней в переносных ящиках для голосования	1153	32	19	25	20	23	17	90	28	25	31	42	43	27	17	26	46	70	35	8	13	25	31	10	27	25	22	5	8	18	15	20	17	37	10	19	44	13	24	0	0	0	29	0	50	19	15	17	16					
8	Число бюллетеней в стационарных ящиках для голосования	46178	1326	1066	742	1135	1076	1367	1386	402	850	909	1269	819	1086	928	1370	1216	364	1435	928	1213	1255	1652	1066	1042	856	1367	1554	1167	1025	1474	116	1123	1446	855	418	1207	1545	28	55	44	66	347	300	1115	1379	1258	954	577					
9	Число недействительных бюллетеней	901	32	15	12	19	14	30	72	6	27	18	17	6	38	15	37	14	10	40	19	12	34	46	11	14	20	42	9	8	19	13	2	22	25	9	7	21	34	0	0	0	1	3	18	19	21	11	17	22					
10	Число действительных бюллетеней	46430	1326	1070	755	1136	1085	1354	1404	424	848	922	1294	856	1075	930	1359	1248	424	1430	917	1214	1246	1637	1065	1055	861	1347	1550	1167	1024	1476	134	1118	1458	856	430	1230	1524	52	55	44	65	373	282	1146	1377	1262	954	571					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1080	25	25	25	28	25	25	25	20	20	25	25	25	25	25	25	25	20	25	20	25	25	25	25	25	20	25	28	25	25	28	10	28	45	25	20	28	28	10	0	0	0	20	10	25	28	29	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	566	21	9	6	15	16	13	11	2	3	7	7	10	10	7	23	9	3	16	12	19	18	15	16	11	14	15	17	16	18	17	0	19	42	7	2	9	27	4	0	0	0	5	0	9	21	18	16	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	553	7	13	5	3	8	6	9	6	6	10	3	13	10	10	3	3	16	15	10	8	11	13	9	9	10	10	12	13	12	5	4	20	8	14	12	7	7	7	39	22	54	10	36	6	11	10	11	7					
14	Число погашенных открепительных удостоверений	514	4	16	19	13	9	12	14	18	17	18	18	15	15	18	2	16	17	9	8	6	7	10	9	14	6	10	11	9	7	11	10	9	3	18	18	19	1	6	0	0	0	15	10	16	7	11	4	9					
15	Число открепительных удостоверений выданных ТИК	80	3	1	0	3	5	1	1	0	1	3	3	1	4	2	5	1	0	6	1	2	2	2	3	0	1	0	2	1	2	2	0	3	5	1	0	2	6	0	0	0	0	0	0	0	1	1	2	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	752	16	15	11	24	6	26	59	3	18	30	35	19	18	14	28	21	6	19	12	28	17	24	22	19	5	26	20	11	8	9	4	9	32	7	9	21	21	1	2	2	1	1	2	24	7	25	10	5					
		1.58%	1.17%	1.38%	1.43%	2.07%	0.54%	1.87%	3.99%	0.69%	2.05%	3.19%	2.66%	2.20%	1.61%	1.48%	2.00%	1.66%	1.38%	1.29%	1.28%	2.28%	1.32%	1.42%	2.04%	1.77%	0.56%	1.87%	1.28%	0.93%	0.76%	0.60%	2.94%	0.78%	2.15%	0.80%	2.05%	1.67%	1.34%	1.92%	3.63%	4.54%	1.51%	0.26%	0.66%	2.06%	0.50%	1.96%	1.02%	0.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2758	77	55	46	51	47	87	60	21	38	24	58	37	64	55	82	74	17	90	96	83	83	87	64	50	43	69	91	89	66	144	3	37	84	54	35	103	122	3	1	3	6	19	4	65	63	111	70	27					
