Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Брейтовская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5914	1664	1264	286	105	306	356	368	328	251	438	241	101	206									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4700	1300	1000	210	90	250	290	300	260	200	350	200	80	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2033	701	456	59	51	50	127	101	119	53	162	65	20	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	786	42	54	71	18	104	85	101	56	63	59	63	29	41									
6	Число погашенных избирательных бюллетеней	1881	557	490	80	21	96	78	98	85	84	129	72	31	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	786	42	54	71	18	104	85	101	56	63	59	63	29	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2033	701	456	59	51	50	127	101	119	53	162	65	20	69									
9	Число недействительных избирательных бюллетеней	30	12	7	2	0	1	3	2	1	1	1	0	0	0									
10	Число действительных избирательных бюллетеней	2789	731	503	128	69	153	209	200	174	115	220	128	49	110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	136	16	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	10	0	0	2	3	7	3	0	0	3	1	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	6	6	5	0	3	0	0	1	2	9	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	104	6	10	10	8	7	3	7	10	10	7	9	10	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	2	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	49	10	7	4	0	2	5	2	1	0	9	2	2	5									
		1.74%	1.35%	1.37%	3.08%	0.00%	1.30%	2.36%	0.99%	0.57%	0.00%	4.07%	1.56%	4.08%	4.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	69	15	21	2	1	1	8	7	1	2	3	3	1	4									
		2.45%	2.02%	4.12%	1.54%	1.45%	0.65%	3.77%	3.47%	0.57%	1.72%	1.36%	2.34%	2.04%	3.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	63	15	13	5	0	3	5	6	4	3	5	3	0	1									
		2.23%	2.02%	2.55%	3.85%	0.00%	1.95%	2.36%	2.97%	2.29%	2.59%	2.26%	2.34%	0.00%	0.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1534	332	259	70	51	104	123	119	116	68	132	58	33	69									
		54.42%	44.68%	50.78%	53.85%	73.91%	67.53%	58.02%	58.91%	66.29%	58.62%	59.73%	45.31%	67.35%	62.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	10	3	2	0	1	0	3	4	0	1	2	0	0									
		0.92%	1.35%	0.59%	1.54%	0.00%	0.65%	0.00%	1.49%	2.29%	0.00%	0.45%	1.56%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	465	136	76	21	8	21	30	35	33	26	29	24	9	17									
		16.50%	18.30%	14.90%	16.15%	11.59%	13.64%	14.15%	17.33%	18.86%	22.41%	13.12%	18.75%	18.37%	15.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	5	0	1	0	0	0	0	0	0	1	0	0	0									
		0.25%	0.67%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	12	5	1	0	0	0	2	3	2	0	1	0	0									
