Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Зерноградская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №178	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №2565	УИК №2569					
1	"Число избирателей, внесенных в списки"	50898	237	1673	1316	1949	1113	339	421	183	222	487	515	253	2001	178	313	371	63	701	1756	181	591	1018	404	1490	355	133	895	340	243	191	212	218	216	166	1520	1295	224	350	509	487	792	223	316	447	1606	1596	1955	1470	1351	1788	1676	1381	907	2417	302	1267	205	1363	2347	1324	848	188					
2	"Число бюллетеней, полученных участковыми комиссиями"	50470	235	1690	1320	1960	1110	336	425	183	220	485	530	272	2030	176	310	382	65	695	1726	182	580	1015	405	1500	354	133	900	340	249	187	210	220	208	170	1530	1310	229	351	510	475	755	210	308	440	1605	1570	1900	1430	1320	1740	1640	1340	910	2360	290	1240	200	1310	2270	1280	950	194					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24598	148	713	538	709	419	121	225	85	134	135	208	129	1082	90	121	197	51	393	1044	121	350	380	177	783	180	89	520	187	178	129	118	150	173	117	845	808	165	227	258	209	423	158	165	252	765	536	683	553	601	821	594	713	408	1112	169	569	89	664	1256	809	446	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2228	13	45	66	30	39	43	27	31	19	22	66	36	85	5	21	37	5	35	101	18	6	99	29	21	0	0	20	15	22	0	34	24	12	18	56	105	22	52	7	19	7	13	7	10	59	90	113	113	54	74	45	51	70	64	29	24	33	21	30	6	0	10					
6	Число погашенных бюллетеней	23644	74	932	716	1221	652	172	173	67	67	328	256	107	863	81	168	148	9	267	581	43	224	536	199	696	174	44	360	138	49	58	58	46	23	35	629	397	42	72	245	247	325	39	136	178	781	944	1104	764	665	845	1001	576	432	1184	92	647	78	625	984	465	504	78					
7	Число бюллетеней в переносных ящиках для голосования	2228	13	45	66	30	39	43	27	31	19	22	66	36	85	5	21	37	5	35	101	18	6	99	29	21	0	0	20	15	22	0	34	24	12	18	56	105	22	52	7	19	7	13	7	10	59	90	113	113	54	74	45	51	70	64	29	24	33	21	30	6	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	24587	148	713	538	706	419	121	225	85	134	135	208	129	1082	90	121	197	51	393	1044	121	350	379	177	782	180	89	520	187	178	129	118	150	173	117	845	808	165	227	258	209	423	158	165	252	765	536	683	553	601	821	594	711	408	1112	169	569	89	664	1254	807	446	106					
9	Число недействительных бюллетеней	498	2	12	12	20	6	1	1	5	1	4	15	2	20	5	4	7	0	10	36	3	10	10	9	10	7	1	10	10	8	3	1	6	2	3	8	24	4	16	8	14	19	5	14	9	9	11	11	12	10	8	8	3	8	9	2	4	1	7	10	5	0	3					
10	Число действительных бюллетеней	26317	159	746	592	716	452	163	251	111	152	153	259	163	1147	90	138	227	56	418	1109	136	346	468	197	793	173	88	530	192	192	126	151	168	183	132	893	889	183	263	257	214	411	166	158	253	815	615	785	654	645	887	631	759	470	1167	196	589	121	678	1274	808	446	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	600	5	15	15	15	10	5	5	5	5	5	5	5	15	5	5	5	5	5	15	5	5	10	5	10	5	5	10	5	5	5	5	5	5	5	15	15	5	5	5	5	10	5	5	5	15	15	15	15	10	15	15	10	10	20	5	10	5	25	40	25	30	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	221	1	4	4	6	1	0	1	0	1	0	0	0	9	0	0	0	0	0	2	0	0	1	0	8	2	0	7	0	3	0	0	0	0	0	7	5	0	0	1	2	1	3	3	0	6	6	6	5	2	10	9	8	2	15	0	4	0	4	30	14	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	3	4	6	2	3	4	3	2	4	2	2	2	10	2	3	3	5	3	8	2	2	4	2	2	6	2	3	2	2	2	3	2	4	1	6	2	2	2	3	3	7	4	6	2	6	2	3	5	2	4	7	9	1	19	6	4	4	6	6	7	12	2					
14	Число погашенных открепительных удостоверений	379	4	11	11	9	9	5	4	5	4	5	5	5	6	5	5	5	5	5	13	5	5	9	5	2	3	5	3	5	2	5	5	5	5	5	8	10	5	5	4	3	9	2	2	5	9	9	9	10	8	5	6	2	8	5	5	6	5	21	10	11	2	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	"1. ""ЕДИНЕНИЕ"""	470	4	4	8	6	6	2	6	1	0	4	8	3	18	3	2	9	0	13	40	5	17	12	4	14	7	1	21	3	5	4	8	6	3	4	11	23	3	7	9	1	12	4	0	9	5	10	7	6	11	21	3	7	8	12	4	7	3	6	16	8	5	1					
		1.75%	2.48%	0.52%	1.32%	0.81%	1.31%	1.21%	2.38%	0.86%	0.0%	2.54%	2.91%	1.81%	1.54%	3.15%	1.40%	3.84%	0.0%	3.03%	3.49%	3.59%	4.77%	2.51%	1.94%	1.74%	3.88%	1.12%	3.88%	1.48%	2.5%	3.10%	5.26%	3.44%	1.62%	2.96%	1.22%	2.51%	1.60%	2.50%	3.39%	0.43%	2.79%	2.33%	0.0%	3.43%	0.60%	1.59%	0.87%	0.90%	1.67%	2.34%	0.46%	0.91%	1.67%	1.02%	2.02%	1.18%	2.45%	0.87%	1.24%	0.98%	1.12%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	408	3	9	4	11	4	4	3	0	0	0	3	4	8	2	2	5	0	2	24	3	9	6	2	14	1	2	3	2	3	1	0	3	2	1	9	15	0	9	6	2	5	2	1	4	16	9	10	6	15	7	14	22	7	28	0	9	1	20	13	21	15	2					
		1.52%	1.86%	1.18%	0.66%	1.49%	0.87%	2.43%	1.19%	0.0%	0.0%	0.0%	1.09%	2.42%	0.68%	2.10%	1.40%	2.13%	0.0%	0.46%	2.09%	2.15%	2.52%	1.25%	0.97%	1.74%	0.55%	2.24%	0.55%	0.99%	1.5%	0.77%	0.0%	1.72%	1.08%	0.74%	0.99%	1.64%	0.0%	3.22%	2.26%	0.87%	1.16%	1.16%	0.58%	1.52%	1.94%	1.43%	1.25%	0.90%	2.29%	0.78%	2.19%	2.88%	1.46%	2.38%	0.0%	1.51%	0.81%	2.91%	1.01%	2.58%	3.36%	1.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	748	3	27	11	20	11	3	11	1	5	1	6	3	31	2	6	7	2	4	38	4	8	17	5	33	3	2	29	2	4	1	3	0	2	4	18	22	1	4	35	2	8	0	2	8	28	21	26	12	15	22	33	27	17	46	3	13	0	21	24	21	3	7					
		2.78%	1.86%	3.56%	1.82%	2.71%	2.40%	1.82%	4.36%	0.86%	3.26%	0.63%	2.18%	1.81%	2.65%	2.10%	4.22%	2.99%	3.57%	0.93%	3.31%	2.87%	2.24%	3.55%	2.42%	4.10%	1.66%	2.24%	5.37%	0.99%	2.0%	0.77%	1.97%	0.0%	1.08%	2.96%	1.99%	2.40%	0.53%	1.43%	13.20%	0.87%	1.86%	0.0%	1.16%	3.05%	3.39%	3.35%	3.26%	1.80%	2.29%	2.45%	5.16%	3.54%	3.55%	3.91%	1.51%	2.19%	0.0%	3.06%	1.86%	2.58%	0.67%	6.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	485	1	8	7	15	5	3	1	1	1	1	3	2	9	1	3	4	0	4	13	0	7	6	0	16	1	1	6	1	1	0	1	0	3	0	20	6	1	2	4	2	2	2	3	5	31	18	23	9	15	12	26	31	12	33	4	15	5	16	22	28	10	3					
		1.80%	0.62%	1.05%	1.15%	2.03%	1.09%	1.82%	0.39%	0.86%	0.65%	0.63%	1.09%	1.21%	0.77%	1.05%	2.11%	1.70%	0.0%	0.93%	1.13%	0.0%	1.96%	1.25%	0.0%	1.99%	0.55%	1.12%	1.11%	0.49%	0.5%	0.0%	0.65%	0.0%	1.62%	0.0%	2.21%	0.65%	0.53%	0.71%	1.50%	0.87%	0.46%	1.16%	1.74%	1.90%	3.76%	2.87%	2.88%	1.35%	2.29%	1.34%	4.06%	4.06%	2.51%	2.80%	2.02%	2.52%	4.09%	2.33%	1.71%	3.44%	2.24%	2.58%					
22	"5. ""За Русь Святую"""	122	0	12	4	3	8	0	2	3	0	3	0	0	5	1	1	0	0	0	4	0	1	3	0	3	0	1	3	1	1	2	0	0	0	2	2	3	0	1	2	2	1	0	2	0	5	1	0	2	2	6	3	5	3	2	1	4	1	2	5	4	0	0					
		0.45%	0.0%	1.58%	0.66%	0.40%	1.74%	0.0%	0.79%	2.58%	0.0%	1.91%	0.0%	0.0%	0.42%	1.05%	0.70%	0.0%	0.0%	0.0%	0.34%	0.0%	0.28%	0.62%	0.0%	0.37%	0.0%	1.12%	0.55%	0.49%	0.5%	1.55%	0.0%	0.0%	0.0%	1.48%	0.22%	0.32%	0.0%	0.35%	0.75%	0.87%	0.23%	0.0%	1.16%	0.0%	0.60%	0.15%	0.0%	0.30%	0.30%	0.67%	0.46%	0.65%	0.62%	0.17%	0.50%	0.67%	0.81%	0.29%	0.38%	0.49%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	76	2	4	0	1	4	1	0	1	2	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	2	0	2	0	0	0	2	1	3	0	1	2	0	1	1	0	0	1	2	3	3	0	2	4	3	7	5	0	2	0	0	0	0	1	4	1	1	0					
		0.28%	1.24%	0.52%	0.0%	0.13%	0.87%	0.60%	0.0%	0.86%	1.30%	0.0%	0.0%	0.0%	0.08%	1.05%	0.70%	0.0%	0.0%	0.23%	0.08%	0.71%	0.0%	0.0%	0.0%	0.12%	1.11%	0.0%	0.37%	0.0%	0.0%	0.0%	1.31%	0.57%	1.62%	0.0%	0.11%	0.21%	0.0%	0.35%	0.37%	0.0%	0.0%	0.58%	1.16%	1.14%	0.36%	0.0%	0.25%	0.60%	0.45%	0.78%	0.78%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.14%	0.31%	0.12%	0.22%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	226	0	5	3	0	3	2	0	2	3	0	1	0	2	1	2	1	0	3	4	1	3	1	1	7	1	0	3	0	1	1	0	1	1	0	6	2	0	0	2	1	2	2	0	2	10	5	12	15	12	8	5	6	4	10	1	9	1	9	26	17	6	0					
		0.84%	0.0%	0.65%	0.49%	0.0%	0.65%	1.21%	0.0%	1.72%	1.96%	0.0%	0.36%	0.0%	0.17%	1.05%	1.40%	0.42%	0.0%	0.70%	0.34%	0.71%	0.84%	0.20%	0.48%	0.87%	0.55%	0.0%	0.55%	0.0%	0.5%	0.77%	0.0%	0.57%	0.54%	0.0%	0.66%	0.21%	0.0%	0.0%	0.75%	0.43%	0.46%	1.16%	0.0%	0.76%	1.21%	0.79%	1.50%	2.25%	1.83%	0.89%	0.78%	0.78%	0.83%	0.85%	0.50%	1.51%	0.81%	1.31%	2.02%	2.09%	1.34%	0.0%					
25	"8. ""Народно-республиканская партия России"""	51	1	3	0	1	0	1	0	0	0	0	1	0	2	0	2	1	0	1	3	0	2	0	1	0	0	1	2	1	0	0	0	0	3	0	1	2	0	2	0	1	0	1	1	1	5	1	1	2	1	1	0	0	1	1	0	0	0	1	1	0	0	1					
