Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Камышинская городская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84559	1961	2053	2029	959	869	1219	2162	2147	2158	2594	1740	1472	2076	2279	2348	2422	2174	1849	2100	1730	1688	2075	1826	1947	1273	2626	2344	1615	2339	2402	2386	1111	2096	1018	2440	1627	2761	2089	2372	2762	1075	2673	1673									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84500	1900	2200	2000	700	800	1200	2200	2100	2200	2600	1900	1600	2100	2300	2400	2700	2300	1900	2300	1700	1700	2000	1700	1900	1200	2700	2300	1600	2400	2600	2300	1000	2100	1100	2400	1600	2200	2100	2300	2700	1100	2600	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35444	808	883	816	325	300	423	939	839	925	1088	992	716	872	902	875	1537	1017	862	924	635	562	835	502	736	510	1024	929	750	906	1082	944	452	925	372	810	594	1792	869	932	1075	500	1051	614									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2500	25	92	23	160	13	12	24	50	21	14	12	9	9	6	25	46	32	41	193	48	137	128	45	33	23	53	32	38	25	155	36	12	70	40	103	19	379	28	77	53	111	22	26									
6	Число погашенных избирательных бюллетеней	46556	1067	1225	1161	215	487	765	1237	1211	1254	1498	896	875	1219	1392	1500	1117	1251	997	1183	1017	1001	1037	1153	1131	667	1623	1339	812	1469	1363	1320	536	1105	688	1487	987	29	1203	1291	1572	489	1527	1160									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2500	25	92	23	160	13	12	24	50	21	14	12	9	9	6	25	46	32	41	193	48	137	128	45	33	23	53	32	38	25	155	36	12	70	40	103	19	379	28	77	53	111	22	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35419	808	883	816	325	300	423	915	839	925	1088	992	716	872	901	875	1537	1017	862	924	635	562	835	502	736	510	1024	929	750	906	1082	944	452	925	372	810	594	1792	869	932	1075	500	1051	614									
9	Число недействительных избирательных бюллетеней	783	20	29	22	18	12	13	0	14	17	17	23	10	10	26	18	9	26	24	16	13	18	15	11	19	12	27	24	24	12	24	20	8	22	7	23	22	10	15	18	37	22	46	10									
10	Число действительных избирательных бюллетеней	37136	813	946	817	467	301	422	939	875	929	1085	981	715	871	881	882	1574	1023	879	1101	670	681	948	536	750	521	1050	937	764	919	1213	960	456	973	405	890	591	2161	882	991	1091	589	1027	630									
