Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Серпуховская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762					
1	"Число избирателей, внесенных в списки избирателей"	33407	574	264	258	147	645	1309	190	239	302	892	588	835	371	754	790	784	250	546	168	340	104	335	705	2547	2476	1104	244	155	903	1213	176	733	340	151	2219	2351	1634	1659	1635	2477					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29189	510	210	200	130	565	1115	170	210	245	780	435	720	285	610	730	690	240	450	140	290	89	280	630	2240	2200	1020	220	135	760	1080	150	690	265	145	2000	2150	1400	1450	1360	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19821	314	139	176	109	386	705	60	121	173	546	383	590	241	479	577	501	107	269	108	153	71	149	526	1633	1633	647	143	80	482	750	68	573	200	90	1167	1294	886	892	1012	1388					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1584	42	16	14	1	39	50	67	0	41	97	18	44	44	117	15	44	30	77	29	60	18	71	13	43	45	49	40	33	46	46	53	38	47	23	10	28	48	63	20	5					
6	Число погашенных избирательных бюллетеней	7784	154	55	10	20	140	360	43	89	31	137	34	86	0	14	138	145	103	104	3	77	0	60	91	564	522	324	37	22	232	284	29	79	18	32	823	828	466	495	328	807					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1584	42	16	14	1	39	50	67	0	41	97	18	44	44	117	15	44	30	77	29	60	18	71	13	43	45	49	40	33	46	46	53	38	47	23	10	28	48	63	20	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19814	314	139	176	109	386	705	60	121	173	546	383	590	241	479	577	501	107	269	108	153	71	149	526	1633	1633	647	143	80	482	750	68	573	200	90	1165	1291	886	892	1012	1386					
9	Число недействительных избирательных бюллетеней	294	5	0	0	1	4	4	1	1	0	10	11	2	22	5	13	7	2	4	1	1	2	3	8	12	31	5	1	0	10	8	1	7	2	1	17	15	7	12	19	39					
10	Число действительных избирательных бюллетеней	21104	351	155	190	109	421	751	126	120	214	633	390	632	263	591	579	538	135	342	136	212	87	217	531	1664	1647	691	182	113	518	788	120	604	245	112	1158	1304	927	943	1013	1352					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	787	15	14	8	5	9	19	2	5	18	10	10	23	10	10	30	14	5	10	5	15	10	10	12	67	64	45	15	5	20	39	2	25	10	14	40	40	16	15	42	59					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	760	14	13	8	5	9	19	1	5	18	10	8	23	9	10	26	14	5	10	3	15	2	10	12	67	64	45	13	5	20	37	1	25	10	14	38	40	16	15	42	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	917	18	13	17	3	19	97	2	2	5	13	14	56	31	30	4	13	8	11	6	10	9	6	11	166	118	14	4	12	32	15	9	10	14	4	5	17	28	26	14	31					
14	Число погашенных неиспользованных открепительных удостоверений	27	1	1	0	0	0	0	1	0	0	0	2	0	1	0	4	0	0	0	2	0	8	0	0	0	0	0	2	0	0	2	1	0	0	0	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	0	0	0	1	2	0	1	1	1	0	2	0	2	1	0	0	4	0	0	0	0	3	3	4	1	0	0	1	3	0	0	0	0	0	4	8	5	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	469	9	6	4	2	7	17	5	3	3	9	8	9	5	6	11	4	5	11	8	7	0	7	3	39	33	18	3	4	17	17	8	7	6	7	34	30	17	31	22	27					
		2.19%	2.53%	3.87%	2.11%	1.82%	1.65%	2.25%	3.94%	2.48%	1.40%	1.40%	1.99%	1.42%	1.75%	1.01%	1.86%	0.73%	3.65%	3.18%	5.84%	3.29%	0.00%	3.18%	0.56%	2.33%	1.97%	2.59%	1.64%	3.54%	3.22%	2.14%	6.61%	1.15%	2.43%	6.19%	2.89%	2.27%	1.82%	3.25%	2.13%	1.94%					
19	2.Всероссийская политическая партия «Гражданская Сила»	219	1	4	1	0	0	3	2	2	3	2	0	8	0	6	9	1	0	3	1	0	0	0	6	11	16	5	0	0	0	5	0	3	2	1	37	30	0	2	23	32					
		1.02%	0.28%	2.58%	0.53%	0.00%	0.00%	0.40%	1.57%	1.65%	1.40%	0.31%	0.00%	1.26%	0.00%	1.01%	1.52%	0.18%	0.00%	0.87%	0.73%	0.00%	0.00%	0.00%	1.11%	0.66%	0.95%	0.72%	0.00%	0.00%	0.00%	0.63%	0.00%	0.49%	0.81%	0.88%	3.15%	2.27%	0.00%	0.21%	2.23%	2.30%					
20	3.Политическая партия «Демократическая партия России»	37	0	0	1	0	0	2	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	4	2	2	0	0	1	2	1	0	0	0	2	4	1	0	6	2					
		0.17%	0.00%	0.00%	0.53%	0.00%	0.00%	0.26%	0.00%	0.83%	0.00%	0.16%	0.25%	0.00%	0.00%	0.00%	0.17%	0.18%	0.73%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.24%	0.12%	0.29%	0.00%	0.00%	0.19%	0.25%	0.83%	0.00%	0.00%	0.00%	0.17%	0.30%	0.11%	0.00%	0.58%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2842	76	13	27	12	59	75	10	11	13	114	50	114	47	64	63	51	15	45	20	40	8	18	46	243	225	106	19	11	103	129	10	75	38	21	160	146	135	145	82	203					
		13.28%	21.35%	8.39%	14.21%	10.91%	13.88%	9.93%	7.87%	9.09%	6.07%	17.73%	12.47%	17.98%	16.49%	10.74%	10.64%	9.36%	10.95%	13.01%	14.60%	18.78%	8.99%	8.18%	8.53%	14.50%	13.41%	15.23%	10.38%	9.73%	19.51%	16.21%	8.26%	12.27%	15.38%	18.58%	13.62%	11.07%	14.45%	15.18%	7.95%	14.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	103	5	0	12	0	0	5	2	4	0	2	2	3	0	3	3	0	0	1	0	0	1	0	1	0	6	3	0	0	1	1	1	1	0	1	20	3	2	7	9	4					
		0.48%	1.40%	0.00%	6.32%	0.00%	0.00%	0.66%	1.57%	3.31%	0.00%	0.31%	0.50%	0.47%	0.00%	0.50%	0.51%	0.00%	0.00%	0.29%	0.00%	0.00%	1.12%	0.00%	0.19%	0.00%	0.36%	0.43%	0.00%	0.00%	0.19%	0.13%	0.83%	0.16%	0.00%	0.88%	1.70%	0.23%	0.21%	0.73%	0.87%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	51	1	1	1	0	0	0	0	0	0	3	1	1	0	2	2	1	0	0	0	0	0	2	0	1	3	2	0	0	0	3	1	2	0	0	13	1	1	1	5	3					
		0.24%	0.28%	0.65%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.25%	0.16%	0.00%	0.34%	0.34%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.06%	0.18%	0.29%	0.00%	0.00%	0.00%	0.38%	0.83%	0.33%	0.00%	0.00%	1.11%	0.08%	0.11%	0.10%	0.48%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	1810	30	10	9	33	25	57	13	17	10	33	21	28	7	32	112	44	17	39	11	28	5	22	31	160	117	41	15	8	24	49	3	37	17	6	102	111	63	49	211	163					
		8.46%	8.43%	6.45%	4.74%	30.00%	5.88%	7.55%	10.24%	14.05%	4.67%	5.13%	5.24%	4.42%	2.46%	5.37%	18.92%	8.07%	12.41%	11.27%	8.03%	13.15%	5.62%	10.00%	5.75%	9.55%	6.97%	5.89%	8.20%	7.08%	4.55%	6.16%	2.48%	6.06%	6.88%	5.31%	8.68%	8.42%	6.75%	5.13%	20.45%	11.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1208	18	15	12	7	18	46	5	15	9	37	22	30	7	24	35	15	7	38	6	9	4	6	19	92	73	34	5	3	23	31	1	19	14	6	133	95	35	61	61	118					
		5.65%	5.06%	9.68%	6.32%	6.36%	4.24%	6.09%	3.94%	12.40%	4.21%	5.75%	5.49%	4.73%	2.46%	4.03%	5.91%	2.75%	5.11%	10.98%	4.38%	4.23%	4.49%	2.73%	3.53%	5.49%	4.35%	4.89%	2.73%	2.65%	4.36%	3.89%	0.83%	3.11%	5.67%	5.31%	11.32%	7.20%	3.75%	6.39%	5.91%	8.48%					
