Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Атнинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10274	1335	1342	355	683	448	167	301	568	134	393	644	504	321	235	331	139	270	110	305	188	716	167	174	202	242									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10383	1353	1338	358	684	454	167	303	577	136	396	644	513	323	240	332	144	276	112	312	189	732	169	178	207	246									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9635	1245	1269	335	652	421	143	270	498	131	370	633	469	287	202	331	139	259	106	265	178	682	159	167	189	235									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	548	63	44	20	29	27	24	31	66	3	15	11	35	26	31	0	0	6	3	40	10	29	8	7	13	7									
6	Число погашенных избирательных бюллетеней	200	45	25	3	3	6	0	2	13	2	11	0	9	10	7	1	5	11	3	7	1	21	2	4	5	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	548	63	44	20	29	27	24	31	66	3	15	11	35	26	31	0	0	6	3	40	10	29	8	7	13	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9635	1245	1269	335	652	421	143	270	498	131	370	633	469	287	202	331	139	259	106	265	178	682	159	167	189	235									
9	Число недействительных избирательных бюллетеней	9	0	0	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	10174	1308	1313	352	681	448	167	301	564	134	385	641	504	313	233	328	139	265	109	305	188	711	167	174	202	242									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	25	25	5	12	8	4	4	10	3	8	12	8	6	6	6	4	6	3	6	5	14	3	6	5	6									
