Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662					
1	"Число избирателей, внесенных в список избирателей"	93627	1440	864	1082	1547	2056	1878	1867	1550	1353	759	490	517	989	1200	2255	1810	1217	1175	921	1475	1392	1248	1839	1425	1633	2211	2058	1682	2126	1730	1260	805	2041	2733	1739	1995	700	954	1938	1579	1100	703	1964	2329	1791	1735	2290	2318	2194	852	1514	1118	1277	1182	712	1034	1342	635	2309	2225	1580	1890					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97450	1400	950	1150	1400	2150	1750	1900	1650	1350	750	450	750	1050	1200	1750	1600	1400	1350	900	2550	1550	2100	1800	1400	1650	2150	2100	1800	2650	1700	1250	700	2100	2850	1850	2000	1100	1050	2050	1500	1250	700	1900	2250	1800	1600	2300	2150	2450	850	1350	1650	1200	1350	700	1100	1250	900	2150	2500	1300	1950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61281	1073	752	633	700	1406	993	1371	1295	1088	600	347	489	578	827	1363	1208	1006	1008	463	1343	865	1018	809	688	977	1058	1547	1018	1736	1053	1070	446	1278	2148	1012	1114	609	541	1608	864	825	526	1066	1034	1041	511	1918	1330	1389	561	827	1029	669	910	647	839	969	566	1034	1234	1155	1199					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5428	151	74	52	185	50	41	134	219	244	34	13	28	100	25	31	37	70	23	12	132	69	69	31	136	3	32	125	80	119	42	11	123	78	96	38	12	19	63	37	16	93	24	34	16	108	1054	100	45	96	78	50	89	40	31	16	148	80	69	73	137	23	170					
6	Число погашенных избирательных бюллетеней	30741	176	124	465	515	694	716	395	136	18	116	90	233	372	348	356	355	324	319	425	1075	616	1013	960	576	670	1060	428	702	795	605	169	131	744	606	800	874	472	446	405	620	332	150	800	1200	651	35	282	775	965	211	473	532	491	409	37	113	201	265	1043	1129	122	581					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5428	151	74	52	185	50	41	134	219	244	34	13	28	100	25	31	37	70	23	12	132	69	69	31	136	3	32	125	80	119	42	11	123	78	96	38	12	19	63	37	16	93	24	34	16	108	1054	100	45	96	78	50	89	40	31	16	148	80	69	73	137	23	170					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61212	1073	747	633	700	1406	990	1371	1295	1088	575	347	489	578	825	1361	1208	1006	1008	462	1343	865	1018	806	688	977	1058	1547	1018	1734	1051	1069	446	1278	2148	1007	1112	609	541	1608	863	825	526	1061	1034	1041	511	1918	1330	1389	560	826	1025	669	910	647	839	969	566	1032	1234	1153	1199					
9	Число недействительных избирательных бюллетеней	1084	18	15	15	10	36	17	17	10	19	10	11	7	15	14	24	8	3	24	12	27	31	22	17	14	31	23	23	37	32	27	26	10	35	2	8	26	20	17	24	24	16	8	14	23	28	1	5	38	26	9	9	20	9	12	3	7	7	16	18	5	28	21					
10	Число действительных избирательных бюллетеней	65556	1206	806	670	875	1420	1014	1488	1504	1313	599	349	510	663	836	1368	1237	1073	1007	462	1448	903	1065	820	810	949	1067	1649	1061	1821	1066	1054	559	1321	2242	1037	1098	608	587	1621	855	902	542	1081	1027	1121	1564	2013	1337	1459	629	867	1094	700	929	660	980	1042	619	1087	1366	1148	1348					
