Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Частоозерская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №913	УИК №914	УИК №915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931					
1	"Число избирателей, внесенных в списки"	5868	771	1014	428	198	80	370	313	93	470	144	95	470	72	425	103	131	379	98	214					
2	"Число бюллетеней, полученных участковыми комиссиями"	5987	776	1012	435	200	84	398	326	95	466	146	99	481	83	429	110	140	390	104	213					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3947	456	617	260	150	73	279	202	63	330	113	73	322	47	271	88	104	274	89	136					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	325	20	22	13	0	0	59	16	0	23	0	0	28	3	25	4	10	56	0	46					
6	Число погашенных бюллетеней	1715	300	373	162	50	11	60	108	32	113	33	26	131	33	133	18	26	60	15	31					
7	Число бюллетеней в переносных ящиках для голосования	325	20	22	13	0	0	59	16	0	23	0	0	28	3	25	4	10	56	0	46					
8	Число бюллетеней в стационарных ящиках для голосования	3947	456	617	260	150	73	279	202	63	330	113	73	322	47	271	88	104	274	89	136					
9	Число недействительных бюллетеней	37	2	7	0	0	0	1	0	0	5	3	2	4	1	7	0	0	1	3	1					
10	Число действительных бюллетеней	4235	474	632	273	150	73	337	218	63	348	110	71	346	49	289	92	114	329	86	181					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	113	8	19	6	4	2	12	5	2	10	3	2	9	3	8	2	4	7	2	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	32	1	0	0	0	0	11	1	0	3	1	0	3	3	0	1	1	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	1	4	1	0	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	81	7	19	6	4	2	1	4	2	7	2	2	6	0	8	1	3	0	2	5					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	59	4	7	3	5	2	4	4	0	2	4	0	1	2	2	0	1	13	0	5					
		1.38%	0.84%	1.09%	1.09%	3.33%	2.73%	1.18%	1.83%	0.0%	0.56%	3.53%	0.0%	0.28%	4.0%	0.67%	0.0%	0.87%	3.93%	0.0%	2.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	10	1	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0					
