Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Бабаевская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17953	1056	1126	1063	916	984	1248	1041	1257	1325	183	1679	374	348	69	235	193	456	324	115	323	507	45	244	630	187	426	149	195	530	450	116	159									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16070	1000	1000	1000	800	900	1000	1000	1000	1000	150	1500	350	350	80	200	200	400	300	120	300	500	50	200	600	190	400	140	190	500	400	100	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6546	386	414	424	397	446	462	307	406	476	58	534	105	145	36	96	59	146	167	52	132	165	32	115	240	73	176	47	68	141	162	25	54									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1256	27	22	12	26	20	16	30	47	30	49	113	72	58	12	39	50	88	6	15	52	52	9	17	59	53	52	26	18	67	62	36	21									
6	Число погашенных избирательных бюллетеней	8268	587	564	564	377	434	522	663	547	494	43	853	173	147	32	65	91	166	127	53	116	283	9	68	301	64	172	67	104	292	176	39	75									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1256	27	22	12	26	20	16	30	47	30	49	113	72	58	12	39	50	88	6	15	52	52	9	17	59	53	52	26	18	67	62	36	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6545	385	414	424	397	446	462	307	406	476	58	534	105	145	36	96	59	146	167	52	132	165	32	115	240	73	176	47	68	141	162	25	54									
9	Число недействительных избирательных бюллетеней	178	10	5	9	12	11	7	14	6	10	1	12	4	2	0	3	4	4	4	2	5	11	0	8	11	0	6	1	2	7	4	2	1									
10	Число действительных избирательных бюллетеней	7623	402	431	427	411	455	471	323	447	496	106	635	173	201	48	132	105	230	169	65	179	206	41	124	288	126	222	72	84	201	220	59	74									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	519	20	20	20	20	20	20	20	20	20	10	37	20	20	13	20	15	30	10	5	20	20	5	14	20	10	20	10	5	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	258	3	10	6	9	3	7	3	10	7	8	19	20	20	13	13	7	11	3	3	16	7	3	14	5	4	12	6	0	6	7	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	248	47	7	10	15	15	20	10	10	6	4	17	4	2	2	7	1	6	1	0	7	10	0	6	5	7	4	9	5	4	6	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	261	17	10	14	11	17	13	17	10	13	2	18	0	0	0	7	8	19	7	2	4	13	2	0	15	6	8	4	5	4	3	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	167	10	6	12	12	10	9	8	5	7	2	11	1	6	0	1	1	5	6	1	6	11	0	3	5	6	13	0	1	6	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	75	5	4	4	1	2	8	3	1	7	0	7	2	2	2	3	1	3	1	0	3	0	0	1	3	1	0	2	0	5	2	1	1									
		0.96%	1.21%	0.92%	0.92%	0.24%	0.43%	1.67%	0.89%	0.22%	1.38%	0.00%	1.08%	1.13%	0.99%	4.17%	2.22%	0.92%	1.28%	0.58%	0.00%	1.63%	0.00%	0.00%	0.76%	1.00%	0.79%	0.00%	2.74%	0.00%	2.40%	0.89%	1.64%	1.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	8	12	7	12	14	10	10	14	9	2	16	6	3	1	3	1	3	1	2	0	8	2	3	15	3	7	2	2	3	6	2	2									
		2.42%	1.94%	2.75%	1.61%	2.84%	3.00%	2.09%	2.97%	3.09%	1.78%	1.87%	2.47%	3.39%	1.48%	2.08%	2.22%	0.92%	1.28%	0.58%	2.99%	0.00%	3.69%	4.88%	2.27%	5.02%	2.38%	3.07%	2.74%	2.33%	1.44%	2.68%	3.28%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	301	8	22	12	22	19	25	10	16	17	8	18	10	9	4	7	8	8	3	2	7	5	2	7	13	4	4	0	2	11	13	3	2									
		3.86%	1.94%	5.05%	2.75%	5.20%	4.08%	5.23%	2.97%	3.53%	3.36%	7.48%	2.78%	5.65%	4.43%	8.33%	5.19%	7.34%	3.42%	1.73%	2.99%	3.80%	2.30%	4.88%	5.30%	4.35%	3.17%	1.75%	0.00%	2.33%	5.29%	5.80%	4.92%	2.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3261	135	138	161	146	139	148	130	197	181	73	288	84	108	15	53	47	111	84	37	100	98	13	81	153	77	111	35	45	96	112	27	38									
