Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Тындинская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11588	163	212	989	1387	208	259	363	505	362	238	197	261	2598	236	339	378	254	749	336	266	1288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10954	160	210	944	1250	230	270	370	500	330	235	200	270	2100	290	400	370	230	950	310	315	1020									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1550	0	49	0	91	4	14	10	27	0	0	0	0	742	0	101	55	81	224	65	87	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5183	92	76	614	525	135	172	236	268	245	145	84	139	658	158	223	226	102	279	135	133	538									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	539	3	0	45	8	5	6	12	9	3	15	10	14	263	4	15	0	6	96	5	1	19									
6	Число погашенных избирательных бюллетеней	3682	65	85	285	626	86	78	112	196	82	75	106	117	437	128	61	89	41	351	105	94	463									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2089	3	49	45	99	9	20	22	36	3	15	10	14	1005	4	116	55	87	320	70	88	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5183	92	76	614	525	135	172	236	268	245	145	84	139	658	158	223	226	102	279	135	133	538									
9	Число недействительных избирательных бюллетеней	122	1	1	9	1	4	1	0	7	3	3	3	2	14	1	2	15	0	40	4	5	6									
10	Число действительных избирательных бюллетеней	7150	94	124	650	623	140	191	258	297	245	157	91	151	1649	161	337	266	189	559	201	216	551									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	10	5	30	10	5	15	6	5	15	15	5	5	10	5	5	5	5	5	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	171	10	5	30	10	5	15	6	5	15	15	5	5	0	5	0	5	5	5	5	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	0	1	0	0	1	4	1	0	1	2	1	1	4	0	0	2	0	0	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	15	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	0	1	2	5	0	0	2	3	4	2	2	2	16	5	3	1	10	4	3	0	12									
		1.06%	0.00%	0.80%	0.30%	0.80%	0.00%	0.00%	0.78%	0.99%	1.61%	1.25%	2.13%	1.31%	0.96%	3.09%	0.88%	0.36%	5.29%	0.67%	1.46%	0.00%	2.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	157	4	2	12	15	4	4	5	8	12	3	2	2	24	5	4	3	1	21	6	5	15									
		2.16%	4.21%	1.60%	1.82%	2.40%	2.78%	2.08%	1.94%	2.63%	4.84%	1.88%	2.13%	1.31%	1.44%	3.09%	1.18%	1.07%	0.53%	3.51%	2.93%	2.26%	2.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	181	3	3	11	16	0	3	2	7	8	5	2	4	38	8	13	7	3	15	3	7	23									
		2.49%	3.16%	2.40%	1.67%	2.56%	0.00%	1.56%	0.78%	2.30%	3.23%	3.13%	2.13%	2.61%	2.29%	4.94%	3.83%	2.49%	1.59%	2.50%	1.46%	3.17%	4.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3391	40	66	355	243	63	101	128	154	116	76	31	79	809	40	220	118	110	301	83	104	154									
		46.63%	42.11%	52.80%	53.87%	38.94%	43.75%	52.60%	49.61%	50.66%	46.77%	47.50%	32.98%	51.63%	48.65%	24.69%	64.90%	41.99%	58.20%	50.25%	40.49%	47.06%	27.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	0	0	0	2	0	0	2	1	1	1	0	0	7	0	0	1	1	2	2	1	5									
		0.36%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.78%	0.33%	0.40%	0.63%	0.00%	0.00%	0.42%	0.00%	0.00%	0.36%	0.53%	0.33%	0.98%	0.45%	0.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	1	2	0	1	0	0	0	1	0	0	0	2	1	0	3	0	0	0	1	0									
		0.17%	0.00%	0.80%	0.30%	0.00%	0.69%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.12%	0.62%	0.00%	1.07%	0.00%	0.00%	0.00%	0.45%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2160	28	34	149	232	47	56	86	72	72	44	35	36	517	78	69	78	36	142	68	66	215									
		29.70%	29.47%	27.20%	22.61%	37.18%	32.64%	29.17%	33.33%	23.68%	29.03%	27.50%	37.23%	23.53%	31.09%	48.15%	20.35%	27.76%	19.05%	23.71%	33.17%	29.86%	38.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	0	2	0	5	0	0	1	0	0	1	0	0	2	3	0	2	1	0	1	1	3									
		0.30%	0.00%	1.60%	0.00%	0.80%	0.00%	0.00%	0.39%	0.00%	0.00%	0.63%	0.00%	0.00%	0.12%	1.85%	0.00%	0.71%	0.53%	0.00%	0.49%	0.45%	0.54%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	0	0	3	0	0	0	3	4	1	1	0	0	8	0	2	0	1	2	1	0	1									
		0.37%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	1.16%	1.32%	0.40%	0.63%	0.00%	0.00%	0.48%	0.00%	0.59%	0.00%	0.53%	0.33%	0.49%	0.00%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	5	0	3	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	2									
		0.21%	0.00%	0.00%	0.76%	0.00%	2.08%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.29%	0.36%	0.00%	0.00%	0.00%	0.00%	0.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	28	0	2	1	1	0	1	0	0	0	2	0	1	8	3	0	1	0	2	4	1	1									
		0.39%	0.00%	1.60%	0.15%	0.16%	0.00%	0.52%	0.00%	0.00%	0.00%	1.25%	0.00%	0.65%	0.48%	1.85%	0.00%	0.36%	0.00%	0.33%	1.95%	0.45%	0.18%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	872	14	12	95	88	18	20	26	43	27	14	12	21	172	16	23	40	24	49	21	27	110									
		11.99%	14.74%	9.60%	14.42%	14.10%	12.50%	10.42%	10.08%	14.14%	10.89%	8.75%	12.77%	13.73%	10.34%	9.88%	6.78%	14.23%	12.70%	8.18%	10.24%	12.22%	19.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	1	1	2	3	0	0	0	1	0	3	0	1	9	1	1	1	0	4	2	0	1									
		0.43%	1.05%	0.80%	0.30%	0.48%	0.00%	0.00%	0.00%	0.33%	0.00%	1.88%	0.00%	0.65%	0.54%	0.62%	0.29%	0.36%	0.00%	0.67%	0.98%	0.00%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	151	4	0	13	13	4	6	2	4	3	5	7	5	35	1	1	10	2	17	7	3	9									
		2.08%	4.21%	0.00%	1.97%	2.08%	2.78%	3.13%	0.78%	1.32%	1.21%	3.13%	7.45%	3.27%	2.10%	0.62%	0.29%	3.56%	1.06%	2.84%	3.41%	1.36%	1.62%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
