Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Новгородcкая городская																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304									
1	Число избирателей, внесенных в список	182126	1225	3157	2075	2683	3074	1680	1775	1900	2105	2306	2495	2855	2519	2785	2275	2023	1504	2705	1426	1624	1767	1411	2635	2667	3046	2799	2353	2496	1110	2353	1035	1351	2009	1887	2726	2140	1351	1645	2221	1276	2895	2256	2965	2112	1693	2173	2668	2893	2395	1467	2408	2937	2671	2266	1997	2155	1970	2406	2822	1687	2360	1581	2629	2334	2231	2511	2320	2216	2656	2789	2906	2361	2548	1563	2652	2341	2323	2867	2142	2763	2728									
2	Число полученных избирательных бюллетеней	176400	1100	3000	2000	2600	3000	1600	1700	1800	2000	2200	2400	2800	2400	2700	2200	2000	1500	2700	1400	1500	1700	1400	2600	2600	3000	2800	2300	2400	1100	2300	1000	1300	2000	1800	2200	2100	1300	1500	2100	1200	2800	2200	2900	1900	1600	2100	2600	2800	2300	1400	2300	2900	2600	2200	2000	2100	1900	2400	2800	1600	2300	1500	2600	2300	2200	2500	2300	2200	2600	2700	2900	2300	2500	1500	2600	2300	2200	2800	2000	2700	2700									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	85424	478	1350	891	1213	1513	791	913	947	928	1303	1096	1293	1247	1415	1080	850	864	1374	553	671	847	673	1313	1311	1423	1252	1058	1113	450	1094	562	680	976	939	1059	1086	672	665	1004	463	1138	1070	1348	956	731	920	1214	1145	1137	650	1052	1362	1186	995	974	993	1005	1208	1380	819	1209	742	1357	994	1051	1245	1095	1120	1218	1413	1414	1156	1308	692	1328	1159	1053	1345	961	1451	1420									
5	Число избирательных бюллетеней, выданных вне помещения	1718	45	12	4	6	7	11	18	12	22	25	22	17	14	33	21	16	11	28	8	12	15	17	17	21	11	21	9	10	3	11	11	17	16	26	487	25	45	11	30	5	25	15	8	101	16	16	7	7	9	6	8	31	31	13	24	11	26	7	19	15	15	6	12	13	6	8	13	9	3	4	10	3	9	6	5	4	18	10	2	6	9									
6	Число погашенных избирательных бюллетеней	89258	577	1638	1105	1381	1480	798	769	841	1050	872	1282	1490	1139	1252	1099	1134	625	1298	839	817	838	710	1270	1268	1566	1527	1233	1277	647	1195	427	603	1008	835	654	989	583	824	1066	732	1637	1115	1544	843	853	1164	1379	1648	1154	744	1240	1507	1383	1192	1002	1096	869	1185	1401	766	1076	752	1231	1293	1143	1247	1192	1071	1379	1283	1476	1141	1183	802	1267	1137	1129	1445	1037	1243	1271									
7	Число избирательных бюллетеней в переносных ящиках	1718	45	12	4	6	7	11	18	12	22	25	22	17	14	33	21	16	11	28	8	12	15	17	17	21	11	21	9	10	3	11	11	17	16	26	487	25	45	11	30	5	25	15	8	101	16	16	7	7	9	6	8	31	31	13	24	11	26	7	19	15	15	6	12	13	6	8	13	9	3	4	10	3	9	6	5	4	18	10	2	6	9									
8	Число бюллетеней в стационарных ящиках для голосования	85375	478	1349	891	1213	1513	791	912	947	928	1303	1096	1293	1245	1412	1080	848	864	1374	553	671	847	673	1311	1309	1419	1252	1057	1113	450	1094	561	680	974	939	1058	1085	671	665	1004	463	1138	1070	1347	956	731	920	1214	1145	1137	650	1051	1362	1185	995	973	993	1004	1206	1379	816	1208	742	1356	993	1051	1245	1095	1120	1218	1411	1414	1156	1305	692	1328	1159	1053	1345	961	1448	1417									
9	Число недействительных избирательных бюллетеней	393	9	2	1	5	4	1	2	7	5	4	0	7	12	6	7	5	5	11	3	3	3	3	2	5	9	7	8	3	2	8	0	3	2	1	15	2	3	3	5	4	6	7	5	7	4	8	13	8	2	4	9	5	6	3	3	2	1	7	2	10	8	1	5	6	5	2	8	5	6	3	5	3	2	0	6	2	7	4	10	5	1									
10	Число действительных избирательных бюллетеней	86700	514	1359	894	1214	1516	801	928	952	945	1324	1118	1303	1247	1439	1094	859	870	1391	558	680	859	687	1326	1325	1421	1266	1058	1120	451	1097	572	694	988	964	1530	1108	713	673	1029	464	1157	1078	1350	1050	743	928	1208	1144	1144	652	1050	1388	1210	1005	994	1002	1029	1206	1396	821	1215	747	1363	1000	1052	1251	1100	1124	1215	1412	1419	1156	1312	698	1327	1161	1064	1351	953	1449	1425									
