Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Няганьская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45509	2586	1271	2141	305	1461	2080	1124	2338	1551	401	1471	1879	1248	2847	3019	1967	2102	1420	801	1437	1223	1757	2375	1692	1537	2916	560									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41000	2400	1100	2000	300	1300	1800	1000	2100	1400	400	1200	1700	1100	2600	2800	1800	2000	1100	700	1300	1000	1600	2200	1500	1400	2700	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19339	1147	571	964	101	517	861	518	1117	658	153	766	732	480	1301	1297	887	848	671	398	505	514	723	967	616	572	1191	264									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	332	20	5	28	2	6	105	11	4	12	2	4	10	10	15	11	6	10	9	3	8	4	6	5	10	6	16	4									
6	Число погашенных избирательных бюллетеней	21329	1233	524	1008	197	777	834	471	979	730	245	430	958	610	1284	1492	907	1142	420	299	787	482	871	1228	874	822	1493	232									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	330	20	5	27	2	6	105	11	4	12	2	4	10	10	15	11	6	10	9	3	8	4	6	5	10	5	16	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19316	1141	571	964	101	517	860	518	1113	658	153	766	731	477	1301	1296	887	845	671	398	505	514	723	967	616	572	1191	260									
9	Число недействительных избирательных бюллетеней	1191	95	41	65	7	50	67	21	98	31	12	19	34	32	77	79	34	39	39	25	35	38	58	39	33	41	65	17									
10	Число действительных избирательных бюллетеней	18455	1066	535	926	96	473	898	508	1019	639	143	751	707	455	1239	1228	859	816	641	376	478	480	671	933	593	536	1142	247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	40	20	20	10	20	25	20	28	20	10	20	30	20	40	37	24	32	20	20	20	20	40	30	27	40	100	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	3	3	6	1	2	3	3	6	7	1	10	4	9	12	12	11	8	4	2	1	1	1	2	2	1	7	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	1	4	1	1	0	0	2	9	1	0	2	2	2	2	1	6	0	2	7	2	0	1	2	0	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	627	37	17	14	9	18	22	17	22	13	9	10	26	11	28	25	13	24	16	18	19	19	39	28	25	39	93	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	2	0	2	0	0	3	4	6	5	0	6	3	2	3	5	1	0	3	0	0	0	0	2	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
