Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Мошковская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
1	"Число избирателей, внесенных в списки избирателей"	31778	1175	2595	2607	1824	1504	1904	584	1326	196	312	320	2495	2291	381	636	115	175	335	212	756	271	494	229	167	362	734	182	576	144	145	650	2203	770	116	877	606	182	246	717	249	115					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30384	1050	2450	2450	1600	1400	1800	584	1300	186	311	317	2400	2150	377	593	113	172	324	212	750	285	480	227	162	366	700	179	570	144	141	640	2100	776	103	880	600	180	245	700	253	114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15659	582	1308	1295	964	548	814	322	687	104	132	167	1291	1049	232	347	68	94	133	110	320	154	234	118	108	226	304	84	268	70	78	298	1023	384	62	440	360	115	160	359	152	95					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1027	64	64	40	14	71	66	13	27	15	18	16	29	25	18	14	9	12	31	10	48	6	49	8	0	9	33	10	62	12	12	31	51	28	23	24	42	0	5	15	3	0					
6	Число погашенных избирательных бюллетеней	13698	404	1078	1115	622	781	920	249	586	67	161	134	1080	1076	127	232	36	66	160	92	382	125	197	101	54	131	363	85	240	62	51	311	1026	364	18	416	198	65	80	326	98	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1027	64	64	40	14	71	66	13	27	15	18	16	29	25	18	14	9	12	31	10	48	6	49	8	0	9	33	10	62	12	12	31	51	28	23	24	42	0	5	15	3	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15659	582	1308	1295	964	548	814	322	687	104	132	167	1291	1049	232	347	68	94	133	110	320	154	234	118	108	226	304	84	268	70	78	298	1023	384	62	440	360	115	160	359	152	95					
9	Число недействительных избирательных бюллетеней	188	4	20	17	5	7	10	4	10	1	2	0	8	9	2	5	1	0	1	0	3	3	3	4	1	0	5	0	4	0	5	4	18	7	1	9	1	2	0	8	2	2					
10	Число действительных избирательных бюллетеней	16498	642	1352	1318	973	612	870	331	704	118	148	183	1312	1065	248	356	76	106	163	120	365	157	280	122	107	235	332	94	326	82	85	325	1056	405	84	455	401	113	165	366	153	93					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	4	20	20	18	7	13	4	10	2	4	2	20	18	4	4	2	4	4	2	4	7	4	4	2	1	7	2	4	2	2	4	20	4	2	4	4	2	4	2	1	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	172	4	16	20	18	5	13	1	10	0	2	1	8	17	1	4	0	4	0	1	1	7	2	0	0	1	7	0	1	1	0	0	16	3	0	4	3	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	142	8	11	11	3	0	9	4	3	6	5	3	7	6	4	2	1	1	2	0	2	3	2	3	1	2	3	0	2	1	4	3	4	14	5	5	0	1	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	78	0	4	0	0	2	0	3	0	2	2	1	12	1	3	0	2	0	4	1	3	0	2	4	2	0	0	2	3	1	2	4	4	1	2	0	1	2	4	1	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
