Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Красноармейская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
1	"Число избирателей, внесенных в списки избирателей"	33401	864	477	91	1159	300	185	284	342	401	238	156	1555	801	244	56	151	176	1118	1205	983	293	308	143	375	1482	275	147	125	1590	443	393	774	154	1690	2189	2486	1577	332	211	1268	213	207	751	220	139	49	795	271	256	531	828	1330	241	137	392					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31385	820	440	100	1160	300	190	280	325	395	240	160	1455	870	230	60	160	170	1100	1215	1015	270	310	150	355	1515	285	140	130	1625	450	400	795	175	1695	2015	2485	1300	345	215	1255	210	225	665	200	130	45	735	250	255	500	700	135	240	140	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19304	491	308	88	612	121	78	156	191	258	160	89	927	416	182	46	104	119	715	610	543	200	275	106	242	982	194	92	98	942	213	224	505	89	965	1243	1225	1013	209	132	716	137	128	550	157	114	42	454	166	191	281	563	91	191	97	263					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1815	99	36	0	43	43	25	20	12	11	13	20	73	93	24	10	7	10	90	68	49	20	6	10	18	35	25	10	0	58	53	39	43	14	44	49	113	29	27	23	64	7	43	49	0	0	3	109	16	16	89	30	5	3	15	4					
6	Число погашенных избирательных бюллетеней	10266	230	96	12	505	136	87	104	122	126	67	51	455	361	24	4	49	41	295	537	423	50	29	34	95	498	66	38	32	625	184	137	247	72	686	723	1147	258	109	60	475	66	54	66	43	16	0	172	68	48	130	107	39	46	28	93					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1815	99	36	0	43	43	25	20	12	11	13	20	73	93	24	10	7	10	90	68	49	20	6	10	18	35	25	10	0	58	53	39	43	14	44	49	113	29	27	23	64	7	43	49	0	0	3	109	16	16	89	30	5	3	15	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19295	489	308	88	612	121	78	156	191	258	160	89	927	416	182	46	104	119	714	610	543	200	275	106	242	982	194	92	98	941	213	224	505	89	965	1243	1220	1013	209	132	716	137	128	550	157	114	42	454	166	191	281	563	91	191	97	263					
9	Число недействительных избирательных бюллетеней	238	8	1	0	9	0	3	4	2	2	2	1	9	3	2	1	1	2	6	12	10	0	2	0	7	17	2	1	5	10	4	2	1	1	14	11	20	7	1	1	14	0	2	8	4	0	2	3	1	0	5	6	1	6	0	2					
10	Число действительных избирательных бюллетеней	20872	580	343	88	646	164	100	172	201	267	171	108	991	506	204	55	110	127	798	666	582	220	279	116	253	1000	217	101	93	989	262	261	547	102	995	1281	1313	1035	235	154	766	144	169	591	153	114	43	560	181	207	365	587	95	188	112	265					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	576	28	13	3	20	8	7	14	3	3	4	3	10	6	3	3	3	8	21	33	31	3	3	3	13	34	10	0	3	34	10	14	11	5	29	35	34	10	5	15	11	3	11	8	3	0	1	9	3	3	3	10	2	7	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	557	27	13	0	20	8	7	10	3	3	4	3	10	6	3	3	2	7	21	33	31	3	2	1	13	34	10	0	3	34	10	14	9	5	29	35	34	10	5	15	11	3	11	7	1	0	1	9	3	3	3	10	1	7	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	229	9	8	1	9	7	4	1	4	4	6	1	3	3	1	0	1	5	13	9	7	4	0	2	5	6	2	3	2	20	9	7	4	0	10	10	6	5	1	0	3	2	3	5	1	2	0	7	3	4	0	2	0	1	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	19	1	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	2	3	4	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0					
