Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Красноармейская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
1	"Число избирателей, внесенных в список избирателей"	32900	838	467	87	1188	362	212	330	347	430	227	204	1616	873	238	50	168	189	1124	1211	1066	286	320	146	410	1428	290	141	135	1585	440	399	765	174	1658	2028	2492	1806	334	213	1242	199	204	836	219	128	57	796	258	244	565	898	152	267	166	392					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31820	850	470	90	1000	300	200	300	350	450	200	180	1500	850	200	50	150	170	1000	1200	1000	250	300	150	400	1500	300	130	130	1600	400	400	700	160	1700	1900	2500	1700	350	230	1300	220	200	800	200	120	50	800	200	240	550	850	140	270	170	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16222	370	239	61	709	132	101	169	121	190	113	102	753	270	157	39	88	96	605	485	451	142	213	82	210	694	141	61	77	815	169	145	412	98	867	1134	1136	954	170	94	557	84	78	515	126	84	50	350	140	157	242	486	64	156	84	184					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1853	88	36	0	21	37	19	8	48	14	21	14	102	120	16	4	8	6	63	55	54	15	20	15	6	33	25	14	2	54	42	36	35	10	55	72	138	76	31	47	80	14	21	65	15	6	0	36	17	18	47	33	6	8	10	17					
6	Число погашенных избирательных бюллетеней	13745	392	195	29	270	131	80	123	181	246	66	64	645	460	27	7	54	68	332	660	495	93	67	53	184	773	134	55	51	731	189	219	253	52	778	694	1226	670	149	89	663	122	101	220	59	30	0	414	43	65	261	331	70	106	76	199					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1853	88	36	0	21	37	19	8	48	14	21	14	102	120	16	4	8	6	63	55	54	15	20	15	6	33	25	14	2	54	42	36	35	10	55	72	138	76	31	47	80	14	21	65	15	6	0	36	17	18	47	33	6	8	10	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16221	370	239	61	709	131	101	169	121	190	113	102	753	270	157	39	88	96	605	485	451	142	213	82	210	694	141	61	77	815	169	145	412	98	867	1134	1136	954	170	94	557	84	78	515	126	84	50	350	140	157	242	486	64	156	84	184					
9	Число недействительных избирательных бюллетеней	301	11	2	0	17	1	3	6	1	1	0	1	8	4	3	3	0	2	7	6	6	8	0	4	4	16	6	2	3	15	2	5	5	1	17	30	29	18	12	4	11	0	1	3	2	1	0	2	1	4	1	8	0	0	1	3					
10	Число действительных избирательных бюллетеней	17773	447	273	61	713	167	117	171	168	203	134	115	847	386	170	40	96	100	661	534	499	149	233	93	212	711	160	73	76	854	209	176	442	107	905	1176	1245	1012	189	137	626	98	98	577	139	89	50	384	156	171	288	511	70	164	93	198					
