Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Приозерская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45427	1406	1406	2689	1520	1060	2787	2610	1872	872	784	809	625	227	1705	1444	973	809	1112	1426	944	1181	1331	1008	1696	1513	990	1438	1370	1411	272	1318	757	530	834	879	915	904									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36250	1150	1050	2150	1250	900	2250	2100	1550	600	650	650	500	200	1350	1150	800	650	950	1000	900	950	1050	800	1350	1100	800	1150	1050	1050	200	1050	600	450	700	700	700	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18171	428	448	1010	540	461	1089	1042	758	272	285	404	226	108	739	459	466	318	354	756	355	477	562	424	727	606	381	546	499	611	107	554	357	239	373	416	405	369									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1670	40	61	57	21	24	23	26	26	49	25	13	33	20	80	162	44	145	39	11	29	15	93	52	81	77	38	40	43	39	42	43	55	69	22	15	8	10									
6	Число погашенных избирательных бюллетеней	16409	682	541	1083	689	415	1138	1032	766	279	340	233	241	72	531	529	290	187	557	233	516	458	395	324	542	417	381	564	508	400	51	453	188	142	305	269	287	371									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1670	40	61	57	21	24	23	26	26	49	25	13	33	20	80	162	44	145	39	11	29	15	93	52	81	77	38	40	43	39	42	43	55	69	22	15	8	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18155	428	448	1010	540	461	1089	1042	758	272	285	404	226	108	738	458	466	318	354	754	355	465	562	424	727	606	381	546	499	611	107	554	357	239	373	416	405	369									
9	Число недействительных избирательных бюллетеней	577	8	17	28	7	22	37	18	23	5	10	14	9	8	21	15	23	7	14	21	8	15	20	8	16	25	10	15	15	26	1	20	4	7	17	24	22	17									
10	Число действительных избирательных бюллетеней	19248	460	492	1039	554	463	1075	1050	761	316	300	403	250	120	797	605	487	456	379	744	376	465	635	468	792	658	409	571	527	624	148	577	408	301	378	407	391	362									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1025	25	25	45	25	25	45	45	35	20	20	20	15	10	35	25	25	25	40	45	25	25	25	25	35	35	30	35	35	35	15	30	25	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	330	3	6	23	8	8	15	21	10	3	3	3	0	2	15	1	16	2	31	36	16	16	5	7	8	7	0	4	4	8	1	23	2	9	6	4	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	582	14	15	19	10	4	9	18	48	19	14	2	9	12	32	26	20	9	6	16	17	13	29	8	25	7	9	9	9	99	6	30	11	1	2	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	695	22	19	22	17	17	30	24	25	17	17	17	15	8	20	24	9	23	9	9	9	9	20	18	27	28	30	31	31	27	14	7	23	11	14	16	16	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	3	1	4	0	1	1	1	1	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	358	7	8	24	5	15	28	15	19	7	3	3	5	1	18	9	6	5	4	11	13	18	7	10	14	9	14	8	7	20	3	9	6	4	6	4	2	11									
		1.81%	1.50%	1.57%	2.25%	0.89%	3.09%	2.52%	1.40%	2.42%	2.18%	0.97%	0.72%	1.93%	0.78%	2.20%	1.45%	1.18%	1.08%	1.02%	1.44%	3.39%	3.75%	1.07%	2.10%	1.73%	1.32%	3.34%	1.37%	1.29%	3.08%	2.01%	1.51%	1.46%	1.30%	1.52%	0.93%	0.48%	2.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	451	13	10	15	8	19	25	36	16	7	5	14	3	6	16	10	11	10	9	14	17	8	16	7	18	9	12	13	21	16	5	17	10	4	10	8	7	6									
		2.27%	2.78%	1.96%	1.41%	1.43%	3.92%	2.25%	3.37%	2.04%	2.18%	1.61%	3.36%	1.16%	4.69%	1.96%	1.61%	2.16%	2.16%	2.29%	1.83%	4.43%	1.67%	2.44%	1.47%	2.23%	1.32%	2.86%	2.22%	3.87%	2.46%	3.36%	2.85%	2.43%	1.30%	2.53%	1.86%	1.69%	1.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	479	9	7	24	12	13	49	26	23	7	5	9	2	1	20	9	10	14	13	9	6	8	15	12	11	20	8	20	22	23	4	9	3	7	14	10	12	13									
		2.42%	1.92%	1.38%	2.25%	2.14%	2.68%	4.41%	2.43%	2.93%	2.18%	1.61%	2.16%	0.77%	0.78%	2.44%	1.45%	1.96%	3.02%	3.31%	1.18%	1.56%	1.67%	2.29%	2.52%	1.36%	2.93%	1.91%	3.41%	4.06%	3.54%	2.68%	1.51%	0.73%	2.27%	3.54%	2.32%	2.91%	3.43%									
