Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667					
1	"Число избирателей, внесенных в списки"	105086	3020	1440	2144	2399	1286	2167	1266	2608	3021	2863	2744	183	3164	1999	2553	2702	2359	2570	1694	2322	2295	2670	2398	2311	2172	2388	1608	2514	2213	2202	3079	1200	1161	891	775	2755	1193	2434	2607	2604	2389	1956	1381	1910	2641	2732	3092	2855	81	75					
2	"Число бюллетеней, полученных участковыми комиссиями"	105730	3030	1450	2156	2480	1299	2154	1286	2615	3054	2845	2767	188	3237	2132	2570	2718	2368	2583	1703	2357	2297	2694	2391	2307	2189	2362	1618	2527	2227	2223	3102	1205	1170	940	781	2752	1210	2450	2623	2602	2415	1971	1387	1915	2436	2730	3090	2840	200	84					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43211	734	441	873	990	430	586	505	1184	1338	1097	1223	114	1495	1021	1206	1208	1106	1217	839	1031	1056	1111	699	800	937	1035	686	781	919	835	788	376	331	234	206	1058	379	1199	1114	1077	814	853	510	952	1412	1423	1681	1182	63	62					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1308	28	7	11	21	20	16	16	18	26	35	43	17	18	25	34	27	31	31	22	35	35	39	39	30	29	17	20	13	27	14	11	52	47	12	20	33	5	40	44	55	30	23	26	23	45	24	38	23	0	13					
6	Число погашенных бюллетеней	61211	2268	1002	1272	1469	849	1552	765	1413	1690	1713	1501	57	1724	1086	1330	1483	1231	1335	842	1291	1206	1544	1653	1477	1223	1310	912	1733	1281	1374	2303	777	792	694	555	1661	826	1211	1465	1470	1571	1095	851	940	979	1283	1371	1635	137	9					
7	Число бюллетеней в переносных ящиках для голосования	1308	28	7	11	21	20	16	16	18	26	35	43	17	18	25	34	27	31	31	22	35	35	39	39	30	29	17	20	13	27	14	11	52	47	12	20	33	5	40	44	55	30	23	26	23	45	24	38	23	0	13					
8	Число бюллетеней в стационарных ящиках для голосования	43094	733	441	873	990	424	586	505	1182	1338	1097	1217	114	1477	1021	1205	1181	1104	1185	839	1031	1056	1111	699	798	937	1035	686	778	919	835	788	376	331	232	206	1058	379	1199	1114	1073	814	853	510	950	1403	1423	1681	1182	63	62					
9	Число недействительных бюллетеней	712	18	9	13	15	12	11	4	11	12	15	14	2	20	19	7	8	11	21	12	11	27	11	8	9	18	17	11	10	13	3	27	6	7	10	8	14	5	32	25	9	20	8	4	16	63	24	34	24	3	1					
10	Число действительных бюллетеней	43690	743	439	871	996	432	591	517	1189	1352	1117	1246	129	1475	1027	1232	1200	1124	1195	849	1055	1064	1139	730	819	948	1035	695	781	933	846	772	422	371	234	218	1077	379	1207	1133	1119	824	868	532	957	1385	1423	1685	1181	60	74					
