Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Свободненская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9055	411	397	122	83	40	483	216	133	271	725	272	47	369	553	85	582	340	198	209	171	187	344	150	365	101	104	347	93	297	153	57	199	78	174	432	120	147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8064	370	300	100	70	50	360	150	150	190	600	230	60	330	410	70	560	250	170	150	150	150	350	150	340	110	80	300	80	280	184	70	200	80	170	470	170	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4850	203	171	57	36	36	257	96	73	140	340	148	31	211	172	45	266	195	93	87	93	102	253	102	188	66	59	189	55	227	121	48	108	48	137	217	95	85									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	465	23	13	4	0	4	14	13	11	7	11	13	2	9	27	1	58	21	4	19	16	4	28	6	26	8	1	16	5	13	9	2	11	4	10	34	8	10									
6	Число погашенных избирательных бюллетеней	2735	144	116	39	34	10	89	41	66	43	249	69	27	110	211	24	236	34	73	44	41	44	69	42	126	36	20	95	20	40	40	20	81	28	23	219	67	65									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	479	23	13	4	0	4	14	13	11	7	11	13	2	9	27	1	58	21	4	19	16	4	28	6	26	8	1	16	5	13	23	2	11	4	10	34	8	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4850	203	171	57	36	36	257	96	73	140	340	148	31	211	172	45	266	195	93	87	93	102	253	102	188	66	59	189	55	227	121	48	108	48	137	217	95	85									
9	Число недействительных избирательных бюллетеней	127	4	4	1	8	0	6	1	1	3	8	4	1	4	3	2	6	11	1	2	1	1	6	5	10	1	1	4	1	7	4	0	4	0	3	5	1	3									
10	Число действительных избирательных бюллетеней	5202	222	180	60	28	40	265	108	83	144	343	157	32	216	196	44	318	205	96	104	108	105	275	103	204	73	59	201	59	233	140	50	115	52	144	246	102	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	223	10	8	2	2	4	9	4	3	10	15	4	2	4	7	2	27	8	6	4	4	4	6	7	6	6	4	6	4	6	6	2	6	2	5	8	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	10	2	0	0	4	3	1	3	10	12	3	0	1	4	0	1	4	1	0	3	1	0	7	3	6	0	1	4	0	0	2	3	0	5	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	6	3	2	1	1	7	5	4	9	3	0	2	0	3	3	4	5	4	8	2	8	3	0	4	1	3	2	1	1	1	1	1	3	2	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	129	0	6	2	2	0	6	3	0	0	3	1	2	3	3	2	26	4	5	4	1	3	6	0	3	0	4	5	0	6	6	0	3	2	0	8	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	52	3	3	1	1	1	2	1	0	4	2	3	0	1	1	0	0	4	2	2	2	0	2	0	1	0	1	5	1	2	0	0	0	3	0	3	1	0									
		0.98%	1.33%	1.63%	1.64%	2.78%	2.50%	0.74%	0.92%	0.00%	2.72%	0.57%	1.86%	0.00%	0.45%	0.50%	0.00%	0.00%	1.85%	2.06%	1.89%	1.83%	0.00%	0.71%	0.00%	0.47%	0.00%	1.67%	2.44%	1.67%	0.83%	0.00%	0.00%	0.00%	5.77%	0.00%	1.20%	0.97%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	11	8	6	0	1	7	4	5	2	8	5	4	7	0	3	12	2	0	3	3	1	9	3	6	2	4	8	3	8	2	0	4	2	4	5	2	0									
		2.89%	4.87%	4.35%	9.84%	0.00%	2.50%	2.58%	3.67%	5.95%	1.36%	2.28%	3.11%	12.12%	3.18%	0.00%	6.52%	3.70%	0.93%	0.00%	2.83%	2.75%	0.94%	3.20%	2.78%	2.80%	2.70%	6.67%	3.90%	5.00%	3.33%	1.39%	0.00%	3.36%	3.85%	2.72%	1.99%	1.94%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	3	12	2	2	1	8	2	4	4	6	1	0	2	7	2	7	2	0	3	1	3	6	1	2	5	0	6	0	2	4	0	1	2	0	6	2	0									
		2.05%	1.33%	6.52%	3.28%	5.56%	2.50%	2.95%	1.83%	4.76%	2.72%	1.71%	0.62%	0.00%	0.91%	3.52%	4.35%	2.16%	0.93%	0.00%	2.83%	0.92%	2.83%	2.14%	0.93%	0.93%	6.76%	0.00%	2.93%	0.00%	0.83%	2.78%	0.00%	0.84%	3.85%	0.00%	2.39%	1.94%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2335	83	93	15	10	24	110	34	27	27	126	83	15	71	68	15	129	125	57	49	47	64	157	44	94	31	21	90	35	95	75	34	39	23	82	120	65	58									
		43.82%	36.73%	50.54%	24.59%	27.78%	60.00%	40.59%	31.19%	32.14%	18.37%	35.90%	51.55%	45.45%	32.27%	34.17%	32.61%	39.81%	57.87%	58.76%	46.23%	43.12%	60.38%	55.87%	40.74%	43.93%	41.89%	35.00%	43.90%	58.33%	39.58%	52.08%	68.00%	32.77%	44.23%	55.78%	47.81%	63.11%	61.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	1	1	0	0	0	2	0	0	0	2	0	0	1	2	0	2	0	1	0	0	0	2	1	1	1	0	0	1	4	2	0	1	1	1	3	2	1									
		0.62%	0.44%	0.54%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.45%	1.01%	0.00%	0.62%	0.00%	1.03%	0.00%	0.00%	0.00%	0.71%	0.93%	0.47%	1.35%	0.00%	0.00%	1.67%	1.67%	1.39%	0.00%	0.84%	1.92%	0.68%	1.20%	1.94%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	2	0	1	0	1									
		0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.31%	0.46%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.47%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.40%	0.00%	1.05%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1470	69	31	20	15	6	74	36	33	69	128	36	6	88	48	14	109	48	24	30	46	20	62	29	57	23	20	33	9	61	33	11	39	9	34	68	13	19									
		27.58%	30.53%	16.85%	32.79%	41.67%	15.00%	27.31%	33.03%	39.29%	46.94%	36.47%	22.36%	18.18%	40.00%	24.12%	30.43%	33.64%	22.22%	24.74%	28.30%	42.20%	18.87%	22.06%	26.85%	26.64%	31.08%	33.33%	16.10%	15.00%	25.42%	22.92%	22.00%	32.77%	17.31%	23.13%	27.09%	12.62%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0									
		0.24%	0.00%	0.54%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.68%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.94%	0.92%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.80%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0									
		0.28%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.83%	0.69%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0									
		0.26%	0.44%	0.54%	0.00%	0.00%	0.00%	0.37%	0.92%	0.00%	0.00%	0.28%	0.00%	0.00%	0.45%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	1.40%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.97%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	0	0	0	0	0	3	0	0	2	2	1	0	2	0	1	0	0	0	0	1	0	1	1	1	0	0	4	2	1	0	0	0	0	0	1	3	0									
		0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	1.36%	0.57%	0.62%	0.00%	0.91%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.36%	0.93%	0.47%	0.00%	0.00%	1.95%	3.33%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	2.91%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	856	50	24	12	0	5	46	20	11	31	58	27	6	39	61	5	51	21	9	13	7	15	30	19	34	9	12	47	7	49	20	5	26	8	21	35	11	12									
		16.06%	22.12%	13.04%	19.67%	0.00%	12.50%	16.97%	18.35%	13.10%	21.09%	16.52%	16.77%	18.18%	17.73%	30.65%	10.87%	15.74%	9.72%	9.28%	12.26%	6.42%	14.15%	10.68%	17.59%	15.89%	12.16%	20.00%	22.93%	11.67%	20.42%	13.89%	10.00%	21.85%	15.38%	14.29%	13.94%	10.68%	12.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	1	2	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0									
		0.32%	0.44%	1.09%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.45%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.71%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.84%	1.92%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	93	0	2	4	0	2	6	8	3	4	6	1	0	3	7	4	3	1	3	1	0	1	2	4	4	2	0	4	0	6	3	0	3	0	2	1	2	1									
		1.75%	0.00%	1.09%	6.56%	0.00%	5.00%	2.21%	7.34%	3.57%	2.72%	1.71%	0.62%	0.00%	1.36%	3.52%	8.70%	0.93%	0.46%	3.09%	0.94%	0.00%	0.94%	0.71%	3.70%	1.87%	2.70%	0.00%	1.95%	0.00%	2.50%	2.08%	0.00%	2.52%	0.00%	1.36%	0.40%	1.94%	1.05%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
