Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Можайский район																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №3757									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	88392	2758	2448	1918	2212	2465	2212	2368	2113	2516	3003	3016	2438	2253	2082	2048	2218	2157	1902	1519	2295	2280	2354	2217	2444	2196	2781	2627	2673	2713	2532	2617	2331	2457	2671	2173	2302	2821	262									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65600	2000	1800	1500	1700	1800	1700	1800	1600	1900	2200	2200	1800	1700	1500	1500	1600	1600	1400	1100	1700	1700	1700	1600	1800	1500	2000	2000	2000	2000	1900	2000	1700	1800	2000	1600	1700	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26829	965	660	595	589	906	727	844	707	653	838	858	634	712	626	654	633	635	609	498	664	795	785	658	683	796	754	732	766	725	643	725	761	752	847	652	663	931	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	962	21	16	24	14	22	13	10	4	25	17	21	23	23	26	21	40	23	14	24	26	14	27	8	33	25	34	45	28	29	35	38	25	24	34	40	38	25	53									
6	Число погашенных избирательных бюллетеней	37809	1014	1124	881	1097	872	960	946	889	1222	1345	1321	1143	965	848	825	927	942	777	578	1010	891	888	934	1084	679	1212	1223	1206	1246	1222	1237	914	1024	1119	908	999	1044	293									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	961	21	16	24	14	22	13	10	4	25	17	20	23	23	26	21	40	23	14	24	26	14	27	8	33	25	34	45	28	29	35	38	25	24	34	40	38	25	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26727	961	658	594	589	903	727	844	707	650	838	856	634	710	626	654	633	634	595	498	664	794	785	657	683	793	754	731	736	696	643	725	756	752	847	652	663	931	154									
9	Число недействительных избирательных бюллетеней	516	17	9	12	13	15	11	8	9	14	15	20	13	15	0	15	14	14	15	12	5	13	11	11	33	12	15	10	15	24	15	11	15	14	17	14	21	17	2									
10	Число действительных избирательных бюллетеней	27172	965	665	606	590	910	729	846	702	661	840	856	644	718	652	660	659	643	594	510	685	795	801	654	683	806	773	766	749	701	663	752	766	762	864	678	680	939	205									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	795	30	25	15	15	25	15	25	15	15	25	25	15	15	15	15	25	15	15	15	20	30	25	30	25	15	30	30	25	30	25	25	30	25	25	15	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	545	18	18	15	9	16	9	21	14	11	14	15	13	8	11	8	13	11	10	8	15	22	15	20	16	5	21	20	19	20	22	18	24	16	12	13	14	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1414	23	56	5	8	55	26	52	40	17	46	99	62	42	35	9	55	61	87	53	25	24	11	12	52	166	47	20	0	15	10	6	29	80	17	4	26	30	9									
