Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Тула, Зареченская"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74538	1086	1846	1963	1970	2002	1640	1904	1903	2195	1854	1834	2003	2771	2068	1728	2295	2165	2389	2258	2097	2078	2013	2141	2012	2505	1411	1868	1949	1955	1696	1107	1987	1544	1895	2127	2153	1883	2179	64									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71730	1000	1800	1900	1900	2000	1500	1900	1900	2000	1800	1800	2000	2500	2000	1700	2200	2000	2100	2200	2000	2000	2000	2000	2000	2400	1400	1800	1900	1900	1600	1000	2000	1500	1900	2000	2000	1900	2100	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27774	357	651	693	785	740	640	693	728	841	725	720	652	893	608	469	833	762	1480	776	792	805	787	769	805	924	543	670	697	705	468	404	898	610	719	865	795	671	767	34									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1079	11	15	31	13	39	30	45	20	19	35	77	36	50	49	42	33	15	9	45	29	32	13	49	17	20	15	33	19	13	42	2	15	19	21	28	10	26	32	30									
6	Число погашенных избирательных бюллетеней	42877	632	1134	1176	1102	1221	830	1162	1152	1140	1040	1003	1312	1557	1343	1189	1334	1223	611	1379	1179	1163	1200	1182	1178	1456	842	1097	1184	1182	1090	594	1087	871	1160	1107	1195	1203	1301	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1079	11	15	31	13	39	30	45	20	19	35	77	36	50	49	42	33	15	9	45	29	32	13	49	17	20	15	33	19	13	42	2	15	19	21	28	10	26	32	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27710	357	650	693	785	740	640	693	728	841	725	720	652	893	607	448	830	762	1458	776	791	802	787	768	803	924	543	669	697	704	468	404	894	610	718	865	793	671	767	34									
9	Число недействительных избирательных бюллетеней	577	19	15	15	7	15	12	6	13	0	14	20	16	18	15	12	20	20	31	12	13	13	20	15	23	29	19	12	14	13	5	9	18	10	24	12	16	16	16	0									
10	Число действительных избирательных бюллетеней	28212	349	650	709	791	764	658	732	735	860	746	777	672	925	641	478	843	757	1436	809	807	821	780	802	797	915	539	690	702	704	505	397	891	619	715	881	787	681	783	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	905	10	23	24	29	20	31	13	33	30	32	12	23	35	15	25	20	15	70	25	30	25	25	15	20	20	25	15	30	25	10	15	25	15	15	20	35	30	25	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	646	4	18	18	18	20	16	13	17	25	23	12	19	27	8	14	14	8	64	21	20	17	17	9	17	17	18	9	14	17	6	7	25	11	8	14	23	23	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	446	13	15	26	15	8	4	11	8	14	5	15	14	8	17	5	13	16	7	15	11	11	16	13	8	14	10	13	7	12	11	13	11	7	19	15	3	4	5	14									
14	Число погашенных неиспользованных открепительных удостоверений	259	6	5	6	11	0	15	0	16	5	9	0	4	8	7	11	6	7	6	4	10	8	8	6	3	3	7	6	16	8	4	8	0	4	7	6	12	7	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	203	2	3	4	1	6	2	3	6	8	1	5	3	6	1	3	2	4	71	7	4	4	7	2	5	4	2	5	2	4	4	3	4	2	0	0	6	4	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	720	9	29	19	14	31	13	15	20	18	11	15	26	38	12	10	18	23	24	27	24	15	27	21	15	27	6	24	17	18	12	13	14	11	28	20	21	17	17	1									
		2.50%	2.45%	4.36%	2.62%	1.75%	3.98%	1.94%	2.03%	2.67%	2.09%	1.45%	1.88%	3.78%	4.03%	1.83%	2.04%	2.09%	2.96%	1.64%	3.29%	2.93%	1.80%	3.38%	2.57%	1.83%	2.86%	1.08%	3.42%	2.37%	2.51%	2.35%	3.20%	1.54%	1.75%	3.79%	2.24%	2.62%	2.44%	2.13%	1.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	598	12	7	10	26	17	11	11	13	20	8	27	13	11	8	9	25	18	30	14	17	20	12	18	17	18	18	23	13	14	7	12	22	11	12	15	17	14	26	2									
		2.08%	3.26%	1.05%	1.38%	3.26%	2.18%	1.64%	1.49%	1.74%	2.33%	1.05%	3.39%	1.89%	1.17%	1.22%	1.84%	2.90%	2.32%	2.04%	1.71%	2.07%	2.40%	1.50%	2.20%	2.07%	1.91%	3.23%	3.28%	1.82%	1.95%	1.37%	2.96%	2.42%	1.75%	1.62%	1.68%	2.12%	2.01%	3.25%	3.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	845	9	20	24	28	32	20	18	23	20	20	19	17	37	22	21	26	26	16	22	22	24	25	33	23	23	16	13	19	23	14	8	28	14	20	36	25	27	24	8									
		2.94%	2.45%	3.01%	3.31%	3.51%	4.11%	2.99%	2.44%	3.07%	2.33%	2.63%	2.38%	2.47%	3.92%	3.35%	4.29%	3.01%	3.35%	1.09%	2.68%	2.68%	2.88%	3.13%	4.04%	2.80%	2.44%	2.87%	1.85%	2.65%	3.21%	2.75%	1.97%	3.08%	2.23%	2.71%	4.03%	3.11%	3.87%	3.00%	12.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12418	155	276	305	332	311	291	301	299	456	299	421	316	409	307	245	424	333	908	376	305	303	317	330	323	410	217	320	290	282	213	164	386	261	273	355	284	290	305	26									
		43.13%	42.12%	41.50%	42.13%	41.60%	39.92%	43.43%	40.79%	39.97%	53.02%	39.34%	52.82%	45.93%	43.37%	46.80%	50.00%	49.13%	42.86%	61.90%	45.80%	37.20%	36.33%	39.63%	40.39%	39.39%	43.43%	38.89%	45.58%	40.50%	39.33%	41.76%	40.39%	42.46%	41.49%	36.94%	39.75%	35.37%	41.61%	38.17%	40.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	416	6	11	15	13	12	13	7	10	13	9	7	11	17	8	8	13	15	19	11	15	12	11	15	10	12	8	9	9	9	8	6	12	11	7	15	13	4	11	1									
		1.44%	1.63%	1.65%	2.07%	1.63%	1.54%	1.94%	0.95%	1.34%	1.51%	1.18%	0.88%	1.60%	1.80%	1.22%	1.63%	1.51%	1.93%	1.30%	1.34%	1.83%	1.44%	1.38%	1.84%	1.22%	1.27%	1.43%	1.28%	1.26%	1.26%	1.57%	1.48%	1.32%	1.75%	0.95%	1.68%	1.62%	0.57%	1.38%	1.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	0	1	2	1	0	2	2	0	2	3	0	1	0	3	2	1	3	2	2	1	2	0	0	0	0	0	1	0	0	1	0	1	1	3	2	1	2	0	0									
		0.15%	0.00%	0.15%	0.28%	0.13%	0.00%	0.30%	0.27%	0.00%	0.23%	0.39%	0.00%	0.15%	0.00%	0.46%	0.41%	0.12%	0.39%	0.14%	0.24%	0.12%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.20%	0.00%	0.11%	0.16%	0.41%	0.22%	0.12%	0.29%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4233	51	93	110	121	108	93	110	102	103	98	119	122	176	97	72	134	106	196	120	120	150	109	109	113	156	61	90	112	103	82	54	120	89	106	156	146	96	127	3									
		14.70%	13.86%	13.98%	15.19%	15.16%	13.86%	13.88%	14.91%	13.64%	11.98%	12.89%	14.93%	17.73%	18.66%	14.79%	14.69%	15.53%	13.64%	13.36%	14.62%	14.63%	17.99%	13.63%	13.34%	13.78%	16.53%	10.93%	12.82%	15.64%	14.37%	16.08%	13.30%	13.20%	14.15%	14.34%	17.47%	18.18%	13.77%	15.89%	4.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	320	7	9	8	5	8	7	5	11	8	9	2	16	13	13	11	5	6	14	5	8	7	10	13	13	8	12	3	10	5	5	4	8	3	9	10	9	6	15	0									
