Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Рязанская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483					
1	"Число избирателей, внесенных в список избирателей"	46125	1928	1186	130	631	1789	589	788	951	238	712	152	661	1229	230	1669	873	637	438	1317	482	240	527	80	148	508	889	414	1829	884	575	342	1824	805	784	1775	2052	670	2657	2753	780	2238	387	555	415	1917	965	903	951	628					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46076	1921	1177	119	618	1769	593	792	947	233	725	150	647	1187	222	1628	867	642	441	1359	499	239	495	77	139	510	874	402	1853	894	578	339	1813	778	764	1776	2090	663	2679	2780	783	2247	404	555	425	1929	972	909	945	628					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19672	719	368	39	179	808	248	325	407	81	326	37	312	477	88	709	346	280	204	711	203	108	280	27	54	270	311	196	788	398	235	170	669	350	452	789	930	280	1197	1090	255	1030	123	240	116	851	354	449	514	279					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2052	35	45	19	49	26	33	8	26	38	57	30	39	105	33	15	53	28	33	36	36	6	38	21	31	11	62	20	65	16	31	24	131	60	69	47	82	30	8	63	46	58	50	42	58	36	74	40	35	54					
6	Число погашенных избирательных бюллетеней	24352	1167	764	61	390	935	312	459	514	114	342	83	296	605	101	904	468	334	204	612	260	125	177	29	54	229	501	186	1000	480	312	145	1013	368	243	940	1078	353	1474	1627	482	1159	231	273	251	1042	544	420	396	295					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2052	35	45	19	49	26	33	8	26	38	57	30	39	105	33	15	53	28	33	36	36	6	38	21	31	11	62	20	65	16	31	24	131	60	69	47	82	30	8	63	46	58	50	42	58	36	74	40	35	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19672	719	368	39	179	808	248	325	407	81	326	37	312	477	88	709	346	280	204	711	203	108	280	27	54	270	311	196	788	398	235	170	669	350	452	789	930	280	1197	1090	255	1030	123	240	116	851	354	449	514	279					
9	Число недействительных избирательных бюллетеней	315	18	3	1	3	15	5	7	5	1	2	0	4	5	2	10	5	4	1	8	2	2	10	0	0	1	3	2	14	14	5	1	15	6	12	15	12	4	12	12	4	18	1	3	5	16	6	7	8	6					
10	Число действительных избирательных бюллетеней	21409	736	410	57	225	819	276	326	428	118	381	67	347	577	119	714	394	304	236	739	237	112	308	48	85	280	370	214	839	400	261	193	785	404	509	821	1000	306	1193	1141	297	1070	172	279	169	871	422	482	541	327					
