Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Рязанская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500					
1	"Число избирателей, внесенных в списки избирателей"	45302	1947	1144	124	566	1720	585	779	914	263	697	146	537	1123	216	1520	842	610	415	1332	543	250	473	104	133	514	910	401	1800	873	628	347	1723	784	769	1819	2098	634	2723	2665	783	2300	416	528	427	1906	939	877	838	617					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44150	1904	1113	124	553	1680	574	783	885	260	663	133	522	1078	198	1495	830	606	410	1263	520	244	438	100	126	500	880	390	1770	860	570	340	1670	767	750	1794	2060	610	2682	2607	754	2272	404	504	410	1860	926	860	808	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21017	842	398	25	221	814	290	396	469	85	348	39	256	470	90	676	355	324	257	641	211	119	241	48	42	283	361	218	881	440	256	194	772	374	425	849	1063	287	1336	1108	251	1171	142	255	152	904	401	457	486	294					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1902	32	32	15	51	59	21	13	31	58	35	30	43	79	41	36	48	27	6	28	39	12	32	14	29	11	34	10	50	5	50	24	93	39	60	43	98	27	9	86	25	30	60	42	67	46	61	42	28	51					
6	Число погашенных избирательных бюллетеней	21231	1030	683	84	281	807	263	374	385	117	280	64	223	529	67	783	427	255	147	594	270	113	165	38	55	206	485	162	839	415	264	122	805	354	265	902	899	296	1337	1413	478	1071	202	207	191	910	464	361	294	255					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1902	32	32	15	51	59	21	13	31	58	35	30	43	79	41	36	48	27	6	28	39	12	32	14	29	11	34	10	50	5	50	24	93	39	60	43	98	27	9	86	25	30	60	42	67	46	61	42	28	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21015	842	398	25	221	813	290	396	469	85	348	39	256	470	90	676	355	323	257	641	211	119	241	48	42	283	361	218	881	440	256	194	772	374	425	849	1063	287	1336	1108	251	1171	142	255	152	904	401	457	486	294					
9	Число недействительных избирательных бюллетеней	275	6	6	0	7	9	2	2	12	1	4	0	6	11	4	8	2	4	10	6	5	1	4	0	0	3	6	2	10	8	3	4	13	3	6	9	25	1	17	2	0	15	2	2	2	7	13	4	4	4					
10	Число действительных избирательных бюллетеней	22642	868	424	40	265	863	309	407	488	142	379	69	293	538	127	704	401	346	253	663	245	130	269	62	71	291	389	226	921	437	303	214	852	410	479	883	1136	313	1328	1192	276	1186	200	295	217	943	449	495	510	341					
