Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
"Наименование Избирательной комиссии:    Новокузнецк, Кузнецкая"																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607					
1	"Число избирателей, внесенных в списки избирателей"	36271	2012	2300	2029	2099	2414	1179	2173	2128	1865	2181	2492	2082	2453	2319	2604	1502	2439					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36000	2200	2200	2000	2000	2300	1500	2100	2100	1900	2100	2400	2000	2300	2200	2800	1600	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28366	1767	1634	1597	1230	1987	1179	1611	1674	1242	1772	2246	1782	1853	1660	2031	1120	1981					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1499	106	67	76	90	67	0	103	102	63	59	54	45	60	57	220	260	70					
6	Число погашенных избирательных бюллетеней	6135	327	499	327	680	246	321	386	324	595	269	100	173	387	483	549	220	249					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1499	106	67	76	90	67	0	103	102	63	59	54	45	60	57	220	260	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28358	1767	1634	1597	1230	1987	1179	1611	1674	1242	1772	2246	1782	1850	1660	2031	1120	1976					
9	Число недействительных избирательных бюллетеней	373	17	21	26	17	33	5	22	24	14	25	35	31	17	26	14	18	28					
10	Число действительных избирательных бюллетеней	29484	1856	1680	1647	1303	2021	1174	1692	1752	1291	1806	2265	1796	1893	1691	2237	1362	2018					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	954	84	55	55	55	55	0	55	55	54	55	66	61	54	55	85	55	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	954	84	55	55	55	55	0	55	55	54	55	66	61	54	55	85	55	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	510	35	28	22	27	25	36	21	28	15	18	43	55	45	21	33	32	26					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	346	32	15	17	14	21	0	26	10	19	13	29	28	26	21	28	38	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
