Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Лямбирская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №150	УИК №270	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №804									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25301	243	179	1100	194	1279	1653	1558	953	921	246	160	324	317	135	1505	1650	324	517	410	799	1340	685	1730	953	466	673	483	188	670	918	348	731	205	281	466	632	65									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25530	237	184	1116	195	1298	1684	1593	953	938	241	156	331	311	132	1516	1642	331	519	406	795	1353	705	1770	955	472	680	458	190	696	915	340	736	211	283	460	628	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22107	193	162	1042	183	1206	1491	1261	872	797	200	142	271	278	127	1224	1343	302	468	374	692	1097	613	1502	797	409	561	415	185	614	839	315	656	173	264	424	550	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1220	5	14	36	7	41	82	141	20	69	14	11	40	29	5	28	51	17	37	28	50	105	7	21	32	10	41	29	0	30	48	25	53	19	12	19	44	0									
6	Число погашенных избирательных бюллетеней	2203	39	8	38	5	51	111	191	61	72	27	3	20	4	0	264	248	12	14	4	53	151	85	247	126	53	78	14	5	52	28	0	27	19	7	17	34	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1220	5	14	36	7	41	82	141	20	69	14	11	40	29	5	28	51	17	37	28	50	105	7	21	32	10	41	29	0	30	48	25	53	19	12	19	44	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22107	193	162	1042	183	1206	1491	1261	872	797	200	142	271	278	127	1224	1343	302	468	374	692	1097	613	1502	797	409	561	415	185	614	839	315	656	173	264	424	550	65									
9	Число недействительных избирательных бюллетеней	82	4	0	7	0	0	8	3	5	1	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	13	0	0	0	21	0	0	0	0	0	1	0									
10	Число действительных избирательных бюллетеней	23245	194	176	1071	190	1247	1565	1399	887	865	202	153	311	307	132	1252	1394	319	505	402	742	1202	615	1523	829	417	589	444	185	644	866	340	709	192	276	443	593	65									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	5	5	15	5	20	30	25	15	20	5	5	5	10	5	30	30	5	5	5	15	25	15	30	20	10	15	10	5	10	10	10	10	5	5	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	254	3	3	10	1	5	30	25	12	13	1	1	2	5	0	12	14	3	1	1	9	19	7	27	10	3	5	6	0	4	6	5	3	1	3	3	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	0	1	1	1	5	5	3	6	2	5	4	2	11	5	5	4	1	1	1	1	3	2	5	0	1	6	8	0	3	6	4	0	1	3	6	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	196	2	2	5	4	15	0	0	3	7	4	4	3	5	5	18	16	2	4	4	6	6	8	3	10	7	10	4	5	6	4	5	7	4	2	2	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	0	1	0	1	2	4	2	0	1	1	0	0	1	3	1	0	1	0	2	1	5	3	3	0	1	0	0	0	0	0	2	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
