Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Зейская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19577	1883	1547	1429	1180	947	1546	1723	2416	2469	1962	1847	628									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19200	1800	1500	1400	1200	900	1500	1700	2400	2500	1900	1800	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7704	874	660	625	518	425	548	660	865	858	677	720	274									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	698	64	15	24	25	41	138	66	148	36	73	50	18									
6	Число погашенных избирательных бюллетеней	10798	862	825	751	657	434	814	974	1387	1606	1150	1030	308									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	698	64	15	24	25	41	138	66	148	36	73	50	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7703	874	660	625	518	425	548	659	865	858	677	720	274									
9	Число недействительных избирательных бюллетеней	177	15	11	19	6	7	12	14	42	22	10	14	5									
10	Число действительных избирательных бюллетеней	8224	923	664	630	537	459	674	711	971	872	740	756	287									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	40	20	20	20	20	20	20	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	20	33	6	10	3	8	7	17	13	20	5	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	9	4	2	5	2	1	3	2	4	5	2	7									
14	Число погашенных неиспользованных открепительных удостоверений	102	0	7	14	10	17	12	13	3	7	0	15	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	6	1	11	6	2	6	9	4	6	2	4	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	101	8	9	14	5	5	6	8	11	14	7	11	3									
		1.20%	0.85%	1.33%	2.16%	0.92%	1.07%	0.87%	1.10%	1.09%	1.57%	0.93%	1.43%	1.03%									
