Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011					
1	"Число избирателей, внесенных в списки"	46300	242	1706	2046	2156	1230	1896	1654	1470	2199	147	826	658	140	1070	369	2577	2505	1900	755	394	206	176	813	254	138	749	306	233	547	231	216	155	682	430	928	169	899	582	820	655	559	202	112	634	183	203	642	476	605	405	817	585	478	125	134	668	299	83	279	660	116	126	412	394	1873	101					
2	"Число бюллетеней, полученных участковыми комиссиями"	45326	244	1618	1987	2010	1154	1809	1486	1430	2082	150	805	649	140	1084	367	2537	2502	1933	764	382	190	172	803	278	126	736	306	262	519	227	231	146	704	429	945	157	824	607	784	696	592	216	117	634	179	199	636	433	608	400	806	587	479	125	132	663	312	83	285	640	114	122	413	388	1800	88					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24603	170	775	1108	1274	588	936	842	725	1112	137	425	390	91	565	170	1218	1193	927	478	249	134	158	493	195	93	333	171	144	315	162	92	72	341	251	462	125	523	239	418	490	327	143	92	338	122	110	417	282	386	143	321	255	299	79	92	398	154	46	166	351	56	71	245	263	822	41					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2011	7	29	57	49	90	69	94	57	60	0	9	8	0	25	22	52	46	46	7	0	0	0	34	12	0	75	13	14	9	0	56	13	41	6	158	11	56	55	25	20	18	0	0	19	11	4	31	56	28	101	40	37	35	10	16	59	43	11	4	44	1	2	6	13	61	36					
6	Число погашенных бюллетеней	18712	67	814	822	687	476	804	550	648	910	13	371	251	49	494	175	1267	1263	960	279	133	56	14	276	71	33	328	122	104	195	65	83	61	322	172	325	21	245	313	341	186	247	73	25	277	46	85	188	95	194	156	445	295	145	36	24	206	115	26	115	245	57	49	162	112	917	11					
7	Число бюллетеней в переносных ящиках для голосования	2011	7	29	57	49	90	69	94	57	60	0	9	8	0	25	22	52	46	46	7	0	0	0	34	12	0	75	13	14	9	0	56	13	41	6	158	11	56	55	25	20	18	0	0	19	11	4	31	56	28	101	40	37	35	10	16	59	43	11	4	44	1	2	6	13	61	36					
8	Число бюллетеней в стационарных ящиках для голосования	24583	170	771	1106	1274	588	936	839	725	1112	137	424	390	91	565	170	1215	1193	927	478	249	134	158	493	195	93	333	171	144	315	162	92	72	341	251	461	125	523	239	418	490	326	143	92	338	122	110	417	282	386	143	318	253	299	79	92	398	154	46	166	351	56	71	245	263	822	41					
9	Число недействительных бюллетеней	709	6	21	40	18	8	15	29	15	19	1	7	8	1	20	3	34	23	28	23	8	0	2	14	9	5	7	14	4	4	3	5	3	12	11	21	3	16	3	12	11	6	6	1	11	5	11	27	5	14	9	12	11	5	4	4	15	2	0	1	15	9	4	12	7	25	2					
10	Число действительных бюллетеней	25885	171	779	1123	1305	670	990	904	767	1153	136	426	390	90	570	189	1233	1216	945	462	241	134	156	513	198	88	401	170	154	320	159	143	82	370	246	598	133	563	291	431	499	338	137	91	346	128	103	421	333	400	235	346	279	329	85	104	442	195	57	169	380	48	69	239	269	858	75					
