Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Воткинская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73565	1269	1355	1387	1574	1623	1194	1784	1497	1125	1922	1766	1671	1236	1439	1502	1566	1423	1659	1878	1433	1517	1604	1849	1443	1626	1370	1191	1577	1861	1044	1591	1227	1546	1399	1280	1312	1560	1567	1356	780	333	435	1394	1397	1892	1807	1729	1572	1612	1862	529									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71000	1200	1300	1300	1500	1600	1200	1700	1500	1100	1900	1700	1600	1200	1400	1500	1500	1400	1600	1800	1400	1500	1600	1800	1400	1600	1300	1100	1500	1800	1000	1500	1200	1500	1400	1200	1300	1500	1500	1300	700	300	400	1300	1300	1800	1800	1700	1500	1500	1800	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31538	622	656	594	760	793	534	923	695	478	674	735	620	578	731	753	623	560	585	962	735	718	663	719	631	734	558	541	688	819	403	730	611	707	574	548	545	750	607	538	330	131	182	662	600	648	667	531	587	648	632	225									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	351	30	10	9	4	2	9	4	6	0	7	3	5	5	0	5	3	6	15	4	2	4	2	2	10	14	5	3	5	7	2	4	4	5	6	2	2	2	1	7	5	4	0	9	10	26	13	28	20	13	6	1									
6	Число погашенных избирательных бюллетеней	39111	548	634	697	736	805	657	773	799	622	1219	962	975	617	669	742	874	834	1000	834	663	778	935	1079	759	852	737	556	807	974	595	766	585	788	820	650	753	748	892	755	365	165	218	629	690	1126	1120	1141	893	839	1162	274									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	351	30	10	9	4	2	9	4	6	0	7	3	5	5	0	5	3	6	15	4	2	4	2	2	10	14	5	3	5	7	2	4	4	5	6	2	2	2	1	7	5	4	0	9	10	26	13	28	20	13	6	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31507	621	656	594	760	793	534	923	695	478	674	726	617	578	726	753	623	560	585	958	734	718	663	718	631	734	555	541	688	819	401	730	611	707	573	548	545	750	607	538	330	131	182	661	600	648	667	531	587	648	632	225									
9	Число недействительных избирательных бюллетеней	675	20	11	17	18	16	12	15	8	9	20	8	24	17	7	12	4	6	9	22	12	11	15	22	13	20	9	9	16	17	7	17	20	18	12	12	11	14	14	18	5	2	8	9	14	8	11	14	16	13	25	8									
10	Число действительных избирательных бюллетеней	31183	631	655	586	746	779	531	912	693	469	661	721	598	566	719	746	622	560	591	940	724	711	650	698	628	728	551	535	677	809	396	717	595	694	567	538	536	738	594	527	330	133	174	661	596	666	669	545	591	648	613	218									
