Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Николаевская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20348	1207	959	1093	506	1034	700	1235	307	726	642	76	78	319	411	305	84	76	269	400	171	226	1594	674	1880	264	591	148	522	1001	200	206	417	1088	296	409	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21350	1255	1005	1060	520	1070	745	1285	315	770	740	80	80	390	455	345	105	90	290	410	170	225	1635	705	1920	275	635	165	540	1020	205	210	425	1150	340	440	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14601	657	495	575	220	655	399	1094	220	551	496	60	61	226	298	235	48	48	158	289	120	169	1435	436	1807	223	341	122	401	684	142	142	249	846	216	297	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2205	143	38	95	43	95	40	80	51	59	64	10	16	39	39	27	28	17	61	76	38	14	124	187	17	16	79	14	76	216	26	28	60	114	57	81	37									
6	Число погашенных избирательных бюллетеней	4544	455	472	390	257	320	306	111	44	160	180	10	3	125	118	83	29	25	71	45	12	42	76	82	96	36	215	29	63	120	37	40	116	190	67	62	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2205	143	38	95	43	95	40	80	51	59	64	10	16	39	39	27	28	17	61	76	38	14	124	187	17	16	79	14	76	216	26	28	60	114	57	81	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14596	657	495	575	219	655	399	1094	220	551	496	60	61	226	298	235	48	48	158	289	120	169	1435	435	1804	223	341	122	401	684	142	142	249	846	216	297	186									
9	Число недействительных избирательных бюллетеней	155	11	11	8	1	8	4	14	0	22	5	0	0	5	8	6	1	0	0	2	0	0	9	5	16	1	3	2	5	0	1	1	1	3	2	0	0									
10	Число действительных избирательных бюллетеней	16646	789	522	662	261	742	435	1160	271	588	555	70	77	260	329	256	75	65	219	363	158	183	1550	617	1805	238	417	134	472	900	167	169	308	957	271	378	223									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1025	40	35	35	15	35	35	40	10	50	80	10	5	60	40	40	20	20	20	15	5	10	30	40	35	10	40	20	15	15	10	5	10	50	50	30	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1020	40	35	35	15	35	35	40	10	50	80	10	5	60	40	40	20	15	20	15	5	10	30	40	35	10	40	20	15	15	10	5	10	50	50	30	45									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	4	11	7	2	4	5	4	0	3	3	2	2	1	2	3	2	3	1	3	2	2	8	4	4	0	3	1	3	2	2	0	1	2	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	7	8	3	1	4	8	6	0	3	10	0	1	8	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	6	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	4	5	4	2	7	3	7	4	3	1	0	1	3	3	0	0	2	2	3	2	1	5	10	0	0	6	0	2	2	0	0	4	4	3	0	0									
		0.55%	0.50%	0.94%	0.60%	0.76%	0.93%	0.68%	0.60%	1.48%	0.49%	0.18%	0.00%	1.30%	1.13%	0.89%	0.00%	0.00%	3.08%	0.91%	0.82%	1.27%	0.55%	0.32%	1.61%	0.00%	0.00%	1.43%	0.00%	0.42%	0.22%	0.00%	0.00%	1.29%	0.42%	1.10%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	343	25	13	22	8	19	11	29	3	14	22	5	2	7	6	3	0	0	5	10	3	10	26	9	5	3	7	1	0	22	13	5	7	14	1	1	12									
		2.04%	3.13%	2.44%	3.28%	3.05%	2.53%	2.51%	2.47%	1.11%	2.30%	3.93%	7.14%	2.60%	2.64%	1.78%	1.15%	0.00%	0.00%	2.28%	2.74%	1.90%	5.46%	1.67%	1.45%	0.27%	1.26%	1.67%	0.74%	0.00%	2.44%	7.74%	2.94%	2.27%	1.46%	0.37%	0.26%	5.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	160	16	9	7	5	9	6	9	5	5	4	0	0	8	4	0	0	1	2	1	2	3	8	8	0	1	5	3	1	7	1	2	9	9	8	2	0									
		0.95%	2.00%	1.69%	1.04%	1.91%	1.20%	1.37%	0.77%	1.85%	0.82%	0.71%	0.00%	0.00%	3.02%	1.19%	0.00%	0.00%	1.54%	0.91%	0.27%	1.27%	1.64%	0.51%	1.29%	0.00%	0.42%	1.19%	2.21%	0.21%	0.78%	0.60%	1.18%	2.91%	0.94%	2.93%	0.53%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12640	478	273	396	162	510	212	906	202	452	360	57	65	167	248	212	61	49	177	273	122	108	1279	428	1720	187	289	114	448	759	93	135	233	743	215	320	187									
		75.23%	59.75%	51.22%	59.10%	61.83%	68.00%	48.29%	77.17%	74.54%	74.10%	64.29%	81.43%	84.42%	63.02%	73.59%	80.92%	80.26%	75.38%	80.82%	74.79%	77.22%	59.02%	82.04%	68.81%	94.45%	78.24%	68.81%	83.82%	93.92%	84.33%	55.36%	79.41%	75.40%	77.40%	78.75%	84.66%	83.86%									
