Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Нагорская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795					
1	"Число избирателей, внесенных в список избирателей"	9196	1286	943	1013	747	458	123	396	422	85	106	235	260	318	808	421	122	132	184	1137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8800	1250	900	950	700	450	120	370	420	90	100	220	250	300	810	400	110	130	180	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4514	652	461	495	358	188	44	254	160	57	56	142	144	138	494	172	83	82	107	427					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	830	88	83	81	24	57	26	13	132	5	31	34	33	46	40	43	6	10	9	69					
6	Число погашенных избирательных бюллетеней	3456	510	356	374	318	205	50	103	128	28	13	44	73	116	276	185	21	38	64	554					
7	Число избирательных бюллетеней в переносных ящиках для голосования	830	88	83	81	24	57	26	13	132	5	31	34	33	46	40	43	6	10	9	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4513	651	461	495	358	188	44	254	160	57	56	142	144	138	494	172	83	82	107	427					
9	Число недействительных избирательных бюллетеней	59	5	6	11	3	6	0	5	2	0	0	2	0	3	4	0	2	1	0	9					
10	Число действительных избирательных бюллетеней	5284	734	538	565	379	239	70	262	290	62	87	174	177	181	530	215	87	91	116	487					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	45	38	40	30	20	5	20	20	5	5	10	10	15	40	20	5	5	10	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	254	14	13	32	6	20	5	15	20	5	5	10	10	15	40	14	5	5	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	9	9	7	3	7	2	3	2	1	2	1	1	2	4	1	1	2	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	139	31	25	8	24	0	0	5	0	0	0	0	0	0	0	6	0	0	0	40					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	3	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1248	188	184	117	91	55	19	48	64	11	18	42	44	28	96	54	15	26	37	111					
		23.36%	25.44%	33.82%	20.31%	23.82%	22.45%	27.14%	17.98%	21.92%	17.74%	20.69%	23.86%	24.86%	15.22%	17.98%	25.12%	16.85%	28.26%	31.90%	22.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	883	147	91	102	71	45	9	47	39	10	13	28	13	23	97	32	12	13	14	77					
		16.53%	19.89%	16.73%	17.71%	18.59%	18.37%	12.86%	17.60%	13.36%	16.13%	14.94%	15.91%	7.34%	12.50%	18.16%	14.88%	13.48%	14.13%	12.07%	15.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	7	12	12	6	2	0	1	4	0	1	0	1	3	12	2	1	0	1	0					
		1.22%	0.95%	2.21%	2.08%	1.57%	0.82%	0.00%	0.37%	1.37%	0.00%	1.15%	0.00%	0.56%	1.63%	2.25%	0.93%	1.12%	0.00%	0.86%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1039	172	98	109	85	49	5	34	52	12	14	25	35	35	96	25	18	17	17	141					
		19.45%	23.27%	18.01%	18.92%	22.25%	20.00%	7.14%	12.73%	17.81%	19.35%	16.09%	14.20%	19.77%	19.02%	17.98%	11.63%	20.22%	18.48%	14.66%	28.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	10	7	10	3	0	2	3	2	0	0	2	1	2	9	1	0	0	1	3					
		1.05%	1.35%	1.29%	1.74%	0.79%	0.00%	2.86%	1.12%	0.68%	0.00%	0.00%	1.14%	0.56%	1.09%	1.69%	0.47%	0.00%	0.00%	0.86%	0.60%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1982	207	145	214	121	87	35	128	128	29	41	77	83	90	220	100	41	35	46	155					
		37.10%	28.01%	26.65%	37.15%	31.68%	35.51%	50.00%	47.94%	43.84%	46.77%	47.13%	43.75%	46.89%	48.91%	41.20%	46.51%	46.07%	38.04%	39.66%	31.25%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	3	1	1	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0					
		0.21%	0.41%	0.18%	0.17%	0.52%	0.41%	0.00%	0.37%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
