Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Борская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15458	233	120	1195	1195	1296	1259	1233	489	141	150	204	363	149	403	524	201	780	843	900	409	664	122	441	443	206	248	299	177	81	155	152	383									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15315	240	130	1190	1120	1290	1230	1180	490	140	150	210	370	150	410	530	190	790	840	920	380	650	125	440	460	200	240	290	170	90	170	160	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10020	146	55	804	776	1053	870	721	257	90	69	110	261	113	269	268	110	384	499	646	265	497	99	327	247	154	118	192	105	56	125	111	223									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1566	22	25	56	56	66	50	80	72	26	54	33	35	15	46	63	53	137	76	71	16	94	19	58	116	18	31	21	29	16	18	34	60									
6	Число погашенных избирательных бюллетеней	3729	72	50	330	288	171	310	379	161	24	27	67	74	22	95	199	27	269	265	203	99	59	7	55	97	28	91	77	36	18	27	15	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1566	22	25	56	56	66	50	80	72	26	54	33	35	15	46	63	53	137	76	71	16	94	19	58	116	18	31	21	29	16	18	34	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10020	146	55	804	776	1053	870	721	257	90	69	110	261	113	269	268	110	384	499	646	265	497	99	327	247	154	118	192	105	56	125	111	223									
9	Число недействительных избирательных бюллетеней	271	8	1	16	22	0	20	22	9	3	1	4	7	5	2	14	0	11	23	0	11	17	8	16	8	7	5	14	4	1	3	0	9									
10	Число действительных избирательных бюллетеней	11315	160	79	844	810	1119	900	779	320	113	122	139	289	123	313	317	163	510	552	717	270	574	110	369	355	165	144	199	130	71	140	145	274									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	9	5	22	18	20	19	15	15	5	5	5	10	5	12	11	4	18	20	23	11	24	5	5	11	5	6	5	5	5	5	5	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	350	9	5	22	18	20	19	15	15	5	5	5	10	5	12	11	4	18	20	23	11	24	5	5	11	5	6	5	5	5	5	5	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	2	0	6	11	5	6	2	6	3	3	2	3	1	1	1	3	4	6	5	2	12	4	2	8	2	3	1	1	1	1	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	2	0	1	3	2	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	2	0	0	0	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
