Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Жигаловская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328					
1	"Число избирателей, внесенных в списки избирателей"	7043	69	282	86	352	459	119	378	90	42	203	149	148	300	86	68	170	170	448	678	851	873	671	351					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6914	69	262	84	351	495	113	380	87	65	204	148	148	279	83	66	162	181	432	577	801	899	643	385					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4174	61	203	56	230	233	69	299	61	36	107	142	108	191	67	51	121	118	228	365	467	432	341	188					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	555	6	15	7	28	57	29	22	17	5	59	0	0	31	0	6	16	35	25	31	45	41	25	55					
6	Число погашенных избирательных бюллетеней	2185	2	44	21	93	205	15	59	9	24	38	6	40	57	16	9	25	28	179	181	289	426	277	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	555	6	15	7	28	57	29	22	17	5	59	0	0	31	0	6	16	35	25	31	45	41	25	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4172	61	203	56	230	233	69	299	61	36	107	142	108	191	67	51	121	118	228	365	467	431	340	188					
9	Число недействительных избирательных бюллетеней	28	0	3	0	2	1	1	1	0	0	4	1	0	1	0	0	0	0	3	0	1	2	6	2					
10	Число действительных избирательных бюллетеней	4699	67	215	63	256	289	97	320	78	41	162	141	108	221	67	57	137	153	250	396	511	470	359	241					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	391	5	15	10	20	20	10	21	10	10	15	15	10	25	10	10	25	15	25	20	25	25	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	208	0	1	1	18	8	0	21	0	8	4	0	1	10	3	1	10	15	5	19	18	15	20	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	66	0	1	1	3	2	0	1	0	0	3	3	1	5	1	1	1	1	3	4	16	5	7	7					
14	Число погашенных неиспользованных открепительных удостоверений	183	5	14	9	2	12	10	0	10	2	11	15	9	15	7	9	15	0	20	1	7	10	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	1.Политическая партия «Аграрная партия России»	157	6	3	1	7	10	4	25	1	0	10	2	1	12	0	1	2	10	15	12	15	6	9	5					
		3.32%	8.96%	1.38%	1.59%	2.71%	3.45%	4.08%	7.79%	1.28%	0.00%	6.02%	1.41%	0.93%	5.41%	0.00%	1.75%	1.46%	6.54%	5.93%	3.03%	2.93%	1.27%	2.47%	2.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	16	0	2	0	0	0	0	0	0	0	0	0	2	1	0	2	2	0	0	1	3	1	2	0					
		0.34%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	0.45%	0.00%	3.51%	1.46%	0.00%	0.00%	0.25%	0.59%	0.21%	0.55%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0					
		0.13%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.51%	0.20%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	325	5	7	11	11	36	5	20	1	4	4	10	1	14	0	4	7	4	24	46	48	29	20	14					
		6.88%	7.46%	3.21%	17.46%	4.26%	12.41%	5.10%	6.23%	1.28%	9.76%	2.41%	7.04%	0.93%	6.31%	0.00%	7.02%	5.11%	2.61%	9.49%	11.62%	9.38%	6.14%	5.48%	5.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	2	2					
		0.28%	0.00%	0.00%	0.00%	0.39%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.39%	0.21%	0.55%	0.82%					
23	6.Политическая партия «Партия социальной справедливости»	8	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.31%	0.00%	0.00%	0.60%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	1.23%					
24	7.Политическая партия «Либерально-демократическая партия России»	427	10	38	8	28	13	3	34	4	4	13	5	4	25	2	3	24	12	27	23	43	32	44	28					
