Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
"Наименование Избирательной комиссии:    Чита, Ингодинская"																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52024	2753	2884	2397	2622	1635	2945	2750	2352	2055	1514	1978	1688	1879	1145	2276	1724	2052	1786	2274	2231	2466	1938	526	3092	390	414	258									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45060	2300	2300	2200	2200	1400	2500	2400	2000	1600	1300	1600	1400	1600	1000	1900	2400	1700	1500	2000	2000	2200	1600	400	2500	300	520	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19469	1335	1710	1339	728	319	1145	869	767	795	436	757	690	719	371	827	1070	531	481	649	845	971	486	131	857	130	414	97									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	559	7	2	56	68	25	31	25	19	6	11	55	78	43	15	22	15	3	7	13	8	8	7	0	27	8	0	0									
6	Число погашенных избирательных бюллетеней	25032	958	588	805	1404	1056	1324	1506	1214	799	853	788	632	838	614	1051	1315	1166	1012	1338	1147	1221	1107	269	1616	162	106	143									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	559	7	2	56	68	25	31	25	19	6	11	55	78	43	15	22	15	3	7	13	8	8	7	0	27	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19450	1334	1707	1331	728	319	1144	869	767	789	436	757	690	719	371	827	1070	531	481	649	845	971	486	131	857	130	414	97									
9	Число недействительных избирательных бюллетеней	521	33	44	37	19	7	17	20	28	14	9	22	13	16	10	12	25	26	15	15	20	21	14	4	29	6	44	1									
10	Число действительных избирательных бюллетеней	19488	1308	1665	1350	777	337	1158	874	758	781	438	790	755	746	376	837	1060	508	473	647	833	958	479	127	855	132	370	96									
