Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Южно-Курильская 													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279					
1	"Число избирателей, внесенных в списки избирателей"	7264	2826	1347	751	763	1431	146					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6577	2350	1250	737	690	1400	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	220	0	0	108	0	112	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3960	1251	818	448	493	849	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	545	33	340	134	21	17	0					
6	Число погашенных избирательных бюллетеней	1852	1066	92	47	176	422	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	765	33	340	242	21	129	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3958	1250	818	448	492	849	101					
9	Число недействительных избирательных бюллетеней	29	14	7	2	3	3	0					
10	Число действительных избирательных бюллетеней	4694	1269	1151	688	510	975	101					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	73	21	18	19	1	12	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	48	14	15	6	0	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	13	2	5	4	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	25	7	3	13	1	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	6	0	11	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	54	15	11	4	7	16	1					
		1.14%	1.17%	0.95%	0.58%	1.36%	1.64%	0.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	14	6	0	1	5	1					
		0.57%	1.09%	0.52%	0.00%	0.19%	0.51%	0.99%					
20	3.Политическая партия «Демократическая партия России»	9	0	4	2	2	1	0					
		0.19%	0.00%	0.35%	0.29%	0.39%	0.10%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	280	126	36	15	26	72	5					
		5.93%	9.82%	3.11%	2.17%	5.07%	7.36%	4.95%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	17	8	4	1	2	2	0					
		0.36%	0.62%	0.35%	0.14%	0.39%	0.20%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	3	0	1	0	0	0					
		0.08%	0.23%	0.00%	0.14%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	649	163	177	83	73	127	26					
		13.74%	12.70%	15.28%	12.03%	14.23%	12.99%	25.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	153	68	16	9	32	25	3					
		3.24%	5.30%	1.38%	1.30%	6.24%	2.56%	2.97%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	38	13	8	5	4	8	0					
		0.80%	1.01%	0.69%	0.72%	0.78%	0.82%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3434	844	885	565	359	716	65					
		72.71%	65.78%	76.42%	81.88%	69.98%	73.21%	64.36%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	15	4	3	4	3	0					
		0.61%	1.17%	0.35%	0.43%	0.78%	0.31%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
