Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																						
Дата голосования: 04.12.2011																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Дмитровская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
1	"Число избирателей, внесенных в список избирателей"	120164	618	2016	2168	2162	1647	1667	951	1525	2016	2173	2401	2335	294	1152	2149	2215	2073	2081	2042	1281	1724	1033	1094	2213	1842	2452	1483	2226	1503	135	768	781	323	2332	340	526	1285	1339	375	1523	322	938	799	476	926	1816	1244	747	1772	577	1347	906	802	276	864	309	1038	1267	1249	1538	405	2914	1754	2045	1473	1591	953	2037	2215	1534	1522	516	1213	1006	636	2362	896	2070	978	864	318	1903	330	702	450	1210	539	538	944	260	735	1128	973	285	1389					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106719	531	1808	1921	1945	1472	1453	825	1342	1798	1925	2146	2081	230	1025	1938	2039	1829	1877	1861	1140	1508	906	978	1981	1562	2174	1346	1998	1310	115	676	679	267	2026	289	455	1144	1184	327	1364	302	711	730	416	807	1616	1118	640	1589	493	1220	809	644	255	766	266	936	1122	1104	1364	303	2620	1514	1820	1318	1410	829	1803	1965	1390	1360	818	1107	932	574	2125	785	1850	697	769	298	1695	295	620	413	1067	473	484	662	207	649	1097	889	248	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	58171	239	929	802	910	642	777	374	766	1151	1160	1194	1134	70	467	1077	1082	949	1288	1100	502	742	573	524	1128	798	944	571	944	629	39	216	290	90	897	209	195	496	567	134	542	121	474	377	161	347	750	492	243	757	204	493	321	273	119	316	108	626	595	602	614	152	1851	864	1297	906	1179	673	1293	1306	847	954	480	691	759	325	901	561	908	569	610	172	1075	127	242	80	1017	243	228	521	126	307	394	573	64	742					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6616	13	37	20	27	31	59	18	7	15	38	34	20	125	19	63	33	47	20	61	13	18	94	43	31	65	97	31	46	35	75	155	121	81	43	4	74	77	92	86	172	38	64	79	82	88	38	60	61	68	54	19	17	194	16	43	49	33	32	64	224	80	179	164	223	159	30	4	15	243	216	107	36	30	77	82	42	106	6	16	65	13	13	52	152	278	0	71	184	81	45	52	180	37	82	33					
6	Число погашенных избирательных бюллетеней	41932	279	842	1099	1008	799	617	433	569	632	727	918	927	35	539	798	924	833	569	700	625	748	239	411	822	699	1133	744	1008	646	1	305	268	96	1086	76	186	571	525	107	650	143	173	274	173	372	828	566	336	764	235	708	471	177	120	407	109	277	495	438	526	71	590	486	300	253	201	152	495	416	327	299	302	386	96	167	1182	118	936	112	94	113	607	116	226	55	50	159	72	60	36	290	523	279	102	475					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6616	13	37	20	27	31	59	18	7	15	38	34	20	125	19	63	33	47	20	61	13	18	94	43	31	65	97	31	46	35	75	155	121	81	43	4	74	77	92	86	172	38	64	79	82	88	38	60	61	68	54	19	17	194	16	43	49	33	32	64	224	80	179	164	223	159	30	4	15	243	216	107	36	30	77	82	42	106	6	16	65	13	13	52	152	278	0	71	184	81	45	52	180	37	82	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57877	238	872	802	910	639	777	374	766	1151	1160	1175	1134	70	466	1077	1082	949	1268	1100	502	736	573	524	1128	733	944	571	944	629	39	216	290	90	897	209	195	496	567	134	542	121	474	377	161	347	750	490	243	757	204	493	321	273	119	316	108	626	595	602	614	151	1851	864	1297	906	1153	673	1293	1306	847	954	480	691	759	325	901	561	908	569	610	172	982	127	242	80	1017	243	228	521	126	307	394	573	64	742					
9	Число недействительных избирательных бюллетеней	1445	12	25	5	0	14	20	5	16	9	3	19	21	5	25	46	34	26	9	0	16	21	12	13	17	14	22	15	13	23	3	11	10	2	28	3	10	28	30	6	0	1	14	16	9	16	35	13	14	34	4	26	17	5	5	7	5	10	14	21	18	7	40	26	20	1	12	5	17	86	30	17	10	23	29	11	21	9	35	3	19	5	8	6	1	1	21	22	13	13	2	6	16	10	3	22					
10	Число действительных избирательных бюллетеней	63048	239	884	817	937	656	816	387	757	1157	1195	1190	1133	190	460	1094	1081	970	1279	1161	499	733	655	554	1142	784	1019	587	977	641	111	360	401	169	912	210	259	545	629	214	714	158	524	440	234	419	753	537	290	791	254	486	321	462	130	352	152	649	613	645	820	224	1990	1002	1500	1064	1171	672	1291	1463	1033	1044	506	698	807	396	922	658	879	582	656	180	987	173	393	357	996	292	399	589	169	353	558	600	143	753					
