Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Анабарская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
1	"Число избирателей, внесенных в списки избирателей"	2864	585	177	309	891	59	843					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2913	571	135	266	885	50	1006					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	735	65	0	0	328	0	342					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1587	413	112	184	443	48	387					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	80	28	0	0	29	0	23					
6	Число погашенных избирательных бюллетеней	511	65	23	82	85	2	254					
7	Число избирательных бюллетеней в переносных ящиках для голосования	815	93	0	0	357	0	365					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1587	413	112	184	443	48	387					
9	Число недействительных избирательных бюллетеней	47	11	2	5	16	1	12					
10	Число действительных избирательных бюллетеней	2355	495	110	179	784	47	740					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	146	45	25	25	20	5	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	50	15	4	3	13	2	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	5	2	1	0	0	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	96	30	21	22	7	3	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	1	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	34	5	2	3	9	0	15					
		1.42%	0.99%	1.79%	1.63%	1.13%	0.00%	1.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	3	1	1	7	0	6					
		0.75%	0.59%	0.89%	0.54%	0.88%	0.00%	0.80%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	0	2	0	1					
		0.12%	0.00%	0.00%	0.00%	0.25%	0.00%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	145	19	7	16	52	2	49					
		6.04%	3.75%	6.25%	8.70%	6.50%	4.17%	6.52%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	19	5	1	1	5	0	7					
		0.79%	0.99%	0.89%	0.54%	0.63%	0.00%	0.93%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	0	4	0	1					
		0.21%	0.00%	0.00%	0.00%	0.50%	0.00%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	115	6	10	18	39	3	39					
		4.79%	1.19%	8.93%	9.78%	4.88%	6.25%	5.19%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	204	36	8	15	74	2	69					
		8.49%	7.11%	7.14%	8.15%	9.25%	4.17%	9.18%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	15	3	1	2	4	0	5					
		0.62%	0.59%	0.89%	1.09%	0.50%	0.00%	0.66%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1784	418	80	120	583	38	545					
		74.27%	82.61%	71.43%	65.22%	72.88%	79.17%	72.47%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	13	0	0	3	5	2	3					
		0.54%	0.00%	0.00%	1.63%	0.63%	4.17%	0.40%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
