Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
Наименование Избирательной комиссии:    Валуйская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388					
1	"Число избирателей, внесенных в списки избирателей"	54636	381	2305	1257	2102	2646	277	1593	1868	994	1249	1570	1273	2187	2707	2975	2154	1471	1020	1455	1394	396	910	239	212	254	571	301	456	199	663	1293	360	374	832	122	152	53	179	170	356	262	706	281	382	173	926	1377	60	481	807	66	317	1289	416	188	394	92	102	408	171	642	310	1813	605	274	423	173	327	201					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	53507	385	2250	1150	2000	2500	350	1550	1800	950	1210	1400	1200	2000	2700	2750	2150	1400	960	1400	1300	380	940	260	220	275	580	305	460	200	700	1380	350	370	840	122	160	50	185	200	380	290	730	285	390	160	910	1410	60	500	815	70	315	1270	435	180	380	95	115	435	170	650	330	1750	580	300	415	185	325	195					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	37154	236	1399	749	1198	1682	277	966	1086	591	763	827	730	1361	2160	1574	1453	1119	881	1141	1027	299	747	196	185	182	386	185	343	149	462	791	241	282	605	103	132	38	124	125	280	220	568	195	277	108	678	999	46	364	502	51	227	880	278	144	302	86	88	332	134	415	210	1558	403	183	308	136	239	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3538	70	106	67	52	62	0	92	80	67	79	117	123	57	138	170	98	42	29	62	73	27	53	32	20	30	57	49	73	28	60	69	19	13	64	18	20	12	26	13	25	17	26	38	56	43	68	45	8	63	160	4	23	97	24	8	29	2	10	23	20	53	55	171	64	57	35	8	24	15					
6	Число погашенных избирательных бюллетеней	12815	79	745	334	750	756	73	492	634	292	368	456	347	582	402	1006	599	239	50	197	200	54	140	32	15	63	137	71	44	23	178	520	90	75	171	1	8	0	35	62	75	53	136	52	57	9	164	366	6	73	153	15	65	293	133	28	49	7	17	80	16	182	65	21	113	60	72	41	62	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3538	70	106	67	52	62	0	92	80	67	79	117	123	57	138	170	98	42	29	62	73	27	53	32	20	30	57	49	73	28	60	69	19	13	64	18	20	12	26	13	25	17	26	38	56	43	68	45	8	63	160	4	23	97	24	8	29	2	10	23	20	53	55	171	64	57	35	8	24	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37151	236	1399	749	1196	1682	277	966	1086	591	763	827	730	1361	2160	1574	1453	1119	881	1141	1027	299	747	196	185	182	386	185	342	149	462	791	241	282	605	103	132	38	124	125	280	220	568	195	277	108	678	999	46	364	502	51	227	880	278	144	302	86	88	332	134	415	210	1558	403	183	308	136	239	148					
9	Число недействительных избирательных бюллетеней	565	0	10	4	14	15	0	17	10	7	13	21	14	9	111	20	11	8	15	9	7	3	3	3	0	6	6	2	1	1	14	13	5	3	6	0	1	0	2	3	5	0	2	0	1	2	7	9	2	8	47	0	5	7	8	3	2	0	1	5	2	9	1	17	3	22	8	0	0	2					
10	Число действительных избирательных бюллетеней	40124	306	1495	812	1234	1729	277	1041	1156	651	829	923	839	1409	2187	1724	1540	1153	895	1194	1093	323	797	225	205	206	437	232	414	176	508	847	255	292	663	121	151	50	148	135	300	237	592	233	332	149	739	1035	52	419	615	55	245	970	294	149	329	88	97	350	152	459	264	1712	464	218	335	144	263	161					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	476	4	25	8	20	26	0	10	12	8	8	14	8	10	24	23	18	13	8	8	8	5	6	5	3	2	8	3	4	2	5	5	3	3	7	2	5	2	2	2	2	2	5	3	4	2	5	10	3	5	18	3	4	10	5	3	4	2	4	5	5	6	4	10	6	4	2	6	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	315	0	21	5	20	19	0	10	12	8	7	14	7	9	24	19	7	12	5	6	7	1	2	4	2	1	6	3	0	1	0	4	0	1	7	0	5	0	1	1	1	0	5	0	3	0	5	3	0	5	12	0	2	6	5	0	0	0	1	4	0	3	1	4	1	1	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	142	3	2	6	13	4	0	7	1	1	2	2	14	2	7	18	6	2	3	4	3	0	0	2	0	0	1	2	1	0	3	0	3	1	2	0	0	0	0	0	1	0	2	0	2	1	1	4	0	1	1	0	2	4	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	161	4	4	3	0	7	0	0	0	0	1	0	1	1	0	4	11	1	3	2	1	4	4	1	1	1	2	0	4	1	5	1	3	2	0	2	0	2	1	1	1	2	0	3	1	2	0	7	3	0	6	3	2	4	0	3	4	2	3	1	5	3	3	6	5	3	1	6	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	0	0	0	0	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	1.Политическая партия «Аграрная партия России»	930	4	43	21	25	50	6	25	24	5	15	15	13	21	33	43	26	23	24	16	30	3	22	11	3	6	17	6	10	6	26	14	5	5	25	1	3	0	5	3	13	12	6	13	9	3	19	24	0	8	23	1	4	6	6	10	8	8	2	11	6	20	11	34	9	15	8	5	3	0					
		2.29%	1.31%	2.86%	2.57%	2.00%	2.87%	2.17%	2.36%	2.06%	0.76%	1.78%	1.59%	1.52%	1.48%	1.44%	2.47%	1.68%	1.98%	2.64%	1.33%	2.73%	0.92%	2.75%	4.82%	1.46%	2.83%	3.84%	2.56%	2.41%	3.39%	4.98%	1.63%	1.92%	1.69%	3.74%	0.83%	1.97%	0.00%	3.33%	2.17%	4.26%	5.06%	1.01%	5.58%	2.70%	1.99%	2.55%	2.30%	0.00%	1.87%	3.47%	1.82%	1.60%	0.61%	1.99%	6.58%	2.42%	9.09%	2.04%	3.10%	3.90%	4.27%	4.15%	1.97%	1.93%	6.25%	2.33%	3.47%	1.14%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	120	0	4	4	9	7	0	6	5	1	4	9	6	7	3	7	6	2	0	5	3	0	3	0	0	0	3	0	0	0	1	2	0	0	2	0	0	1	0	0	0	1	3	0	1	0	0	3	0	2	0	0	0	0	1	1	1	0	0	1	0	0	0	3	2	0	1	0	0	0					
