Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
Наименование Избирательной комиссии:    Валуйская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423					
1	"Число избирателей, внесенных в список избирателей"	54757	426	1303	1067	1239	2095	2501	182	1620	1889	1030	1264	1414	1279	1268	1060	2831	1618	1302	2127	1487	994	1463	1373	397	977	231	232	269	568	277	425	176	672	1360	357	328	823	112	144	49	160	164	362	262	723	290	384	164	897	1428	56	517	857	57	312	1300	437	202	402	80	83	433	170	657	284	1787	606	278	427	183	362	204					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53637	420	1250	1050	1200	2000	2500	183	1600	1900	1000	1250	1400	1200	1200	1000	2800	1550	1300	2000	1400	950	1400	1300	400	950	240	230	270	570	300	420	180	680	1350	350	330	800	115	160	50	160	170	360	260	700	270	380	165	900	1400	56	500	800	58	300	1300	430	200	390	84	86	420	170	670	300	1800	600	280	430	185	360	205					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37235	267	773	737	759	1285	1875	182	1054	1334	730	849	822	704	777	677	1794	1038	952	1562	948	679	824	987	274	601	185	149	205	414	217	295	140	450	844	228	255	548	95	116	35	116	136	300	193	539	215	304	111	675	1019	41	364	622	53	261	1016	293	149	319	73	74	392	139	479	203	1051	446	156	305	143	241	147					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4142	70	90	42	110	95	60	0	143	113	54	57	47	72	87	61	118	94	220	139	99	47	103	106	40	54	30	39	23	69	33	59	20	77	120	23	13	68	13	16	9	21	7	23	22	26	25	40	35	69	72	7	66	149	3	26	129	43	8	30	3	7	18	21	52	54	214	93	51	39	6	42	8					
6	Число погашенных избирательных бюллетеней	12260	83	387	271	331	620	565	1	403	453	216	344	531	424	336	262	888	418	128	299	353	224	473	207	86	295	25	42	42	87	50	66	20	153	386	99	62	184	7	28	6	23	27	37	45	135	30	36	19	156	309	8	70	29	2	13	155	94	43	41	8	5	10	10	139	43	535	61	73	86	36	77	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4142	70	90	42	110	95	60	0	143	113	54	57	47	72	87	61	118	94	220	139	99	47	103	106	40	54	30	39	23	69	33	59	20	77	120	23	13	68	13	16	9	21	7	23	22	26	25	40	35	69	72	7	66	149	3	26	129	43	8	30	3	7	18	21	52	54	214	93	51	39	6	42	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37233	267	773	737	759	1285	1875	182	1054	1334	730	849	822	704	777	677	1794	1038	952	1562	948	679	824	987	274	601	185	149	205	414	217	295	140	450	842	228	255	548	95	116	35	116	136	300	193	539	215	304	111	675	1019	41	364	622	53	261	1016	293	149	319	73	74	392	139	479	203	1051	446	156	305	143	241	147					
9	Число недействительных избирательных бюллетеней	858	3	17	21	19	34	44	11	23	22	13	26	16	8	15	13	45	25	9	29	29	17	19	22	3	10	3	1	1	14	4	3	5	14	11	3	11	13	0	1	0	2	0	6	4	12	0	3	0	14	16	0	10	31	1	9	30	7	4	3	0	0	32	5	52	2	11	7	2	14	0	1	3					
10	Число действительных избирательных бюллетеней	40517	334	846	758	850	1346	1891	171	1174	1425	771	880	853	768	849	725	1867	1107	1163	1672	1018	709	908	1071	311	645	212	187	227	469	246	351	155	513	951	248	257	603	108	131	44	135	143	317	211	553	240	341	146	730	1075	48	420	740	55	278	1115	329	153	346	76	81	378	155	479	255	1254	532	205	330	149	282	152					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	476	5	16	12	13	34	33	0	14	10	8	13	16	14	11	9	25	12	10	15	6	6	10	9	6	7	5	3	5	5	3	3	2	4	4	3	2	8	2	3	1	2	2	2	2	5	3	3	2	5	8	2	3	5	2	2	6	4	3	3	2	2	5	2	5	3	8	6	3	2	2	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	392	5	11	6	9	32	31	0	14	10	5	13	13	10	10	9	25	12	10	15	6	6	10	9	1	7	5	2	4	5	3	2	1	4	4	1	2	2	2	2	0	0	2	2	0	5	3	3	0	5	6	1	3	5	0	2	6	1	0	1	1	0	5	0	3	3	8	2	1	2	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	348	3	18	10	6	36	13	0	1	3	7	11	18	23	16	17	13	19	4	8	4	1	3	3	0	3	1	2	1	1	1	2	0	3	1	4	1	2	0	0	0	0	1	0	0	4	30	3	0	3	8	4	1	3	0	3	0	1	3	1	1	3	0	1	2	1	5	2	1	0	2	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	84	0	5	6	4	2	2	0	0	0	3	0	3	4	1	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	1	1	0	0	2	0	6	0	1	1	2	0	0	2	0	0	0	2	0	2	1	0	0	2	0	0	3	3	2	1	2	0	2	2	0	0	4	2	0	2	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	0	0	1	5	0	1	2	0	0	0	1	1	0	1	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
