Выборы Президента Российской Федерации																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Борская																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в список"	97706	2138	2187	1932	1608	1625	1873	1550	1433	2030	2350	1338	1381	2815	1745	2253	2071	1309	1942	2035	1383	1040	1393	2124	1562	927	1417	2376	438	316	2159	1282	873	1428	2027	797	817	1005	1162	558	1482	1885	511	580	2351	1250	2661	985	666	587	750	318	1030	2164	2116	727	314	944	986	1048	1550	2752	612	774	138	596	980	1037	103	647	387	628	308	1357	1529	254					
2	Число полученных избирательных бюллетеней	90300	1900	1900	1800	1500	1500	1700	1400	1300	1800	2100	1200	1300	2500	1600	2100	1900	1200	1800	1900	1300	1000	1300	1900	1500	850	1300	2200	450	350	1900	1150	750	1300	1800	750	800	1000	1100	600	1400	1800	500	500	2100	1200	2400	900	600	550	700	250	1000	2100	2100	700	300	900	900	900	1400	2600	550	750	120	600	900	900	130	600	400	600	300	1250	1450	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47104	1189	1148	998	915	864	918	797	700	1024	1120	527	567	1408	842	1178	1105	655	981	1056	715	421	672	1113	690	435	661	1150	312	282	1209	548	511	832	1086	313	310	633	527	225	721	1079	197	232	1001	551	1244	401	205	234	561	144	503	1006	880	138	81	421	516	504	460	1278	57	460	82	299	397	427	19	312	241	350	183	475	741	67					
5	"Число избирательных бюллетеней, выданных вне помещения"	7076	29	25	26	42	23	32	26	24	22	66	80	142	28	67	36	16	21	26	67	30	82	98	55	68	90	50	61	58	0	37	31	21	19	7	187	201	63	206	211	56	45	152	83	21	91	57	37	244	123	2	50	94	267	307	283	174	132	123	34	252	108	289	105	34	141	177	183	68	77	52	32	59	277	319	155					
6	Число погашенных избирательных бюллетеней	36120	682	727	776	543	613	750	577	576	754	914	593	591	1064	691	886	779	524	793	777	555	497	530	732	742	325	589	989	80	68	654	571	218	449	707	250	289	304	367	164	623	676	151	185	1078	558	1099	462	151	193	137	56	403	827	913	279	45	347	261	362	688	1214	204	185	4	160	326	290	43	211	107	218	58	498	390	28					
7	Число избирательных бюллетеней в переносных ящиках	7076	29	25	26	42	23	32	26	24	22	66	80	142	28	67	36	16	21	26	67	30	82	98	55	68	90	50	61	58	0	37	31	21	19	7	187	201	63	206	211	56	45	152	83	21	91	57	37	244	123	2	50	94	267	307	283	174	132	123	34	252	108	289	105	34	141	177	183	68	77	52	32	59	277	319	155					
8	Число бюллетеней в стационарных ящиках для голосования	47100	1189	1148	998	915	864	918	797	700	1024	1120	527	567	1408	842	1178	1105	655	981	1056	715	421	672	1110	690	435	661	1150	312	282	1209	548	511	832	1086	313	310	633	527	225	721	1079	197	232	1001	551	1244	401	205	234	561	144	502	1006	880	138	81	421	516	504	460	1278	57	460	82	299	397	427	19	312	241	350	183	475	741	67					
9	Число недействительных избирательных бюллетеней	569	16	11	11	6	9	4	5	6	13	15	6	9	10	12	7	6	11	2	11	7	6	6	7	8	2	4	11	17	3	20	6	3	9	8	4	7	13	13	5	7	17	5	10	13	6	25	6	0	4	1	3	10	12	20	5	1	4	5	7	9	18	2	5	2	7	5	6	2	4	2	4	2	3	7	1					
10	Число действительных избирательных бюллетеней	53607	1202	1162	1013	951	878	946	818	718	1033	1171	601	700	1426	897	1207	1115	665	1005	1112	738	497	764	1158	750	523	707	1200	353	279	1226	573	529	842	1085	496	504	683	720	431	770	1107	344	305	1009	636	1276	432	449	353	562	191	586	1261	1167	416	254	549	634	531	703	1368	344	560	114	433	569	604	85	385	291	378	240	749	1053	221					
11	Число полученных открепительных  удостоверений	920	10	15	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	50	10	10	10	10	20	10	10	25	25	0	0	10	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	20	30	10	10	10	10	10	10	10	10	30	10	10	20	10	10	10	10	10	10	10	30	10					
12	Число выданных открепительных удостоверений	391	2	15	13	5	7	1	1	10	5	2	4	1	4	5	9	10	3	29	8	5	2	10	12	1	2	22	14	0	0	10	3	1	3	0	4	4	2	3	0	1	5	0	1	9	5	7	4	0	0	2	2	4	13	14	2	2	1	2	0	5	7	0	16	0	4	14	10	0	2	1	5	1	5	14	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	363	4	3	6	10	5	7	3	9	3	5	5	3	5	7	5	8	1	7	11	6	5	7	11	2	3	4	13	2	4	11	29	6	4	7	3	4	2	7	0	11	8	11	1	4	3	3	3	7	1	5	3	5	3	4	2	4	1	2	3	4	3	2	3	4	2	3	1	4	3	1	0	0	4	8	0					
14	Число неиспользованных открепительных удостоверений	529	8	0	2	5	3	9	9	0	5	8	6	9	6	5	1	0	7	21	2	5	8	0	8	9	8	3	11	0	0	0	7	9	7	10	6	6	8	7	10	19	15	10	9	1	5	3	6	10	10	8	8	6	7	16	8	8	9	8	10	5	3	10	14	10	6	6	0	10	8	9	5	9	5	16	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																		
18	. Глазьев Сергей Юрьевич	1875	29	49	42	34	29	26	29	36	39	29	16	20	51	20	59	41	25	43	55	21	29	34	54	45	14	23	49	8	15	39	24	14	46	45	13	16	13	19	22	29	50	15	9	38	29	54	13	15	11	15	9	10	35	39	7	6	21	18	10	25	38	5	17	0	17	13	14	2	9	3	7	7	35	34	1					
		3.46%	2.38%	4.18%	4.10%	3.55%	3.27%	2.74%	3.52%	4.97%	3.73%	2.45%	2.64%	2.82%	3.55%	2.20%	4.86%	3.66%	3.70%	4.27%	4.90%	2.82%	5.77%	4.42%	4.64%	5.94%	2.67%	3.23%	4.05%	2.16%	5.32%	3.13%	4.15%	2.63%	5.41%	4.12%	2.60%	3.13%	1.87%	2.59%	5.05%	3.73%	4.45%	4.30%	2.86%	3.72%	4.52%	4.15%	2.97%	3.34%	3.08%	2.66%	4.64%	1.68%	2.75%	3.29%	1.66%	2.35%	3.80%	2.82%	1.86%	3.51%	2.74%	1.45%	3.01%	0.00%	3.86%	2.26%	2.30%	2.30%	2.31%	1.02%	1.83%	2.89%	4.65%	3.21%	0.45%					
19	. Малышкин Олег Александрович	1089	28	26	25	23	12	22	13	14	13	31	10	19	35	19	23	14	12	20	25	18	7	14	19	12	6	9	20	5	2	33	18	17	14	19	4	9	10	15	7	12	35	1	7	19	12	21	18	5	2	20	1	17	20	22	11	2	14	10	19	9	24	11	16	1	18	18	12	0	15	5	10	0	13	25	2					
		2.01%	2.30%	2.22%	2.44%	2.40%	1.35%	2.32%	1.58%	1.93%	1.24%	2.61%	1.65%	2.68%	2.44%	2.09%	1.89%	1.25%	1.78%	1.99%	2.23%	2.42%	1.39%	1.82%	1.63%	1.58%	1.14%	1.27%	1.65%	1.35%	0.71%	2.65%	3.11%	3.20%	1.65%	1.74%	0.80%	1.76%	1.44%	2.05%	1.61%	1.54%	3.11%	0.29%	2.22%	1.86%	1.87%	1.61%	4.11%	1.11%	0.56%	3.55%	0.52%	2.85%	1.57%	1.85%	2.61%	0.78%	2.53%	1.56%	3.53%	1.26%	1.73%	3.18%	2.83%	0.86%	4.09%	3.14%	1.97%	0.00%	3.86%	1.71%	2.62%	0.00%	1.73%	2.36%	0.90%					
20	. Миронов Сергей Михайлович	407	6	6	1	3	3	5	5	4	8	13	3	3	6	6	8	7	6	5	5	2	6	5	10	3	5	3	6	9	1	6	4	4	13	9	6	5	10	10	5	6	10	7	1	12	7	9	6	1	1	3	4	7	1	9	2	4	7	5	5	6	15	3	5	0	4	4	5	0	5	4	2	3	9	8	2					
		0.75%	0.49%	0.51%	0.10%	0.31%	0.34%	0.53%	0.61%	0.55%	0.76%	1.10%	0.49%	0.42%	0.42%	0.66%	0.66%	0.62%	0.89%	0.50%	0.45%	0.27%	1.19%	0.65%	0.86%	0.40%	0.95%	0.42%	0.50%	2.43%	0.35%	0.48%	0.69%	0.75%	1.53%	0.82%	1.20%	0.98%	1.44%	1.36%	1.15%	0.77%	0.89%	2.01%	0.32%	1.17%	1.09%	0.69%	1.37%	0.22%	0.28%	0.53%	2.06%	1.17%	0.08%	0.76%	0.48%	1.57%	1.27%	0.78%	0.93%	0.84%	1.08%	0.87%	0.88%	0.00%	0.91%	0.70%	0.82%	0.00%	1.29%	1.37%	0.52%	1.24%	1.20%	0.75%	0.90%					
21	. Путин Владимир Владимирович	37528	848	827	703	689	640	652	583	497	732	835	409	453	1082	598	756	689	442	682	714	479	313	526	768	497	352	506	815	275	204	872	409	400	594	782	370	361	540	515	320	518	792	245	228	628	447	872	305	352	289	435	136	420	887	788	296	188	386	379	386	478	936	254	396	93	234	410	427	64	276	214	266	209	574	791	200					
		69.27%	69.62%	70.50%	68.65%	72.00%	72.15%	68.63%	70.84%	68.65%	69.98%	70.40%	67.38%	63.89%	75.35%	65.79%	62.27%	61.46%	65.38%	67.73%	63.58%	64.30%	62.23%	68.31%	65.92%	65.57%	67.05%	71.17%	67.30%	74.32%	72.34%	69.98%	70.64%	75.19%	69.80%	71.55%	74.00%	70.65%	77.59%	70.26%	73.39%	66.67%	70.46%	70.20%	72.38%	61.45%	69.63%	67.03%	69.63%	78.40%	80.95%	77.26%	70.10%	70.47%	69.68%	66.39%	70.31%	73.73%	69.80%	59.31%	71.75%	67.13%	67.53%	73.41%	70.09%	80.17%	53.18%	71.43%	70.00%	73.56%	70.95%	73.04%	69.63%	86.36%	76.33%	74.62%	90.09%					
22	. Хакамада Ирина Муцуовна	2298	85	64	56	53	40	64	37	34	48	38	34	29	36	55	60	76	34	52	65	44	27	35	65	42	31	37	65	10	6	48	20	23	41	74	11	12	10	23	8	23	35	11	8	60	25	59	12	7	10	24	6	20	43	45	16	7	15	18	18	27	34	9	23	7	9	12	12	4	11	10	11	10	19	45	1					
		4.24%	6.98%	5.46%	5.47%	5.54%	4.51%	6.74%	4.50%	4.70%	4.59%	3.20%	5.60%	4.09%	2.51%	6.05%	4.94%	6.78%	5.03%	5.16%	5.79%	5.91%	5.37%	4.55%	5.58%	5.54%	5.90%	5.20%	5.37%	2.70%	2.13%	3.85%	3.45%	4.32%	4.82%	6.77%	2.20%	2.35%	1.44%	3.14%	1.83%	2.96%	3.11%	3.15%	2.54%	5.87%	3.89%	4.53%	2.74%	1.56%	2.80%	4.26%	3.09%	3.36%	3.38%	3.79%	3.80%	2.75%	2.71%	2.82%	3.35%	3.79%	2.45%	2.60%	4.07%	6.03%	2.05%	2.09%	1.97%	4.60%	2.83%	3.41%	2.88%	4.13%	2.53%	4.25%	0.45%					
23	. Харитонов Николай Михайлович	8615	152	151	152	123	124	146	113	102	154	181	104	154	190	154	245	235	119	166	188	158	98	121	198	117	96	108	197	35	40	185	91	57	120	116	84	89	89	127	65	168	159	64	44	208	90	215	66	63	25	49	34	98	245	214	75	41	96	100	77	147	264	53	89	12	134	98	118	14	55	53	71	7	82	128	15					
		15.90%	12.48%	12.87%	14.84%	12.85%	13.98%	15.37%	13.73%	14.09%	14.72%	15.26%	17.13%	21.72%	13.23%	16.94%	20.18%	20.96%	17.60%	16.48%	16.74%	21.21%	19.48%	15.71%	17.00%	15.44%	18.29%	15.19%	16.27%	9.46%	14.18%	14.85%	15.72%	10.71%	14.10%	10.61%	16.80%	17.42%	12.79%	17.33%	14.91%	21.62%	14.15%	18.34%	13.97%	20.35%	14.02%	16.53%	15.07%	14.03%	7.00%	8.70%	17.53%	16.44%	19.25%	18.03%	17.81%	16.08%	17.36%	15.65%	14.31%	20.65%	19.05%	15.32%	15.75%	10.34%	30.45%	17.07%	19.34%	16.09%	14.14%	18.09%	18.59%	2.89%	10.90%	12.08%	6.76%					
																																																																																		
24	Против всех	1795	54	39	34	26	30	31	38	31	39	44	25	22	26	45	56	53	27	37	60	16	17	29	44	34	19	21	48	11	11	43	7	14	14	40	8	12	11	11	4	14	26	1	8	44	26	46	12	6	15	16	1	14	30	50	9	6	10	104	16	11	57	9	14	1	17	14	16	1	14	2	11	4	17	22	0					
