Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Алапаевская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5515	496	459	529	653	617	631	162	89	211	201	386	74	268	245	494									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5020	465	420	480	590	560	575	145	80	200	190	350	65	240	215	445									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	22	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2125	216	156	194	248	276	241	63	45	99	70	133	39	88	89	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	280	27	37	24	18	7	18	12	8	9	14	32	5	15	7	47									
6	Число погашенных избирательных бюллетеней	2593	222	227	262	324	277	316	70	27	92	106	185	21	137	105	222									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	280	27	37	24	18	7	18	12	8	9	14	32	5	15	7	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2147	216	156	194	248	276	241	63	45	99	70	133	39	88	103	176									
9	Число недействительных избирательных бюллетеней	88	7	8	10	10	9	5	2	0	5	1	8	3	1	12	7									
10	Число действительных избирательных бюллетеней	2339	236	185	208	256	274	254	73	53	103	83	157	41	102	98	216									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	125	15	10	8	8	8	8	5	5	5	5	15	5	8	9	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	12	4	0	1	4	3	0	0	0	0	1	2	0	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	1	4	3	4	1	1	1	1	0	0	0	2	3	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	93	3	6	8	7	4	5	5	5	5	5	14	3	8	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	3	8	0	1	0	1	1	0	1	1	3	0	1	0	5									
		1.03%	1.23%	4.15%	0.00%	0.38%	0.00%	0.39%	1.33%	0.00%	0.93%	1.19%	1.82%	0.00%	0.97%	0.00%	2.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	106	10	9	5	10	26	10	3	2	7	4	4	3	7	3	3									
		4.37%	4.12%	4.66%	2.29%	3.76%	9.19%	3.86%	4.00%	3.77%	6.48%	4.76%	2.42%	6.82%	6.80%	2.73%	1.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	72	8	6	4	7	6	11	3	2	2	4	2	2	1	2	12									
		2.97%	3.29%	3.11%	1.83%	2.63%	2.12%	4.25%	4.00%	3.77%	1.85%	4.76%	1.21%	4.55%	0.97%	1.82%	5.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1124	120	82	94	117	121	91	31	33	42	47	89	28	60	56	113									
		46.31%	49.38%	42.49%	43.12%	43.98%	42.76%	35.14%	41.33%	62.26%	38.89%	55.95%	53.94%	63.64%	58.25%	50.91%	50.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	1	0	1	2	0	0	0	0	2	0	1	0	0	0	2									
		0.37%	0.41%	0.00%	0.46%	0.75%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	0.61%	0.00%	0.00%	0.00%	0.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	4	2	2	9	7	2	1	0	1	1	1	3	0	0	2									
		1.44%	1.65%	1.04%	0.92%	3.38%	2.47%	0.77%	1.33%	0.00%	0.93%	1.19%	0.61%	6.82%	0.00%	0.00%	0.90%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	434	36	32	45	57	40	60	27	9	27	10	20	2	15	16	38									
		17.88%	14.81%	16.58%	20.64%	21.43%	14.13%	23.17%	36.00%	16.98%	25.00%	11.90%	12.12%	4.55%	14.56%	14.55%	17.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1									
		0.12%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	2	2	0	0	3	1	0	1	0	0	2	0	4	0	0									
		0.62%	0.82%	1.04%	0.00%	0.00%	1.06%	0.39%	0.00%	1.89%	0.00%	0.00%	1.21%	0.00%	3.88%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0									
		0.21%	0.41%	0.52%	0.46%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	0	1	2	3	0	1	0	0	1	1	0	0	0	0	3									
		0.49%	0.00%	0.52%	0.92%	1.13%	0.00%	0.39%	0.00%	0.00%	0.93%	1.19%	0.00%	0.00%	0.00%	0.00%	1.35%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	393	41	38	41	39	57	57	7	6	14	11	27	1	11	16	27									
		16.19%	16.87%	19.69%	18.81%	14.66%	20.14%	22.01%	9.33%	11.32%	12.96%	13.10%	16.36%	2.27%	10.68%	14.55%	12.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	1	0	0	3	3	1	0	0	0	0	0	0	0	0	0									
		0.33%	0.41%	0.00%	0.00%	1.13%	1.06%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	98	8	4	13	7	11	19	0	0	6	4	7	2	3	4	10									
		4.04%	3.29%	2.07%	5.96%	2.63%	3.89%	7.34%	0.00%	0.00%	5.56%	4.76%	4.24%	4.55%	2.91%	3.64%	4.48%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
