Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Пугачевская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825					
1	"Число избирателей, внесенных в списки избирателей"	46538	2019	1557	1482	1069	1322	1218	1145	527	671	875	1588	777	1422	1817	1102	1299	768	1835	1030	1598	1154	1381	946	761	792	1206	311	927	765	2237	690	954	785	579	605	230	574	460	325	154	668	471	743	664	584	634	1075	512	112	118					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46432	2030	1550	1470	1040	1310	1200	1140	520	670	870	1600	760	1430	1681	1070	1300	760	1800	1020	1380	1100	1330	920	770	770	1200	280	920	750	2220	690	960	790	580	610	230	580	460	620	145	690	770	750	660	590	620	1080	520	110	116					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23586	880	732	691	450	645	556	480	188	320	401	822	401	659	1006	572	675	395	843	534	696	513	669	466	446	349	573	109	540	351	1085	448	555	330	419	382	124	495	227	279	106	372	416	404	325	338	330	560	329	39	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2080	21	31	39	40	48	24	26	14	20	39	15	17	56	19	25	29	13	35	43	117	39	70	13	9	36	94	49	0	69	63	0	30	112	0	0	47	0	123	46	11	23	55	79	114	79	119	43	21	39	26					
6	Число погашенных избирательных бюллетеней	20766	1129	787	740	550	617	620	634	318	330	430	763	342	715	656	473	596	352	922	443	567	548	591	441	315	385	533	122	380	330	1072	242	375	348	161	228	59	85	110	295	28	295	299	267	221	173	171	477	170	32	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2080	21	31	39	40	48	24	26	14	20	39	15	17	56	19	25	29	13	35	43	117	39	70	13	9	36	94	49	0	69	63	0	30	112	0	0	47	0	123	46	11	23	55	79	114	79	119	43	21	39	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23586	880	732	691	450	645	556	480	188	320	401	822	401	659	1006	572	675	395	843	534	696	513	669	466	446	349	573	109	540	351	1085	448	555	330	419	382	124	495	227	279	106	372	416	404	325	338	330	560	329	39	61					
9	Число недействительных избирательных бюллетеней	429	24	13	6	8	5	3	0	10	7	4	17	7	20	5	10	8	12	4	10	21	12	14	10	10	5	9	4	28	13	8	19	3	11	7	0	6	11	9	6	2	7	3	3	5	5	6	12	1	3	3					
10	Число действительных избирательных бюллетеней	25237	877	750	724	482	688	577	506	192	333	436	820	411	695	1020	587	696	396	874	567	792	540	725	469	445	380	658	154	512	407	1140	429	582	431	412	382	165	484	341	319	115	388	468	480	434	412	443	591	349	75	84					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1203	40	37	28	25	30	8	19	10	20	30	42	30	25	35	30	30	10	30	30	21	10	24	30	34	15	23	15	6	6	18	30	30	30	30	30	30	30	30	30	30	10	30	12	12	10	40	30	30	10	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	666	40	37	18	11	16	7	19	9	16	18	33	24	13	35	18	24	9	30	19	11	10	12	13	18	12	10	0	6	5	18	4	8	6	6	8	0	5	5	4	0	8	15	11	7	7	34	7	14	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	310	3	5	4	6	6	2	7	2	2	10	3	2	8	3	4	11	7	0	14	57	4	14	5	4	5	4	24	4	4	8	4	3	4	0	2	0	3	3	7	7	4	0	9	5	4	5	4	4	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	537	0	0	10	14	14	1	0	1	4	12	9	6	12	0	12	6	1	0	11	10	0	12	17	16	3	13	15	0	1	0	26	22	24	24	22	30	25	25	26	30	2	15	1	5	3	6	23	16	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	366	9	7	6	9	6	7	5	1	3	5	6	3	4	28	12	7	10	8	10	10	12	14	10	7	5	6	4	8	6	12	12	12	11	7	3	2	6	4	7	2	6	6	2	17	11	9	5	3	0	1					
		1.43%	0.99%	0.92%	0.82%	1.84%	0.87%	1.21%	0.99%	0.50%	0.88%	1.14%	0.72%	0.72%	0.56%	2.73%	2.01%	0.99%	2.45%	0.91%	1.73%	1.23%	2.17%	1.89%	2.09%	1.54%	1.30%	0.90%	2.53%	1.48%	1.43%	1.05%	2.68%	2.05%	2.49%	1.67%	0.79%	1.17%	1.21%	1.14%	2.15%	1.71%	1.52%	1.27%	0.41%	3.87%	2.64%	2.00%	0.83%	0.86%	0.00%	1.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	83	2	1	2	4	2	7	4	2	0	1	4	2	1	4	0	2	5	5	1	4	1	3	1	4	2	3	0	1	3	2	1	1	0	1	0	0	0	1	0	2	0	0	1	1	0	0	1	0	0	1					
		0.32%	0.22%	0.13%	0.27%	0.82%	0.29%	1.21%	0.79%	0.99%	0.00%	0.23%	0.48%	0.48%	0.14%	0.39%	0.00%	0.28%	1.23%	0.57%	0.17%	0.49%	0.18%	0.41%	0.21%	0.88%	0.52%	0.45%	0.00%	0.19%	0.71%	0.17%	0.22%	0.17%	0.00%	0.24%	0.00%	0.00%	0.00%	0.29%	0.00%	1.71%	0.00%	0.00%	0.21%	0.23%	0.00%	0.00%	0.17%	0.00%	0.00%	1.15%					
20	3.Политическая партия «Демократическая партия России»	14	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0					
		0.05%	0.11%	0.00%	0.14%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.17%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.23%	0.24%	0.45%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2223	43	50	70	53	58	52	33	12	19	18	66	44	64	87	80	88	55	118	99	73	56	49	45	41	49	65	14	5	27	103	69	39	41	63	20	1	35	32	21	11	24	42	39	24	26	32	39	25	4	0					
		8.66%	4.77%	6.55%	9.59%	10.82%	8.37%	8.97%	6.52%	5.94%	5.59%	4.09%	7.89%	10.53%	8.95%	8.49%	13.40%	12.50%	13.48%	13.44%	17.16%	8.98%	10.14%	6.63%	9.39%	9.01%	12.73%	9.75%	8.86%	0.93%	6.43%	8.97%	15.40%	6.67%	9.28%	15.04%	5.24%	0.58%	7.07%	9.14%	6.46%	9.40%	6.08%	8.92%	8.07%	5.47%	6.24%	7.13%	6.47%	7.14%	5.13%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	65	1	6	1	0	0	0	0	0	0	1	4	0	0	3	0	1	2	1	1	0	1	0	0	1	0	3	1	1	0	2	26	0	0	0	0	1	0	0	1	0	2	0	0	3	0	1	0	1	0	0					
		0.25%	0.11%	0.79%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.48%	0.00%	0.00%	0.29%	0.00%	0.14%	0.49%	0.11%	0.17%	0.00%	0.18%	0.00%	0.00%	0.22%	0.00%	0.45%	0.63%	0.19%	0.00%	0.17%	5.80%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.31%	0.00%	0.51%	0.00%	0.00%	0.68%	0.00%	0.22%	0.00%	0.29%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	31	1	0	2	0	1	0	0	0	1	1	0	1	1	0	1	0	2	2	0	0	0	2	0	0	0	1	0	3	0	2	0	0	3	0	0	0	0	0	0	1	1	0	1	1	0	0	3	0	0	0					
		0.12%	0.11%	0.00%	0.27%	0.00%	0.14%	0.00%	0.00%	0.00%	0.29%	0.23%	0.00%	0.24%	0.14%	0.00%	0.17%	0.00%	0.49%	0.23%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.15%	0.00%	0.56%	0.00%	0.17%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.25%	0.00%	0.21%	0.23%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1164	52	57	49	31	23	30	28	10	12	26	48	17	20	83	25	25	18	35	23	33	40	18	30	34	21	36	10	17	16	45	11	18	9	17	9	12	15	19	10	1	16	23	22	13	16	8	16	10	3	4					
		4.54%	5.77%	7.47%	6.71%	6.33%	3.32%	5.17%	5.53%	4.95%	3.53%	5.91%	5.73%	4.07%	2.80%	8.10%	4.19%	3.55%	4.41%	3.99%	3.99%	4.06%	7.25%	2.44%	6.26%	7.47%	5.45%	5.40%	6.33%	3.15%	3.81%	3.92%	2.46%	3.08%	2.04%	4.06%	2.36%	7.02%	3.03%	5.43%	3.08%	0.85%	4.05%	4.88%	4.55%	2.96%	3.84%	1.78%	2.65%	2.86%	3.85%	4.60%					
