Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Покачевская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
1	"Число избирателей, внесенных в список избирателей"	11617	1731	1481	1603	1408	705	1262	1091	1460	876					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11558	1721	1436	1465	1418	681	1244	1058	1387	1148					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7509	1240	953	1001	882	362	792	710	931	638					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	87	17	12	9	6	10	13	7	7	6					
6	Число погашенных избирательных бюллетеней	3962	464	471	455	530	309	439	341	449	504					
7	Число избирательных бюллетеней в переносных ящиках для голосования	87	17	12	9	6	10	13	7	7	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7508	1239	953	1001	882	362	792	710	931	638					
9	Число недействительных избирательных бюллетеней	170	27	28	20	14	11	15	15	27	13					
10	Число действительных избирательных бюллетеней	7425	1229	937	990	874	361	790	702	911	631					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	320	50	40	40	40	20	40	40	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	124	25	21	4	18	9	23	12	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	274	4	17	47	4	9	2	7	0	184					
14	Число погашенных неиспользованных открепительных удостоверений	196	25	19	36	22	11	17	28	28	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	5	13	11	10	3	5	3	5	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	812	137	108	115	105	39	62	85	98	63					
		10.69%	10.91%	11.19%	11.39%	11.82%	10.48%	7.70%	11.85%	10.45%	9.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1720	290	215	255	202	70	190	160	212	126					
		22.65%	23.09%	22.28%	25.25%	22.75%	18.82%	23.60%	22.32%	22.60%	19.57%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	8	13	14	13	7	9	3	8	12					
		1.15%	0.64%	1.35%	1.39%	1.46%	1.88%	1.12%	0.42%	0.85%	1.86%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1574	251	189	195	151	83	131	164	168	242					
		20.72%	19.98%	19.59%	19.31%	17.00%	22.31%	16.27%	22.87%	17.91%	37.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	103	10	14	16	10	3	17	14	15	4					
		1.36%	0.80%	1.45%	1.58%	1.13%	0.81%	2.11%	1.95%	1.60%	0.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3091	525	395	392	386	157	376	272	407	181					
		40.70%	41.80%	40.93%	38.81%	43.47%	42.20%	46.71%	37.94%	43.39%	28.11%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	38	8	3	3	7	2	5	4	3	3					
		0.50%	0.64%	0.31%	0.30%	0.79%	0.54%	0.62%	0.56%	0.32%	0.47%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
