Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Краснознаменская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9597	1807	1170	703	658	373	370	394	329	1511	591	556	552	583									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7600	1450	900	550	500	300	300	300	250	1250	450	450	450	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4108	857	508	357	286	104	196	203	146	463	302	203	258	225									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	360	74	15	3	23	42	4	13	26	40	20	42	47	11									
6	Число погашенных избирательных бюллетеней	3132	519	377	190	191	154	100	84	78	747	128	205	145	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	358	74	13	3	23	42	4	13	26	40	20	42	47	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4095	857	495	357	286	104	196	203	146	463	302	203	258	225									
9	Число недействительных избирательных бюллетеней	218	32	44	2	3	7	18	19	9	26	29	11	7	11									
10	Число действительных избирательных бюллетеней	4235	899	464	358	306	139	182	197	163	477	293	234	298	225									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	85	10	10	5	5	5	5	5	5	10	5	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	30	3	2	1	0	0	0	5	0	3	1	10	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	2	4	0	0	0	0	1	1	5	6	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	55	7	8	4	5	5	5	0	5	7	4	0	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	4	1	1	0	0	0	1	0	6	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	16	10	4	3	1	0	2	2	2	2	1	0	0									
		0.97%	1.72%	1.97%	1.11%	0.97%	0.68%	0.00%	0.93%	1.16%	0.40%	0.62%	0.41%	0.00%	0.00%									
