Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Верховская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228					
1	"Число избирателей, внесенных в списки"	16490	2095	2743	2004	390	214	174	191	995	984	245	279	265	409	47	235	323	248	84	340	80	466	82	488	901	1087	298	338	408	77					
2	"Число бюллетеней, полученных участковыми комиссиями"	17041	2120	2700	2030	430	230	175	192	1070	1074	255	300	270	420	56	250	340	260	87	350	87	475	85	505	930	1160	310	365	430	85					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11377	1413	1760	1308	326	168	151	149	795	712	239	211	222	334	28	152	197	173	61	156	80	239	41	215	650	854	251	185	247	60					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1455	40	12	40	64	46	0	34	0	0	0	36	27	14	18	70	100	58	19	163	0	190	36	201	10	59	0	87	114	17					
6	Число погашенных бюллетеней	4209	667	928	682	40	16	24	9	275	362	16	53	21	72	10	28	43	29	7	31	7	46	8	89	270	247	59	93	69	8					
7	Число бюллетеней в переносных ящиках для голосования	1455	40	12	40	64	46	0	34	0	0	0	36	27	14	18	70	100	58	19	163	0	190	36	201	10	59	0	87	114	17					
8	Число бюллетеней в стационарных ящиках для голосования	11377	1413	1760	1308	326	168	151	149	795	712	239	211	222	334	28	152	197	173	61	156	80	239	41	215	650	854	251	185	247	60					
9	Число недействительных бюллетеней	215	33	78	6	1	2	0	6	15	4	0	3	0	2	0	0	0	0	0	2	0	0	0	0	2	18	29	11	2	1					
10	Число действительных бюллетеней	12617	1420	1694	1342	389	212	151	177	780	708	239	244	249	346	46	222	297	231	80	317	80	429	77	416	658	895	222	261	359	76					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	30	40	30	5	5	5	5	20	20	5	5	5	10	5	5	5	5	5	5	5	5	5	10	20	20	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	12	13	4	3	0	1	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	9	6	8	0	0	0	2	1	2	1	1	0	2	1	0	0	0	0	1	0	2	0	0	3	2	2	0	0	0					
14	Число погашенных открепительных удостоверений	253	18	27	26	2	5	4	5	18	18	5	5	5	10	5	5	4	5	5	4	5	5	5	10	19	18	4	3	3	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	60	8	11	9	3	0	0	1	2	6	0	0	2	0	0	1	0	1	0	0	0	1	1	2	2	6	3	0	1	0					
		0.46%	0.55%	0.62%	0.66%	0.76%	0.0%	0.0%	0.54%	0.25%	0.84%	0.0%	0.0%	0.80%	0.0%	0.0%	0.45%	0.0%	0.43%	0.0%	0.0%	0.0%	0.23%	1.29%	0.48%	0.30%	0.65%	1.19%	0.0%	0.27%	0.0%					
