Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Саткинская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217					
1	"Число избирателей, внесенных в список"	65081	1974	1913	1858	227	2152	2252	2633	1372	1350	1324	1230	999	1264	1477	1347	868	1383	565	1000	1466	2190	2317	2524	2859	1708	2691	2185	1339	1496	1072	1031	473	692	226	135	104	1908	843	1088	358	1539	593	802	2462	886	419	187	621	550	169	153	112	336	168	191					
2	Число полученных избирательных бюллетеней	59976	1820	1800	1730	230	1960	2050	2360	1260	1220	1200	1080	940	1110	1360	1150	790	1170	500	950	1310	2030	2100	2310	2600	1490	2300	2130	1250	1370	970	950	500	890	210	155	117	1760	690	900	330	1490	600	780	2320	860	393	200	590	520	193	192	117	310	175	194					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46224	1448	1246	955	172	1630	1738	1907	1065	1018	940	867	744	886	1033	1006	587	857	303	738	1108	1692	1811	2014	1694	1198	1651	1462	893	965	811	597	387	458	166	98	87	1525	582	811	272	1199	468	509	1746	576	310	151	524	445	144	131	87	239	124	149					
5	"Число избирательных бюллетеней, выданных вне помещения"	3435	156	112	262	23	56	57	46	42	39	78	84	45	68	90	47	64	174	82	38	25	56	27	25	69	37	116	41	45	62	35	62	3	51	5	20	10	95	94	89	38	95	75	78	171	135	56	29	42	53	13	22	4	55	15	24					
6	Число погашенных избирательных бюллетеней	10317	216	442	513	35	274	255	407	153	163	182	129	151	156	237	97	139	139	115	174	177	282	262	271	837	255	533	627	312	343	124	291	110	381	39	37	20	140	14	0	20	196	57	193	403	149	27	20	24	22	36	39	26	16	36	21					
7	Число избирательных бюллетеней в переносных ящиках	3435	156	112	262	23	56	57	46	42	39	78	84	45	68	90	47	64	174	82	38	25	56	27	25	69	37	116	41	45	62	35	62	3	51	5	20	10	95	94	89	38	95	75	78	171	135	56	29	42	53	13	22	4	55	15	24					
8	Число бюллетеней в стационарных ящиках для голосования	46160	1448	1246	955	172	1630	1738	1907	1065	1018	940	867	744	885	1033	1006	587	857	303	738	1108	1692	1811	2014	1633	1198	1649	1462	893	965	811	597	387	458	166	98	87	1525	582	811	272	1199	468	509	1746	576	310	151	524	445	144	131	87	239	124	149					
9	Число недействительных избирательных бюллетеней	682	28	29	10	5	13	41	41	14	19	11	21	13	8	18	17	10	13	9	22	19	23	23	26	22	15	21	23	16	8	14	14	0	4	5	1	0	13	10	7	0	8	3	3	36	10	3	2	0	1	1	1	2	2	4	0					
10	Число действительных избирательных бюллетеней	48913	1576	1329	1207	190	1673	1754	1912	1093	1038	1007	930	776	945	1105	1036	641	1018	376	754	1114	1725	1815	2013	1680	1220	1744	1480	922	1019	832	645	390	505	166	117	97	1607	666	893	310	1286	540	584	1881	701	363	178	566	497	156	152	89	292	135	173					
