Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Балашовская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №8211									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87341	1503	1438	1311	435	1177	849	1084	1048	1574	1376	1125	1086	877	1317	1596	1246	1063	742	1344	1475	1499	1697	1649	1265	1097	1159	843	1123	1238	1018	1131	1668	2119	821	1600	1309	1830	1336	1467	1478	1556	1382	1895	1303	1907	1152	1168	240	169	993	535	385	477	193	100	705	187	802	211	578	143	263	667	939	300	1184	371	1486	528	360	1880	905	169	209	177	752	223	786	815	516	557	1459	402	1739	457	3103									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85785	1500	1400	1300	435	1100	850	950	1130	1500	1350	1000	1000	850	1300	1500	1200	1140	820	1300	1580	1450	1600	1600	1200	1100	1100	850	1100	1250	1000	1000	1600	2000	800	1600	1300	1800	1350	1500	1400	1500	1400	1900	1300	1850	1100	1100	245	170	950	530	390	480	205	100	700	190	800	210	580	135	260	650	900	295	1100	370	1500	525	360	1800	900	170	215	170	750	230	750	800	500	550	1400	400	1700	450	3400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41580	444	735	451	142	359	378	448	370	827	756	328	529	559	562	840	451	480	309	474	572	841	936	803	503	404	720	384	513	368	598	747	796	947	341	916	523	1033	596	573	902	659	559	717	536	767	563	696	100	55	493	256	215	187	88	42	325	115	394	92	270	69	103	391	414	141	675	229	526	205	134	1171	413	59	100	86	333	101	398	231	168	157	600	144	841	248	3056									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4757	41	46	93	263	22	12	122	51	20	25	95	47	12	21	78	165	27	81	33	24	26	87	39	234	22	31	92	35	120	162	1	26	47	4	50	26	57	134	62	32	12	14	26	30	78	30	13	25	18	114	37	57	27	34	21	59	7	83	20	45	15	22	33	40	7	38	42	61	21	36	134	130	49	30	31	62	9	36	204	63	72	186	13	52	9	47									
6	Число погашенных избирательных бюллетеней	39436	1015	619	756	30	719	460	380	709	653	569	577	424	279	717	582	584	633	428	793	984	583	577	758	463	674	349	374	552	762	240	250	778	1006	455	634	751	710	620	865	466	829	827	1157	734	1005	499	391	120	97	343	237	118	266	83	37	316	68	323	98	265	51	135	226	446	147	387	99	913	299	190	495	357	62	85	53	355	120	316	365	269	321	614	243	807	193	297									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4757	41	46	93	263	22	12	122	51	20	25	95	47	12	21	78	165	27	81	33	24	26	87	39	234	22	31	92	35	120	162	1	26	47	4	50	26	57	134	62	32	12	14	26	30	78	30	13	25	18	114	37	57	27	34	21	59	7	83	20	45	15	22	33	40	7	38	42	61	21	36	134	130	49	30	31	62	9	36	204	63	72	186	13	52	9	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41574	444	735	451	142	359	378	448	370	827	756	328	529	559	562	840	451	478	307	474	572	841	936	803	503	404	720	384	513	368	598	747	796	947	341	916	523	1033	596	573	902	657	559	717	536	767	563	696	100	55	493	256	215	187	88	42	325	115	394	92	270	69	103	391	414	141	675	229	526	205	134	1171	413	59	100	86	333	101	398	231	168	157	600	144	841	248	3056									
9	Число недействительных избирательных бюллетеней	746	6	0	0	3	7	0	9	17	5	4	36	15	1	11	0	0	10	38	11	10	16	5	2	12	8	3	5	0	15	0	19	14	18	10	0	20	9	8	0	23	9	0	13	12	50	7	21	7	1	6	10	3	3	1	0	10	2	11	4	8	2	4	7	6	1	14	6	12	6	8	13	0	1	8	0	5	5	9	7	8	0	20	3	24	9	20									
10	Число действительных избирательных бюллетеней	45585	479	781	544	402	374	390	561	404	842	777	387	561	570	572	918	616	495	350	496	586	851	1018	840	725	418	748	471	548	473	760	729	808	976	335	966	529	1081	722	635	911	660	573	730	554	795	586	688	118	72	601	283	269	211	121	63	374	120	466	108	307	82	121	417	448	147	699	265	575	220	162	1292	543	107	122	117	390	105	425	428	223	229	766	154	869	248	3083									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1600	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	35	25	25	25	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	696	9	13	16	0	10	2	5	10	15	17	7	11	1	13	5	16	13	3	9	12	14	8	4	9	12	15	6	14	9	5	17	18	12	14	21	15	11	12	18	14	13	16	29	12	23	14	16	1	0	4	1	3	4	7	1	10	2	10	0	6	0	0	2	0	2	5	1	8	2	2	13	3	0	0	0	6	7	2	1	2	10	7	5	8	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	505	9	3	14	0	9	4	5	1	6	5	1	10	3	5	1	3	15	10	2	13	9	18	14	7	7	0	3	7	9	8	37	21	8	2	9	9	11	10	4	9	6	13	5	5	24	7	14	0	0	3	0	0	1	1	2	3	0	3	0	10	9	3	9	5	6	5	0	3	4	0	5	3	1	0	3	2	1	4	2	2	0	4	3	8	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	904	16	12	9	25	15	23	20	15	10	8	18	14	24	12	20	9	12	22	16	13	11	17	21	16	13	10	19	11	16	20	8	7	13	11	4	10	14	13	7	11	12	9	6	13	2	11	4	9	10	6	9	7	6	3	9	0	8	0	10	4	10	10	8	10	8	5	9	2	8	8	7	7	10	10	10	4	3	8	9	8	0	3	5	2	7	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	152	1	1	2	0	1	2	2	3	3	3	1	1	1	2	1	1	4	3	2	0	2	1	3	3	2	1	4	1	3	2	1	4	3	1	0	1	3	0	3	4	3	4	0	3	1	2	29	0	0	0	0	0	2	1	0	0	0	0	0	8	0	0	1	0	0	2	0	6	0	1	1	0	0	0	0	1	2	1	1	1	1	3	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	374	0	0	0	0	3	3	7	6	1	2	4	3	5	11	7	0	5	6	5	5	4	5	1	9	5	5	5	0	3	12	15	4	12	3	11	6	8	3	4	4	2	5	11	5	1	6	9	1	0	0	3	4	1	1	1	5	0	2	0	1	1	3	2	3	0	13	2	3	2	1	3	3	0	0	2	0	1	2	1	0	3	7	0	8	2	62									
		0.81%	0.00%	0.00%	0.00%	0.00%	0.79%	0.77%	1.23%	1.43%	0.12%	0.26%	0.95%	0.52%	0.88%	1.89%	0.76%	0.00%	0.99%	1.55%	0.99%	0.84%	0.46%	0.49%	0.12%	1.22%	1.17%	0.67%	1.05%	0.00%	0.61%	1.58%	2.01%	0.49%	1.21%	0.87%	1.14%	1.09%	0.73%	0.41%	0.63%	0.43%	0.30%	0.87%	1.48%	0.88%	0.12%	1.01%	1.27%	0.80%	0.00%	0.00%	1.02%	1.47%	0.47%	0.82%	1.59%	1.30%	0.00%	0.42%	0.00%	0.32%	1.19%	2.40%	0.47%	0.66%	0.00%	1.82%	0.74%	0.51%	0.88%	0.59%	0.23%	0.55%	0.00%	0.00%	1.71%	0.00%	0.91%	0.46%	0.23%	0.00%	1.31%	0.89%	0.00%	0.90%	0.78%	1.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	959	0	5	0	2	0	6	5	16	3	5	16	3	13	16	20	5	17	17	19	23	23	18	1	11	13	17	4	6	9	15	21	1	27	17	20	23	21	11	10	25	4	20	28	13	12	20	18	7	1	0	10	5	8	4	0	10	9	10	2	4	4	5	20	0	6	30	4	4	2	1	32	8	4	7	1	18	7	5	20	8	6	31	3	25	9	30									
		2.07%	0.00%	0.64%	0.00%	0.49%	0.00%	1.54%	0.88%	3.80%	0.35%	0.64%	3.78%	0.52%	2.28%	2.74%	2.18%	0.81%	3.37%	4.38%	3.75%	3.86%	2.65%	1.76%	0.12%	1.49%	3.05%	2.26%	0.84%	1.09%	1.84%	1.97%	2.81%	0.12%	2.72%	4.93%	2.07%	4.19%	1.93%	1.51%	1.57%	2.68%	0.60%	3.49%	3.77%	2.30%	1.42%	3.37%	2.54%	5.60%	1.37%	0.00%	3.41%	1.84%	3.74%	3.28%	0.00%	2.60%	7.38%	2.10%	1.79%	1.27%	4.76%	4.00%	4.72%	0.00%	4.05%	4.21%	1.48%	0.68%	0.88%	0.59%	2.45%	1.47%	3.70%	5.38%	0.85%	4.56%	6.36%	1.15%	4.60%	3.46%	2.62%	3.94%	1.91%	2.80%	3.50%	0.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	412	0	0	0	1	0	0	2	8	6	0	8	3	6	12	0	0	8	5	8	10	12	10	3	7	7	5	7	2	1	8	9	3	19	8	12	9	11	9	2	11	2	2	15	2	4	17	6	1	4	0	5	2	6	0	0	0	0	4	0	5	1	6	11	1	1	4	0	4	6	3	5	10	1	0	2	2	0	3	2	3	3	9	1	7	4	16									
		0.89%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.35%	1.90%	0.71%	0.00%	1.89%	0.52%	1.05%	2.06%	0.00%	0.00%	1.58%	1.29%	1.58%	1.68%	1.38%	0.98%	0.36%	0.95%	1.64%	0.67%	1.47%	0.36%	0.20%	1.05%	1.20%	0.36%	1.91%	2.32%	1.24%	1.64%	1.01%	1.23%	0.31%	1.18%	0.30%	0.35%	2.02%	0.35%	0.47%	2.87%	0.85%	0.80%	5.48%	0.00%	1.71%	0.74%	2.80%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	1.59%	1.19%	4.80%	2.59%	0.22%	0.68%	0.56%	0.00%	0.68%	2.65%	1.76%	0.38%	1.84%	0.93%	0.00%	1.71%	0.51%	0.00%	0.69%	0.46%	1.30%	1.31%	1.15%	0.64%	0.78%	1.56%	0.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29382	292	507	329	390	252	230	359	191	641	583	192	345	438	231	689	433	229	202	201	232	435	637	652	494	190	583	296	366	287	528	352	522	426	116	675	193	773	492	413	584	437	339	322	294	546	325	395	64	38	437	159	178	122	85	46	241	88	315	80	203	38	67	295	273	92	447	185	466	121	110	1026	434	55	82	82	232	62	246	265	133	151	431	97	522	166	2610									
		63.42%	60.21%	64.92%	60.48%	96.30%	66.14%	58.97%	62.98%	45.37%	75.68%	74.65%	45.39%	59.90%	76.71%	39.62%	75.05%	70.29%	45.35%	52.06%	39.64%	38.93%	50.17%	62.27%	77.43%	67.03%	44.60%	77.63%	62.18%	66.79%	58.81%	69.47%	47.06%	63.50%	42.86%	33.62%	69.88%	35.15%	70.92%	67.40%	65.04%	62.53%	65.32%	59.16%	43.34%	51.94%	64.62%	54.81%	55.71%	51.20%	52.05%	71.99%	54.27%	65.44%	57.01%	69.67%	73.02%	62.76%	72.13%	66.04%	71.43%	64.44%	45.24%	53.60%	69.58%	60.13%	62.16%	62.69%	68.27%	79.39%	53.54%	64.71%	78.62%	79.93%	50.93%	63.08%	70.09%	58.73%	56.36%	56.68%	60.92%	57.58%	65.94%	54.83%	61.78%	58.45%	64.59%	84.11%									
