Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Волгодонская городская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	128059	3038	1982	2379	2496	2062	2388	2060	2434	2543	2019	2164	2409	2280	2263	2053	2426	2184	2335	1048	2023	1727	2873	2738	2495	2803	2596	2475	2632	2825	2925	2589	2376	2317	2458	2749	2378	2751	2765	2929	2797	2888	2880	2611	2395	2683	2396	2430	2112	2009	2032	1959	2798	2082									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	103400	2400	1600	1900	1800	1700	1900	1700	1900	2100	1600	1900	1900	1900	1800	1700	2000	1800	1900	800	1600	1400	2500	2200	2000	2300	2100	2200	2100	2300	2300	2100	1900	1900	1700	2200	1900	2200	2200	2400	2200	2300	2300	2100	1900	2200	2000	1900	2000	1600	1600	1600	2300	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50695	851	905	1235	858	888	855	868	1013	1237	683	683	929	1000	864	897	1027	723	966	432	725	596	1109	968	1128	1281	1019	1006	1126	1087	1007	1069	953	979	884	1223	727	1199	1076	1206	1047	1180	1133	1023	978	1075	1007	796	819	805	826	702	1172	850									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1685	73	136	25	271	58	35	42	52	51	22	30	39	25	16	26	17	13	11	4	56	67	14	12	22	27	6	8	10	8	128	23	15	6	11	27	22	24	19	9	75	13	11	13	23	11	8	8	6	17	16	5	9	10									
6	Число погашенных избирательных бюллетеней	51020	1476	559	640	671	754	1010	790	835	812	895	1187	932	875	920	777	956	1064	923	364	819	737	1377	1220	850	992	1075	1186	964	1205	1165	1008	932	915	805	950	1151	977	1105	1185	1078	1107	1156	1064	899	1114	985	1096	1175	778	758	893	1119	740									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1685	73	136	25	271	58	35	42	52	51	22	30	39	25	16	26	17	13	11	4	56	67	14	12	22	27	6	8	10	8	128	23	15	6	11	27	22	24	19	9	75	13	11	13	23	11	8	8	6	17	16	5	9	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	50682	850	905	1235	858	888	855	868	1013	1237	682	683	929	1000	864	896	1027	723	966	432	724	596	1109	968	1128	1281	1019	1006	1126	1087	1007	1069	953	979	884	1223	727	1199	1076	1206	1047	1180	1132	1023	976	1075	1007	796	813	805	826	702	1172	850									
9	Число недействительных избирательных бюллетеней	1244	28	16	27	28	23	35	10	33	22	21	21	0	4	25	21	41	19	24	10	13	5	32	35	31	13	25	27	35	10	35	18	29	28	8	7	28	37	24	36	19	30	26	26	23	24	29	22	15	35	17	24	37	33									
10	Число действительных избирательных бюллетеней	51123	895	1025	1233	1101	923	855	900	1032	1266	683	692	968	1021	855	901	1003	717	953	426	767	658	1091	945	1119	1295	1000	987	1101	1085	1100	1074	939	957	887	1243	721	1186	1071	1179	1103	1163	1117	1010	976	1062	986	782	804	787	825	683	1144	827									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1715	30	30	30	40	30	35	35	30	30	30	30	35	30	30	30	30	30	35	20	30	30	40	35	30	50	30	40	30	30	30	40	30	30	30	30	30	35	30	45	45	30	30	30	30	35	30	30	30	30	30	30	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1391	19	23	30	37	20	35	31	20	24	18	20	31	30	22	30	27	30	31	8	13	16	40	33	19	50	23	36	21	28	30	37	30	18	16	25	26	28	25	43	41	25	28	26	22	32	30	17	15	15	17	21	37	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	839	20	24	22	16	27	65	11	21	18	23	29	26	12	15	16	15	6	34	31	9	3	11	9	15	29	21	17	8	13	3	15	11	9	5	25	10	9	17	12	15	29	11	12	11	13	7	9	7	9	5	11	8	10									
14	Число погашенных неиспользованных открепительных удостоверений	324	11	7	0	3	10	0	4	10	6	12	10	4	0	8	0	3	0	4	12	17	14	0	2	11	0	7	4	9	2	0	3	0	12	14	5	4	7	5	2	4	5	2	4	8	3	0	13	15	15	13	9	3	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	1	1	0	0	2	1	0	2	0	3	1	0	3	1	4	2	1	1	0	0	1	1	2	1	4	2	2	4	2	0	2	2	4	0	2	1	1	0	0	1	3	4	1	2	2	4	3	1	0	2	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
