Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Новоторъяльская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411					
1	"Число избирателей, внесенных в списки"	14027	1558	1368	1367	1463	612	660	235	405	428	386	879	264	1092	980	770	527	521	512					
2	"Число бюллетеней, полученных участковыми комиссиями"	13700	1560	1300	1200	1500	600	700	250	410	450	400	850	280	1000	1000	700	500	500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6842	808	649	731	877	239	352	122	226	233	218	416	126	537	323	315	222	264	184					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1535	19	109	6	12	101	94	66	34	54	53	109	39	144	193	161	126	108	107					
6	Число погашенных бюллетеней	5323	733	542	463	611	260	254	62	150	163	129	325	115	319	484	224	152	128	209					
7	Число бюллетеней в переносных ящиках для голосования	1535	19	109	6	12	101	94	66	34	54	53	109	39	144	193	161	126	108	107					
8	Число бюллетеней в стационарных ящиках для голосования	6842	808	649	731	877	239	352	122	226	233	218	416	126	537	323	315	222	264	184					
9	Число недействительных бюллетеней	129	12	15	6	11	7	6	0	10	6	4	10	3	15	10	8	1	3	2					
10	Число действительных бюллетеней	8248	815	743	731	878	333	440	188	250	281	267	515	162	666	506	468	347	369	289					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	23	18	23	18	7	7	7	7	12	7	7	7	7	7	12	7	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	118	10	4	20	16	3	7	7	0	8	7	7	2	6	5	8	7	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	1	6	1	6	2	2	2	1	1	3	3	1	1	5	1	2	8	1					
14	Число погашенных открепительных удостоверений	72	13	14	3	2	4	0	0	7	4	0	0	5	1	2	4	0	6	7					
15	Число открепительных удостоверений выданных ТИК	10	4	0	1	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	170	10	21	8	12	17	6	5	4	8	5	9	3	15	13	7	3	12	12					
		2.02%	1.20%	2.77%	1.08%	1.34%	5.0%	1.34%	2.65%	1.53%	2.78%	1.84%	1.71%	1.81%	2.20%	2.51%	1.47%	0.86%	3.22%	4.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	107	14	25	11	18	2	3	2	0	1	2	2	4	5	3	3	3	3	6					
		1.27%	1.69%	3.29%	1.49%	2.02%	0.58%	0.67%	1.06%	0.0%	0.34%	0.73%	0.38%	2.42%	0.73%	0.58%	0.63%	0.86%	0.80%	2.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	107	13	9	14	10	5	3	0	5	13	4	6	1	11	4	0	3	4	2					
