Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    район Капотня															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №3213					
1	"Число избирателей, внесенных в списки избирателей"	18526	3041	2990	2127	2085	2014	3044	2925	300					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14350	2350	2350	1600	1550	1550	2350	2300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9928	1781	1526	1101	1337	1095	1477	1426	185					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	334	25	49	21	15	26	26	57	115					
6	Число погашенных избирательных бюллетеней	4088	544	775	478	198	429	847	817	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	334	25	49	21	15	26	26	57	115					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9923	1781	1526	1101	1337	1095	1477	1421	185					
9	Число недействительных избирательных бюллетеней	129	27	20	11	23	8	19	20	1					
10	Число действительных избирательных бюллетеней	10128	1779	1555	1111	1329	1113	1484	1458	299					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	325	55	50	40	40	40	50	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	207	48	24	20	21	20	39	35	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	480	70	5	62	157	51	76	51	8					
14	Число погашенных неиспользованных открепительных удостоверений	118	7	26	20	19	20	11	15	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	2	3	1	1	9	7	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	252	35	52	34	28	30	28	38	7					
		2.46%	1.94%	3.30%	3.03%	2.07%	2.68%	1.86%	2.57%	2.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	155	32	12	18	21	18	31	22	1					
		1.51%	1.77%	0.76%	1.60%	1.55%	1.61%	2.06%	1.49%	0.33%					
20	3.Политическая партия «Демократическая партия России»	16	3	4	0	3	1	3	2	0					
		0.16%	0.17%	0.25%	0.00%	0.22%	0.09%	0.20%	0.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	979	161	163	125	119	110	141	140	20					
		9.54%	8.91%	10.35%	11.14%	8.80%	9.81%	9.38%	9.47%	6.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	111	17	22	15	15	9	13	15	5					
		1.08%	0.94%	1.40%	1.34%	1.11%	0.80%	0.86%	1.01%	1.67%					
23	6.Политическая партия «Партия социальной справедливости»	41	10	5	5	2	8	6	4	1					
		0.40%	0.55%	0.32%	0.45%	0.15%	0.71%	0.40%	0.27%	0.33%					
24	7.Политическая партия «Либерально-демократическая партия России»	930	188	148	111	117	108	115	125	18					
		9.07%	10.41%	9.40%	9.89%	8.65%	9.63%	7.65%	8.46%	6.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	724	110	144	81	70	84	107	113	15					
		7.06%	6.09%	9.14%	7.22%	5.18%	7.49%	7.12%	7.65%	5.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	130	16	19	28	14	15	21	15	2					
		1.27%	0.89%	1.21%	2.50%	1.04%	1.34%	1.40%	1.01%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6568	1174	933	667	911	709	994	954	226					
		64.03%	65.01%	59.24%	59.45%	67.38%	63.25%	66.13%	64.55%	75.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	222	33	53	27	29	21	25	30	4					
		2.16%	1.83%	3.37%	2.41%	2.14%	1.87%	1.66%	2.03%	1.33%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
