Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Новоалтайская городская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №1876					
1	"Число избирателей, внесенных в список"	56623	2025	2448	2341	2763	2711	2309	2244	1118	1039	2087	1419	2498	2170	1504	2606	2312	2364	1942	2750	2740	1133	1807	1592	2244	1241	2970	1036	1210					
2	Число полученных избирательных бюллетеней	50965	1790	2210	2100	2500	2330	2080	2040	995	930	1880	1275	2260	1960	1470	2390	2100	2140	1600	2470	2480	1010	1625	1440	2040	1125	2670	940	1115					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32374	1071	1152	1267	1551	1286	1547	1346	589	526	1243	1005	1655	1330	889	1564	1438	1392	1170	1665	1678	630	1048	795	1174	633	1403	552	775					
5	"Число избирательных бюллетеней, выданных вне помещения"	1192	30	44	50	63	160	51	54	18	8	26	8	17	41	50	35	53	25	52	48	53	18	18	59	32	42	86	30	21					
6	Число погашенных избирательных бюллетеней	17399	689	1014	783	886	884	482	640	388	396	611	262	588	589	531	791	609	723	378	757	749	362	559	586	834	450	1181	358	319					
7	Число избирательных бюллетеней в переносных ящиках	1192	30	44	50	63	160	51	54	18	8	26	8	17	41	50	35	53	25	52	48	53	18	18	59	32	42	86	30	21					
8	Число бюллетеней в стационарных ящиках для голосования	32308	1067	1150	1265	1548	1252	1547	1345	589	526	1242	1005	1655	1330	889	1564	1438	1387	1170	1663	1672	630	1046	795	1174	630	1402	552	775					
9	Число недействительных избирательных бюллетеней	362	17	6	9	23	8	18	14	6	10	9	8	18	17	7	16	7	12	7	13	8	10	16	12	26	7	42	11	5					
10	Число действительных избирательных бюллетеней	33138	1080	1188	1306	1588	1404	1580	1385	601	524	1259	1005	1654	1354	932	1583	1484	1400	1215	1698	1717	638	1048	842	1180	665	1446	571	791					
11	Число полученных открепительных  удостоверений	388	15	15	20	20	20	15	25	5	5	10	10	15	10	5	20	15	25	15	20	20	5	10	10	15	5	20	5	13					
12	Число выданных открепительных удостоверений	231	5	6	10	16	3	11	16	0	3	7	5	14	9	1	20	13	16	5	11	11	5	5	8	10	0	4	4	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	180	17	4	11	0	8	14	3	5	3	3	8	9	8	8	6	5	6	4	14	1	8	10	2	6	2	8	3	4					
14	Число неиспользованных открепительных удостоверений	157	10	9	10	4	17	4	9	5	2	3	5	1	1	4	0	2	9	10	9	9	0	5	2	5	5	16	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	1388	57	47	42	70	56	92	57	34	18	45	53	78	57	39	63	51	66	35	62	75	20	34	32	48	34	65	22	36					
		4.14%	5.20%	3.94%	3.19%	4.35%	3.97%	5.76%	4.07%	5.60%	3.37%	3.55%	5.23%	4.67%	4.16%	4.15%	3.94%	3.42%	4.67%	2.86%	3.62%	4.35%	3.09%	3.20%	3.75%	3.98%	5.06%	4.37%	3.78%	4.52%					
19	. Малышкин Олег Александрович	892	31	23	28	47	31	27	42	12	17	32	20	33	27	44	33	32	44	30	44	38	23	39	31	50	14	55	20	25					
		2.66%	2.83%	1.93%	2.13%	2.92%	2.20%	1.69%	3.00%	1.98%	3.18%	2.52%	1.97%	1.97%	1.97%	4.69%	2.06%	2.15%	3.12%	2.45%	2.57%	2.20%	3.55%	3.67%	3.63%	4.15%	2.08%	3.70%	3.44%	3.14%					
20	. Миронов Сергей Михайлович	308	7	10	6	16	14	12	17	4	8	9	7	6	20	16	10	19	14	13	14	25	5	11	10	4	4	15	7	5					
		0.92%	0.64%	0.84%	0.46%	0.99%	0.99%	0.75%	1.22%	0.66%	1.50%	0.71%	0.69%	0.36%	1.46%	1.70%	0.63%	1.27%	0.99%	1.06%	0.82%	1.45%	0.77%	1.03%	1.17%	0.33%	0.60%	1.01%	1.20%	0.63%					
