Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Туруханская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №108	УИК №109	УИК №110	УИК №112	УИК №115	УИК №116	УИК №117	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1960	УИК №1961	УИК №1962	УИК №1964	УИК №1965	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1975	УИК №1976					
1	"Число избирателей, внесенных в списки избирателей"	14464	92	757	128	390	280	1617	1697	516	772	466	1382	166	490	230	108	115	1554	2403	789	92	82	61	181	96					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14251	92	765	128	420	455	1876	1793	524	772	454	1347	167	491	218	109	120	1400	1900	700	90	70	80	180	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1292	0	0	0	0	0	0	0	0	53	40	0	0	0	0	0	0	392	515	242	0	0	0	50	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7557	76	529	62	129	142	817	739	364	502	221	820	137	300	165	105	108	548	1129	326	80	68	57	90	43					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	806	0	37	28	35	28	62	61	10	55	18	72	5	17	0	0	0	126	177	44	0	0	0	3	28					
6	Число погашенных избирательных бюллетеней	4596	16	199	38	256	285	997	993	150	162	175	455	25	174	53	4	12	334	79	88	10	2	23	37	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2098	0	37	28	35	28	62	61	10	108	58	72	5	17	0	0	0	518	692	286	0	0	0	53	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7555	76	528	62	129	142	817	739	364	502	221	820	137	300	165	105	108	547	1129	326	80	68	57	90	43					
9	Число недействительных избирательных бюллетеней	127	0	19	1	1	2	14	12	2	13	3	9	1	4	1	0	2	22	16	3	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	9526	76	546	89	163	168	865	788	372	597	276	883	141	313	164	105	106	1043	1805	609	79	68	57	142	71					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	240	5	15	5	10	20	35	35	5	8	5	15	5	7	5	3	3	15	20	10	3	3	3	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	53	0	4	0	0	0	0	3	1	1	4	8	2	0	0	2	0	5	18	1	0	0	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	31	0	3	1	0	0	0	0	0	3	0	2	0	0	1	0	0	13	2	3	0	0	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	187	5	11	5	10	20	35	32	4	7	1	7	3	7	5	1	3	10	2	9	3	3	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	185	0	11	2	6	2	25	27	4	9	6	17	4	4	2	0	1	14	30	5	15	0	0	1	0					
		1.92%	0.00%	1.95%	2.22%	3.66%	1.18%	2.84%	3.38%	1.07%	1.48%	2.15%	1.91%	2.82%	1.26%	1.21%	0.00%	0.93%	1.31%	1.65%	0.82%	18.75%	0.00%	0.00%	0.70%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	74	1	4	0	1	4	9	14	1	3	1	6	0	0	0	0	0	7	18	1	0	0	1	2	1					
		0.77%	1.32%	0.71%	0.00%	0.61%	2.35%	1.02%	1.75%	0.27%	0.49%	0.36%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.99%	0.16%	0.00%	0.00%	1.75%	1.40%	1.41%					
20	3.Политическая партия «Демократическая партия России»	8	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.33%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.11%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	776	6	40	3	7	8	59	54	22	70	24	64	9	33	22	12	30	105	111	46	13	9	13	16	0					
