Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Алапаевская городская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36661	216	2032	1591	1297	1661	1315	769	1527	1700	1581	1747	1623	2321	815	1286	1410	1474	1162	2275	562	739	1225	1516	851	950	936	268	975	837									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35233	183	2000	1500	1300	1600	1300	750	1500	1700	1500	1700	1600	2200	800	1200	1300	1400	1100	2200	550	700	1200	1400	800	900	900	250	900	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13597	59	655	540	436	556	613	295	711	795	646	721	723	636	239	492	460	580	493	954	206	201	421	487	316	366	335	84	325	252									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	822	73	85	29	14	30	18	24	26	32	31	9	20	23	10	20	21	26	19	25	35	7	12	31	43	12	30	12	47	58									
6	Число погашенных избирательных бюллетеней	20814	51	1260	931	850	1014	669	431	763	873	823	970	857	1541	551	688	819	794	588	1221	309	492	767	882	441	522	535	154	528	490									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	822	73	85	29	14	30	18	24	26	32	31	9	20	23	10	20	21	26	19	25	35	7	12	31	43	12	30	12	47	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13597	59	655	540	436	556	613	295	711	795	646	721	723	636	239	492	460	580	493	954	206	201	421	487	316	366	335	84	325	252									
9	Число недействительных избирательных бюллетеней	416	6	33	23	10	16	18	9	18	16	12	17	29	13	9	10	9	16	14	28	14	11	17	17	14	9	11	3	6	8									
10	Число действительных избирательных бюллетеней	14003	126	707	546	440	570	613	310	719	811	665	713	714	646	240	502	472	590	498	951	227	197	416	501	345	369	354	93	366	302									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	0	35	40	30	25	60	25	60	40	30	35	35	20	20	35	20	35	30	45	15	20	10	35	20	15	40	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	0	10	9	16	11	12	11	6	16	18	10	16	8	5	8	8	12	9	23	2	3	7	5	5	1	2	0	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	1	8	10	6	8	6	6	3	10	4	2	11	5	3	2	4	11	4	10	7	5	0	8	3	1	6	1	9	2									
14	Число погашенных неиспользованных открепительных удостоверений	561	0	25	31	14	14	48	14	54	24	12	25	19	12	15	27	12	23	21	22	13	17	3	30	15	14	38	5	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	3	2	2	2	0	0	1	0	4	2	2	0	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	145	1	10	5	8	2	6	5	11	8	10	6	4	6	2	6	2	6	9	10	5	3	2	7	0	3	4	0	3	1									
		1.01%	0.76%	1.35%	0.88%	1.78%	0.34%	0.95%	1.57%	1.49%	0.97%	1.48%	0.82%	0.54%	0.91%	0.80%	1.17%	0.42%	0.99%	1.76%	1.02%	2.07%	1.44%	0.46%	1.35%	0.00%	0.79%	1.10%	0.00%	0.81%	0.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	461	1	17	15	17	21	23	10	23	21	23	21	36	22	7	17	20	22	24	30	9	7	22	10	7	10	7	3	9	7									
		3.20%	0.76%	2.30%	2.64%	3.78%	3.58%	3.65%	3.13%	3.12%	2.54%	3.40%	2.88%	4.85%	3.34%	2.81%	3.32%	4.16%	3.63%	4.69%	3.06%	3.73%	3.37%	5.08%	1.93%	1.95%	2.65%	1.92%	3.13%	2.42%	2.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	413	6	18	17	6	15	18	7	21	25	25	24	32	6	6	8	10	25	8	33	4	4	15	17	11	12	18	2	11	9									
		2.86%	4.55%	2.43%	2.99%	1.33%	2.56%	2.85%	2.19%	2.85%	3.02%	3.69%	3.29%	4.31%	0.91%	2.41%	1.56%	2.08%	4.13%	1.56%	3.37%	1.66%	1.92%	3.46%	3.28%	3.06%	3.17%	4.93%	2.08%	2.96%	2.90%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5026	38	251	190	165	188	183	104	250	280	217	220	245	213	84	194	171	202	183	314	82	68	148	195	152	129	169	60	180	151									
		34.86%	28.79%	33.92%	33.39%	36.67%	32.08%	29.00%	32.60%	33.92%	33.86%	32.05%	30.14%	32.97%	32.32%	33.73%	37.89%	35.55%	33.33%	35.74%	32.07%	34.02%	32.69%	34.18%	37.64%	42.34%	34.13%	46.30%	62.50%	48.39%	48.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	145	1	6	7	5	7	3	8	7	11	6	7	7	7	2	6	8	3	9	8	5	3	3	7	0	3	0	0	1	5									
		1.01%	0.76%	0.81%	1.23%	1.11%	1.19%	0.48%	2.51%	0.95%	1.33%	0.89%	0.96%	0.94%	1.06%	0.80%	1.17%	1.66%	0.50%	1.76%	0.82%	2.07%	1.44%	0.69%	1.35%	0.00%	0.79%	0.00%	0.00%	0.27%	1.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	62	0	3	1	4	1	3	5	0	7	0	3	4	0	1	0	3	1	2	11	0	0	0	1	2	3	4	0	0	3									
