Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Тепло-Огаревская 																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017					
1	"Число избирателей, внесенных в списки"	11185	590	340	402	233	434	266	250	437	262	111	97	283	425	586	272	366	353	203	183	568	314	761	896	995	1558					
2	"Число бюллетеней, полученных участковыми комиссиями"	11275	601	340	400	233	437	269	251	445	270	113	99	289	431	595	277	362	358	202	183	575	314	763	894	1006	1568					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5254	238	88	190	97	221	113	103	223	166	65	54	143	158	281	134	169	131	83	92	289	143	384	439	465	785					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1174	56	120	81	50	40	42	44	70	12	21	7	43	103	87	28	62	50	47	28	60	14	21	34	28	26					
6	Число погашенных бюллетеней	4847	307	132	129	86	176	114	104	152	92	27	38	103	170	227	115	131	177	72	63	226	157	358	421	513	757					
7	Число бюллетеней в переносных ящиках для голосования	1174	56	120	81	50	40	42	44	70	12	21	7	43	103	87	28	62	50	47	28	60	14	21	34	28	26					
8	Число бюллетеней в стационарных ящиках для голосования	5254	238	88	190	97	221	113	103	223	166	65	54	143	158	281	134	169	131	83	92	289	143	384	439	465	785					
9	Число недействительных бюллетеней	120	2	0	4	4	3	3	3	8	5	0	1	4	7	6	11	3	0	0	1	11	4	4	9	7	20					
10	Число действительных бюллетеней	6308	292	208	267	143	258	152	144	285	173	86	60	182	254	362	151	228	181	130	119	338	153	401	464	486	791					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	3	4	4	3	4	3	3	4	3	2	2	5	4	5	3	4	4	2	2	5	2	2	4	6	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	43	2	0	0	2	0	2	1	0	1	0	1	4	0	1	0	0	2	0	0	1	1	1	3	6	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	0	4	2	0	1	1	1	0	1	0	2	0	1	1	1	2	1	1	1	0	1	1	2	2	4					
14	Число погашенных открепительных удостоверений	57	1	4	4	1	4	1	2	4	2	2	1	1	4	4	3	4	2	2	2	4	1	1	1	0	2					
