Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Бутурлинская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
1	"Число избирателей, внесенных в списки"	12521	2135	2093	1630	374	582	308	116	622	125	265	224	59	291	68	138	281	50	608	166	328	91	92	383	55	33	169	347	469	266	153					
2	"Число бюллетеней, полученных участковыми комиссиями"	12000	1900	1900	1500	380	600	300	100	610	130	260	200	60	300	60	130	280	50	630	160	330	130	90	370	60	50	160	350	480	280	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7212	1190	1058	721	216	362	224	85	418	81	196	152	35	205	52	93	190	31	322	108	197	57	65	236	32	27	132	216	243	164	104					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	681	65	33	83	39	49	10	12	20	23	17	20	9	15	2	12	6	2	48	12	12	21	7	41	7	3	15	25	46	15	12					
6	Число погашенных бюллетеней	4107	645	809	696	125	189	66	3	172	26	47	28	16	80	6	25	84	17	260	40	121	52	18	93	21	20	13	109	191	101	34					
7	Число бюллетеней в переносных ящиках для голосования	681	65	33	83	39	49	10	12	20	23	17	20	9	15	2	12	6	2	48	12	12	21	7	41	7	3	15	25	46	15	12					
8	Число бюллетеней в стационарных ящиках для голосования	7211	1190	1058	721	216	362	224	85	418	81	196	152	35	205	51	93	190	31	322	108	197	57	65	236	32	27	132	216	243	164	104					
9	Число недействительных бюллетеней	148	12	14	5	7	12	7	4	8	3	4	6	0	3	2	3	5	2	6	4	2	0	3	3	2	2	7	6	13	3	0					
10	Число действительных бюллетеней	7744	1243	1077	799	248	399	227	93	430	101	209	166	44	217	51	102	191	31	364	116	207	78	69	274	37	28	140	235	276	176	116					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	99	100	80	20	5	5	5	5	5	5	5	5	15	5	5	5	5	15	5	15	5	5	15	5	5	5	15	15	15	5					
