Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Зеленчукская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37267	301	984	1497	1485	1788	2302	1660	922	1231	1639	39	423	1551	774	959	1120	362	1170	1003	1108	1048	1169	161	692	1165	814	303	1219	280	293	417	455	1273	1167	1375	402	1854	862									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37100	300	950	1450	1420	1740	2230	1620	900	1180	1600	36	415	1520	760	940	1100	360	1140	976	1090	1030	1150	161	680	1140	800	300	1190	284	293	634	450	1240	1140	1360	394	2469	658									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31828	226	802	1335	1260	1517	1998	1383	827	1032	1445	36	353	1346	672	828	948	277	1016	819	956	901	1018	117	567	1016	668	205	1025	201	231	366	397	1085	991	1182	366	1814	602									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	640	13	20	35	30	52	47	20	15	17	25	0	0	16	10	15	17	11	20	30	18	20	19	8	10	21	8	5	23	11	7	6	14	25	24	22	6	0	0									
6	Число погашенных избирательных бюллетеней	4620	61	128	80	130	171	185	217	58	131	130	0	62	158	78	97	135	72	104	127	116	109	113	36	103	103	124	90	142	72	55	256	39	130	125	150	22	655	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	652	13	20	35	30	52	47	20	15	17	25	0	0	16	10	15	17	11	20	30	18	20	19	8	10	21	8	5	23	11	7	12	14	25	24	28	6	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31826	226	802	1335	1260	1517	1998	1383	827	1032	1445	36	353	1346	672	828	948	277	1016	819	956	901	1018	117	567	1016	668	205	1025	201	231	366	397	1085	991	1180	366	1814	602									
9	Число недействительных избирательных бюллетеней	63	1	3	0	1	1	2	1	2	3	1	0	2	2	3	2	1	2	1	2	1	2	3	1	3	2	1	1	2	1	1	6	3	2	1	1	2	0	0									
10	Число действительных избирательных бюллетеней	32415	238	819	1370	1289	1568	2043	1402	840	1046	1469	36	351	1360	679	841	964	286	1035	847	973	919	1034	124	574	1035	675	209	1046	211	237	372	408	1108	1014	1207	370	1814	602									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	111	2	3	3	4	4	5	4	3	3	4	0	2	0	3	3	3	2	3	3	3	4	3	2	2	3	2	2	3	2	2	3	2	3	3	3	2	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	30	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	3	2	3	4	3	0	1	0	0	0	0	0	0	0	1	0	0	1	1	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	81	2	3	3	4	4	5	4	3	1	3	0	2	0	3	2	3	2	0	1	0	0	0	2	1	3	2	2	3	2	2	3	1	3	3	2	1	4	2									
