Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Кемская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14522	2043	421	1422	1594	1611	774	207	1496	190	721	1786	1016	305	498	438									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14100	2000	400	1400	1600	1600	700	200	1400	190	700	1800	1000	300	500	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	42	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5326	916	187	606	720	579	228	62	446	78	208	488	342	110	155	201									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	167	20	3	19	9	6	3	2	3	6	29	24	1	8	17	17									
6	Число погашенных избирательных бюллетеней	8565	1064	210	775	871	1015	469	136	951	106	463	1288	657	182	286	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	209	20	3	19	9	6	3	2	3	6	29	24	1	8	59	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5318	914	187	605	716	579	228	62	446	78	208	487	342	110	155	201									
9	Число недействительных избирательных бюллетеней	241	38	10	32	31	34	18	6	15	4	9	9	14	6	5	10									
10	Число действительных избирательных бюллетеней	5286	896	180	592	694	551	213	58	434	80	228	502	329	112	209	208									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	45	30	30	30	30	30	30	30	30	30	45	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	9	4	3	2	1	1	0	3	1	2	4	3	1	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	3	3	7	2	3	0	0	7	1	0	0	1	3	4	13									
14	Число погашенных неиспользованных открепительных удостоверений	444	36	26	27	28	29	29	30	27	29	28	41	27	29	30	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	0	1	2	5	1	0	1	1	0	1	0	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	22	2	6	13	8	1	0	4	0	3	6	3	0	0	1									
		1.25%	2.36%	1.05%	0.96%	1.79%	1.37%	0.43%	0.00%	0.89%	0.00%	1.27%	1.17%	0.87%	0.00%	0.00%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	152	24	8	14	17	25	3	2	18	2	4	13	11	2	5	4									
		2.75%	2.57%	4.21%	2.24%	2.34%	4.27%	1.30%	3.13%	4.01%	2.38%	1.69%	2.54%	3.21%	1.69%	2.34%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	21	4	15	28	18	1	1	10	2	5	10	9	0	2	2									
		2.32%	2.25%	2.11%	2.40%	3.86%	3.08%	0.43%	1.56%	2.23%	2.38%	2.11%	1.96%	2.62%	0.00%	0.93%	0.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2129	351	75	225	268	190	71	23	168	42	94	238	113	58	109	104									
		38.52%	37.58%	39.47%	36.06%	36.97%	32.48%	30.74%	35.94%	37.42%	50.00%	39.66%	46.58%	32.94%	49.15%	50.93%	47.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	10	3	8	2	1	3	1	2	0	1	1	2	0	1	1									
		0.65%	1.07%	1.58%	1.28%	0.28%	0.17%	1.30%	1.56%	0.45%	0.00%	0.42%	0.20%	0.58%	0.00%	0.47%	0.46%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	3	0	0	1	1	0	0	1	0	1	0	1	0	1	1									
